,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,WASHINGTON_ACTION,CHARLOTTE_SCORE,WASHINGTON_SCORE
0,1,11:50.0,,Turnover by (8 sec),0,0
1,1,11:25.0,Turnover by Team (shot clock),,0,0
2,1,11:15.0,,B. Beal misses 3-pt jump shot from 27 ft,0,0
3,1,11:12.0,Defensive rebound by Team,,0,0
4,1,10:53.0,M. Bridges makes 3-pt jump shot from 29 ft (assist by C. Zeller),,3,0
5,1,10:40.0,,I. Mahinmi makes 2-pt dunk from 1 ft (assist by B. Beal),3,2
6,1,10:32.0,Shooting foul by I. Mahinmi (drawn by C. Zeller),,3,2
7,1,10:32.0,C. Zeller makes free throw 1 of 2,,4,2
8,1,10:32.0,C. Zeller misses free throw 2 of 2,,4,2
9,1,10:30.0,,Defensive rebound by I. Mahinmi,4,2
10,1,10:23.0,,I. Thomas misses 2-pt jump shot from 8 ft,4,2
11,1,10:20.0,Defensive rebound by T. Rozier,,4,2
12,1,10:09.0,T. Rozier misses 2-pt layup from 2 ft,,4,2
13,1,10:07.0,,Defensive rebound by I. Mahinmi,4,2
14,1,9:59.0,,I. Thomas makes 3-pt jump shot from 26 ft,4,5
15,1,9:35.0,T. Rozier misses 2-pt jump shot from 22 ft,,4,5
16,1,9:32.0,,Defensive rebound by B. Beal,4,5
17,1,9:23.0,,I. Thomas misses 3-pt jump shot from 26 ft,4,5
18,1,9:19.0,,Offensive rebound by G. Payton,4,5
19,1,9:15.0,,B. Beal misses 3-pt jump shot from 25 ft,4,5
20,1,9:13.0,,Offensive rebound by I. Bonga,4,5
21,1,9:08.0,,Shooting foul by D. Graham (drawn by I. Thomas),4,5
22,1,9:08.0,,I. Thomas makes free throw 1 of 2,4,6
23,1,9:08.0,,I. Thomas makes free throw 2 of 2,4,7
24,1,8:48.0,M. Bridges misses 2-pt layup from 10 ft,,4,7
25,1,8:47.0,Offensive rebound by C. Zeller,,4,7
26,1,8:47.0,C. Zeller misses 2-pt layup from 3 ft,,4,7
27,1,8:46.0,Offensive rebound by P. Washington,,4,7
28,1,8:44.0,P. Washington makes 2-pt hook shot from 5 ft,,6,7
29,1,8:44.0,Shooting foul by I. Bonga (drawn by P. Washington),,6,7
30,1,8:44.0,P. Washington misses free throw 1 of 1,,6,7
31,1,8:42.0,,Defensive rebound by I. Mahinmi,6,7
32,1,8:26.0,,I. Bonga misses 3-pt jump shot from 26 ft,6,7
33,1,8:23.0,Defensive rebound by T. Rozier,,6,7
34,1,8:20.0,M. Bridges makes 2-pt dunk from 2 ft (assist by D. Graham),,8,7
35,1,8:02.0,,I. Mahinmi misses 2-pt jump shot from 9 ft,8,7
36,1,8:00.0,Defensive rebound by C. Zeller,,8,7
37,1,7:54.0,T. Rozier makes 2-pt layup from 1 ft (assist by C. Zeller),,10,7
38,1,7:44.0,,Personal foul by M. Bridges (drawn by B. Beal),10,7
39,1,7:37.0,,B. Beal misses 2-pt layup from 5 ft,10,7
40,1,7:34.0,Defensive rebound by D. Graham,,10,7
41,1,7:31.0,T. Rozier makes 2-pt layup from 2 ft (assist by M. Bridges),,12,7
42,1,7:14.0,,Shooting foul by C. Zeller (drawn by B. Beal),12,7
43,1,7:14.0,,B. Beal makes free throw 1 of 2,12,8
44,1,7:14.0,,B. Beal makes free throw 2 of 2,12,9
45,1,7:02.0,P. Washington misses 2-pt layup from 4 ft,,12,9
46,1,6:59.0,,Defensive rebound by I. Thomas,12,9
47,1,6:53.0,,B. Beal misses 2-pt jump shot from 9 ft,12,9
48,1,6:50.0,,Offensive rebound by G. Payton,12,9
49,1,6:43.0,,I. Thomas misses 3-pt jump shot from 26 ft,12,9
50,1,6:40.0,,Offensive rebound by B. Beal,12,9
51,1,6:39.0,,Shooting foul by T. Rozier (drawn by B. Beal),12,9
52,1,6:39.0,,Washington full timeout,12,9
53,1,6:39.0,M. Monk enters the game for D. Graham,,12,9
54,1,6:39.0,,D. Bertāns enters the game for I. Bonga,12,9
55,1,6:39.0,,B. Beal makes free throw 1 of 2,12,10
56,1,6:39.0,,B. Beal makes free throw 2 of 2,12,11
57,1,6:26.0,P. Washington makes 2-pt layup from 3 ft (assist by M. Monk),,14,11
58,1,6:19.0,,G. Payton makes 2-pt dunk from 2 ft (assist by B. Beal),14,13
59,1,6:04.0,P. Washington misses 2-pt hook shot from 8 ft,,14,13
60,1,6:02.0,Offensive rebound by C. Zeller,,14,13
61,1,6:02.0,P. Washington makes 2-pt dunk from 3 ft (assist by C. Zeller),,16,13
62,1,6:02.0,W. Hernangómez enters the game for C. Zeller,,16,13
63,1,6:02.0,,T. Bryant enters the game for I. Mahinmi,16,13
64,1,5:47.0,,Shooting foul by M. Monk (drawn by B. Beal),16,13
65,1,5:47.0,,B. Beal misses free throw 1 of 2,16,13
66,1,5:47.0,,Offensive rebound by Team,16,13
67,1,5:47.0,,B. Beal makes free throw 2 of 2,16,14
68,1,5:30.0,P. Washington makes 2-pt hook shot from 6 ft,,18,14
69,1,5:08.0,,Turnover by B. Beal (bad pass; steal by W. Hernangómez),18,14
70,1,5:07.0,Personal take foul by B. Beal (drawn by M. Monk),,18,14
71,1,4:56.0,Personal foul by D. Bertāns (drawn by P. Washington),,18,14
72,1,4:46.0,T. Rozier misses 3-pt jump shot from 27 ft,,18,14
73,1,4:41.0,Offensive rebound by M. Bridges,,18,14
74,1,4:41.0,M. Bridges makes 2-pt layup from 3 ft,,20,14
75,1,4:28.0,,Turnover by D. Bertāns (bad pass; steal by M. Bridges),20,14
76,1,4:20.0,T. Rozier makes 2-pt layup from 4 ft (assist by M. Bridges),,22,14
77,1,4:19.0,,Washington full timeout,22,14
78,1,4:19.0,C. Martin enters the game for M. Bridges,,22,14
79,1,4:19.0,M. Williams enters the game for P. Washington,,22,14
80,1,4:19.0,,T. Brown enters the game for G. Payton,22,14
81,1,4:03.0,,D. Bertāns misses 3-pt jump shot from 24 ft,22,14
82,1,4:02.0,,Offensive rebound by T. Brown,22,14
83,1,4:00.0,,T. Brown misses 2-pt layup from 2 ft,22,14
84,1,3:58.0,Defensive rebound by W. Hernangómez,,22,14
85,1,3:43.0,T. Rozier makes 2-pt layup from 3 ft,,24,14
86,1,3:32.0,,Personal foul by M. Williams (drawn by B. Beal),24,14
87,1,3:32.0,,B. Beal makes free throw 1 of 2,24,15
88,1,3:32.0,,I. Smith enters the game for I. Thomas,24,15
89,1,3:32.0,,B. Beal makes free throw 2 of 2,24,16
90,1,3:17.0,M. Williams misses 2-pt hook shot from 11 ft,,24,16
91,1,3:15.0,,Defensive rebound by I. Smith,24,16
92,1,3:04.0,,Shooting foul by C. Martin (drawn by B. Beal),24,16
93,1,3:04.0,,B. Beal makes free throw 1 of 2,24,17
94,1,3:04.0,,B. Beal makes free throw 2 of 2,24,18
95,1,2:55.0,M. Monk misses 2-pt jump shot from 13 ft,,24,18
96,1,2:51.0,,Defensive rebound by B. Beal,24,18
97,1,2:44.0,,B. Beal makes 3-pt jump shot from 26 ft (assist by I. Smith),24,21
98,1,2:30.0,C. Martin makes 2-pt layup from 3 ft (assist by T. Rozier),,26,21
99,1,2:20.0,,T. Bryant makes 2-pt dunk from 2 ft (assist by B. Beal),26,23
100,1,1:59.0,W. Hernangómez makes 2-pt hook shot from 7 ft (assist by M. Williams),,28,23
101,1,1:43.0,,D. Bertāns misses 2-pt jump shot from 18 ft,28,23
102,1,1:40.0,Defensive rebound by T. Rozier,,28,23
103,1,1:33.0,M. Monk makes 3-pt jump shot from 25 ft (assist by M. Williams),,31,23
104,1,1:20.0,,D. Bertāns misses 3-pt jump shot from 26 ft,31,23
105,1,1:18.0,Defensive rebound by W. Hernangómez,,31,23
