,QUARTER,TIME_REMAINING,DALLAS_ACTION,NEW YORK_ACTION,DALLAS_SCORE,NEW YORK_SCORE
0,1,11:35.0,S. Curry misses 3-pt jump shot from 25 ft,,0,0
1,1,11:33.0,,Defensive rebound by R. Barrett,0,0
2,1,11:14.0,,F. Ntilikina misses 2-pt layup from 1 ft,0,0
3,1,11:12.0,,Offensive rebound by T. Gibson,0,0
4,1,11:10.0,,J. Randle makes 2-pt layup from 1 ft (assist by T. Gibson),0,2
5,1,10:57.0,D. Powell makes 2-pt layup at rim (assist by L. Dončić),,2,2
6,1,10:45.0,,M. Morris misses 2-pt jump shot from 17 ft,2,2
7,1,10:40.0,,Offensive rebound by F. Ntilikina,2,2
8,1,10:34.0,,Turnover by R. Barrett (bad pass),2,2
9,1,10:21.0,K. Porziņģis misses 2-pt jump shot from 15 ft,,2,2
10,1,10:19.0,,Defensive rebound by T. Gibson,2,2
11,1,10:03.0,,R. Barrett makes 2-pt layup at rim,2,4
12,1,9:43.0,L. Dončić misses 3-pt jump shot from 29 ft,,2,4
13,1,9:41.0,,Defensive rebound by R. Barrett,2,4
14,1,9:27.0,,T. Gibson makes 2-pt jump shot from 21 ft (assist by F. Ntilikina),2,6
15,1,9:08.0,Turnover by K. Porziņģis (bad pass; steal by R. Barrett),,2,6
16,1,9:02.0,,J. Randle makes 2-pt layup from 1 ft,2,8
17,1,9:02.0,Dallas full timeout,,2,8
18,1,8:46.0,L. Dončić makes 2-pt jump shot from 16 ft,,4,8
19,1,8:46.0,Shooting foul by R. Barrett (drawn by L. Dončić),,4,8
20,1,8:46.0,L. Dončić makes free throw 1 of 1,,5,8
21,1,8:33.0,,R. Barrett misses 3-pt jump shot from 26 ft,5,8
22,1,8:31.0,Defensive rebound by L. Dončić,,5,8
23,1,8:20.0,Def 3 sec tech foul by Team,,5,8
24,1,8:20.0,K. Porziņģis makes technical free throw,,6,8
25,1,8:12.0,K. Porziņģis misses 2-pt jump shot from 12 ft,,6,8
26,1,8:10.0,,Defensive rebound by T. Gibson,6,8
27,1,8:00.0,,M. Morris misses 2-pt layup from 6 ft (block by K. Porziņģis),6,8
28,1,7:58.0,,Offensive rebound by J. Randle,6,8
29,1,7:56.0,,J. Randle makes 2-pt jump shot from 6 ft,6,10
30,1,7:46.0,L. Dončić misses 2-pt jump shot from 12 ft,,6,10
31,1,7:44.0,,Defensive rebound by T. Gibson,6,10
32,1,7:28.0,,J. Randle misses 2-pt layup from 2 ft,6,10
33,1,7:26.0,Defensive rebound by K. Porziņģis,,6,10
34,1,7:23.0,Shooting foul by T. Gibson (drawn by D. Finney-Smith),,6,10
35,1,7:23.0,D. Finney-Smith misses free throw 1 of 2,,6,10
36,1,7:23.0,Offensive rebound by Team,,6,10
37,1,7:23.0,D. Finney-Smith misses free throw 2 of 2,,6,10
