,QUARTER,TIME_REMAINING,UTAH_ACTION,NEW ORLEANS_ACTION,UTAH_SCORE,NEW ORLEANS_SCORE
0,1,11:39.0,J. Ingles makes 2-pt layup from 3 ft,,2,0
1,1,11:24.0,,J. Redick misses 2-pt jump shot from 18 ft,2,0
2,1,11:21.0,Defensive rebound by R. Gobert,,2,0
3,1,11:04.0,B. Bogdanović makes 2-pt jump shot from 10 ft (assist by R. O'Neale),,4,0
4,1,11:04.0,Shooting foul by J. Hart (drawn by B. Bogdanović),,4,0
5,1,11:04.0,B. Bogdanović makes free throw 1 of 1,,5,0
6,1,10:52.0,,Turnover by B. Ingram (bad pass; steal by J. Ingles),5,0
7,1,10:48.0,J. Ingles makes 3-pt jump shot from 25 ft,,8,0
8,1,10:38.0,,L. Ball makes 3-pt jump shot from 25 ft,8,3
9,1,10:24.0,R. Gobert misses 2-pt layup from 2 ft,,8,3
10,1,10:22.0,,Defensive rebound by L. Ball,8,3
11,1,10:17.0,,B. Ingram misses 2-pt layup from 1 ft,8,3
12,1,10:14.0,Defensive rebound by R. Gobert,,8,3
13,1,9:56.0,B. Bogdanović misses 2-pt jump shot from 16 ft,,8,3
14,1,9:52.0,,Defensive rebound by D. Favors,8,3
15,1,9:45.0,,B. Ingram misses 2-pt jump shot from 14 ft,8,3
16,1,9:42.0,Defensive rebound by R. Gobert,,8,3
17,1,9:27.0,J. Ingles misses 2-pt jump shot from 3 ft,,8,3
18,1,9:25.0,,Defensive rebound by L. Ball,8,3
19,1,9:22.0,,J. Hart misses 3-pt jump shot from 24 ft,8,3
20,1,9:22.0,,Offensive rebound by D. Favors,8,3
21,1,9:15.0,,L. Ball makes 3-pt jump shot from 25 ft (assist by B. Ingram),8,6
22,1,8:59.0,Personal foul by J. Hart (drawn by B. Bogdanović),,8,6
23,1,8:59.0,,E. Moore enters the game for J. Hart,8,6
24,1,8:50.0,B. Bogdanović makes 2-pt jump shot from 9 ft,,10,6
25,1,8:39.0,,J. Redick makes 2-pt jump shot from 23 ft (assist by D. Favors),10,8
26,1,8:29.0,Turnover by B. Bogdanović (lost ball; steal by E. Moore),,10,8
27,1,8:23.0,,E. Moore misses 3-pt jump shot from 25 ft,10,8
28,1,8:20.0,Defensive rebound by R. Gobert,,10,8
29,1,8:06.0,J. Ingles makes 2-pt jump shot from 7 ft,,12,8
30,1,7:56.0,,J. Redick makes 2-pt jump shot from 20 ft,12,10
31,1,7:44.0,D. Mitchell misses 2-pt jump shot from 9 ft,,12,10
32,1,7:41.0,,Defensive rebound by D. Favors,12,10
33,1,7:35.0,,Personal foul by J. Ingles (drawn by J. Redick),12,10
34,1,7:32.0,,D. Favors misses 2-pt jump shot from 17 ft,12,10
35,1,7:28.0,Defensive rebound by R. Gobert,,12,10
36,1,7:18.0,B. Bogdanović misses 2-pt layup from 2 ft,,12,10
37,1,7:16.0,,Defensive rebound by E. Moore,12,10
38,1,7:13.0,,L. Ball misses 3-pt jump shot from 22 ft,12,10
39,1,7:10.0,Defensive rebound by J. Ingles,,12,10
40,1,7:05.0,D. Mitchell makes 3-pt jump shot from 26 ft (assist by J. Ingles),,15,10
41,1,6:41.0,,L. Ball makes 2-pt jump shot from 6 ft,15,12
42,1,6:24.0,J. Ingles makes 2-pt layup from 3 ft,,17,12
43,1,6:12.0,,D. Favors makes 2-pt layup from 2 ft (assist by E. Moore),17,14
44,1,5:50.0,Turnover by B. Bogdanović (lost ball; steal by B. Ingram),,17,14
45,1,5:45.0,,J. Redick makes 3-pt jump shot from 25 ft (assist by B. Ingram),17,17
46,1,5:43.0,Utah full timeout,,17,17
47,1,5:43.0,Instant Replay (Request: Ruling Stands),,17,17
48,1,5:43.0,J. Clarkson enters the game for J. Ingles,,17,17
49,1,5:43.0,E. Mudiay enters the game for D. Mitchell,,17,17
50,1,5:35.0,Personal foul by B. Ingram (drawn by R. Gobert),,17,17
51,1,5:30.0,B. Bogdanović makes 3-pt jump shot from 27 ft (assist by R. O'Neale),,20,17
52,1,5:15.0,,B. Ingram makes 2-pt dunk at rim (assist by L. Ball),20,19
53,1,4:53.0,J. Clarkson misses 2-pt jump shot from 4 ft,,20,19
54,1,4:50.0,Offensive rebound by R. Gobert,,20,19
55,1,4:50.0,R. Gobert misses 2-pt layup from 1 ft,,20,19
56,1,4:50.0,Offensive rebound by R. Gobert,,20,19
57,1,4:47.0,R. Gobert misses 2-pt layup from 4 ft (block by D. Favors),,20,19
58,1,4:47.0,,Defensive rebound by E. Moore,20,19
59,1,4:47.0,,B. Ingram makes 3-pt jump shot from 26 ft (assist by L. Ball),20,22
60,1,4:47.0,,Shooting foul by B. Bogdanović (drawn by B. Ingram),20,22
61,1,4:47.0,,J. Hayes enters the game for D. Favors,20,22
62,1,4:47.0,,B. Ingram makes free throw 1 of 1,20,23
63,1,4:35.0,B. Bogdanović makes 2-pt layup from 1 ft,,22,23
64,1,4:35.0,,Violation by Team (def goaltending),22,23
65,1,4:24.0,,J. Redick misses 3-pt jump shot from 25 ft,22,23
66,1,4:22.0,Defensive rebound by R. Gobert,,22,23
67,1,4:12.0,E. Mudiay misses 2-pt layup from 2 ft (block by J. Hayes),,22,23
68,1,4:08.0,,Defensive rebound by E. Moore,22,23
69,1,4:00.0,,B. Ingram makes 3-pt jump shot from 26 ft (assist by J. Hayes),22,26
70,1,3:46.0,J. Clarkson misses 3-pt jump shot from 27 ft,,22,26
71,1,3:44.0,,Defensive rebound by B. Ingram,22,26
72,1,3:36.0,,B. Ingram misses 2-pt jump shot from 10 ft,22,26
73,1,3:34.0,,Offensive rebound by J. Hayes,22,26
74,1,3:33.0,,J. Hayes misses 2-pt layup from 1 ft,22,26
75,1,3:31.0,Defensive rebound by R. Gobert,,22,26
76,1,3:19.0,B. Bogdanović misses 3-pt jump shot from 23 ft,,22,26
77,1,3:16.0,,Defensive rebound by J. Redick,22,26
78,1,3:05.0,,J. Redick misses 2-pt jump shot from 22 ft,22,26
79,1,3:01.0,Defensive rebound by R. Gobert,,22,26
80,1,2:42.0,Turnover by J. Clarkson (lost ball; steal by E. Moore),,22,26
81,1,2:37.0,,Personal foul by B. Bogdanović (drawn by B. Ingram),22,26
82,1,2:37.0,,New Orleans full timeout,22,26
83,1,2:37.0,T. Bradley enters the game for B. Bogdanović,,22,26
84,1,2:37.0,D. Mitchell enters the game for R. Gobert,,22,26
85,1,2:37.0,G. Niang enters the game for R. O'Neale,,22,26
86,1,2:37.0,,N. Alexander-Walker enters the game for L. Ball,22,26
87,1,2:37.0,,F. Jackson enters the game for J. Redick,22,26
88,1,2:29.0,,Turnover by N. Alexander-Walker (bad pass; steal by D. Mitchell),22,26
89,1,2:27.0,D. Mitchell makes 2-pt layup from 2 ft,,24,26
90,1,2:27.0,Shooting foul by N. Alexander-Walker (drawn by D. Mitchell),,24,26
91,1,2:27.0,D. Mitchell makes free throw 1 of 1,,25,26
92,1,2:16.0,,E. Moore makes 2-pt jump shot from 9 ft (assist by N. Alexander-Walker),25,28
93,1,1:59.0,E. Mudiay makes 2-pt jump shot from 10 ft,,27,28
94,1,1:47.0,,E. Moore makes 2-pt layup from 1 ft,27,30
95,1,1:34.0,J. Clarkson makes 3-pt jump shot from 24 ft (assist by E. Mudiay),,30,30
96,1,1:20.0,,E. Moore misses 2-pt hook shot from 9 ft,30,30
97,1,1:18.0,Defensive rebound by D. Mitchell,,30,30
98,1,1:16.0,Shooting foul by N. Alexander-Walker (drawn by T. Bradley),,30,30
99,1,1:16.0,T. Bradley makes free throw 1 of 2,,31,30
100,1,1:16.0,T. Bradley misses free throw 2 of 2,,31,30
101,1,1:14.0,,Defensive rebound by J. Hayes,31,30
102,1,1:03.0,,Personal foul by E. Mudiay (drawn by F. Jackson),31,30
103,1,0:54.0,,F. Jackson makes 2-pt layup from 2 ft (assist by B. Ingram),31,32
104,1,0:38.0,D. Mitchell makes 2-pt jump shot from 18 ft,,33,32
105,1,0:27.0,,N. Alexander-Walker makes 2-pt layup from 3 ft,33,34
106,1,0:09.0,D. Mitchell misses 2-pt jump shot from 18 ft,,33,34
107,1,0:07.0,Offensive rebound by Team,,33,34
108,1,0:07.0,,Loose ball foul by E. Moore (drawn by T. Bradley),33,34
109,1,0:07.0,T. Bradley makes free throw 1 of 2,,34,34
110,1,0:07.0,,J. Redick enters the game for F. Jackson,34,34
111,1,0:07.0,T. Bradley makes free throw 2 of 2,,35,34
112,1,0:00.0,,B. Ingram misses 2-pt layup from 1 ft,35,34
113,1,0:00.0,,Offensive rebound by B. Ingram,35,34
114,1,0:00.0,,B. Ingram makes 2-pt layup at rim,35,36
115,1,0:00.0,,Instant Replay (Request: Ruling Stands),35,36
116,2,11:45.0,,F. Jackson makes 2-pt jump shot from 5 ft,35,38
117,2,11:45.0,,Shooting foul by J. Clarkson (drawn by F. Jackson),35,38
118,2,11:45.0,,F. Jackson makes free throw 1 of 1,35,39
119,2,11:28.0,J. Clarkson makes 3-pt jump shot from 26 ft,,38,39
120,2,11:21.0,,F. Jackson misses 3-pt jump shot from 25 ft,38,39
121,2,11:16.0,Defensive rebound by D. Mitchell,,38,39
122,2,11:12.0,R. Tucker makes 2-pt layup from 1 ft (assist by D. Mitchell),,40,39
123,2,11:12.0,Shooting foul by L. Ball (drawn by R. Tucker),,40,39
124,2,11:12.0,R. Tucker makes free throw 1 of 1,,41,39
125,2,11:02.0,,Shooting foul by D. Mitchell (drawn by J. Hayes),41,39
126,2,11:02.0,,J. Hayes misses free throw 1 of 2,41,39
127,2,11:02.0,,Offensive rebound by Team,41,39
128,2,11:02.0,,J. Hayes makes free throw 2 of 2,41,40
129,2,10:45.0,J. Clarkson misses 2-pt layup from 2 ft,,41,40
130,2,10:43.0,,Defensive rebound by L. Ball,41,40
131,2,10:37.0,,F. Jackson misses 3-pt jump shot from 24 ft,41,40
132,2,10:33.0,Defensive rebound by D. Mitchell,,41,40
133,2,10:30.0,T. Bradley makes 2-pt layup from 1 ft (assist by D. Mitchell),,43,40
134,2,10:29.0,,Personal foul by D. Mitchell (drawn by F. Jackson),43,40
135,2,10:14.0,,L. Ball makes 2-pt layup from 1 ft,43,42
136,2,10:05.0,D. Mitchell misses 2-pt layup from 1 ft,,43,42
137,2,10:05.0,Offensive rebound by J. Clarkson,,43,42
138,2,10:05.0,Shooting foul by J. Hart (drawn by J. Clarkson),,43,42
