,QUARTER,TIME_REMAINING,DENVER_ACTION,CHARLOTTE_ACTION,DENVER_SCORE,CHARLOTTE_SCORE
0,1,11:42.0,J. Murray misses 3-pt jump shot from 25 ft,,0,0
1,1,11:40.0,,Defensive rebound by P. Washington,0,0
2,1,11:26.0,,M. Bridges misses 2-pt layup from 4 ft,0,0
3,1,11:24.0,Defensive rebound by N. Jokić,,0,0
4,1,11:07.0,Turnover by W. Barton (bad pass; steal by C. Zeller),,0,0
5,1,10:55.0,,M. Bridges makes 3-pt jump shot from 25 ft (assist by D. Graham),0,3
6,1,10:30.0,W. Barton makes 3-pt jump shot from 26 ft (assist by N. Jokić),,3,3
7,1,10:02.0,,T. Rozier makes 3-pt jump shot from 26 ft,3,6
8,1,9:45.0,J. Murray misses 2-pt layup from 2 ft (block by M. Bridges),,3,6
9,1,9:42.0,,Defensive rebound by M. Bridges,3,6
10,1,9:38.0,,M. Bridges makes 2-pt layup from 3 ft,3,8
11,1,9:22.0,G. Harris makes 2-pt layup from 1 ft (assist by J. Murray),,5,8
12,1,9:09.0,,P. Washington makes 3-pt jump shot from 26 ft (assist by D. Graham),5,11
13,1,8:57.0,N. Jokić misses 3-pt jump shot from 24 ft,,5,11
14,1,8:54.0,Offensive rebound by G. Harris,,5,11
15,1,8:52.0,W. Barton misses 3-pt jump shot from 26 ft,,5,11
16,1,8:51.0,,Defensive rebound by Team,5,11
17,1,8:38.0,,T. Rozier misses 2-pt layup from 1 ft,5,11
18,1,8:37.0,,Offensive rebound by Team,5,11
19,1,8:29.0,,D. Graham misses 3-pt jump shot from 24 ft,5,11
20,1,8:27.0,Defensive rebound by G. Harris,,5,11
21,1,8:10.0,G. Harris misses 3-pt jump shot from 25 ft,,5,11
22,1,8:08.0,,Defensive rebound by M. Bridges,5,11
23,1,8:06.0,,Turnover by M. Bridges (bad pass),5,11
24,1,7:45.0,Shooting foul by P. Washington (drawn by P. Millsap),,5,11
25,1,7:45.0,P. Millsap makes free throw 1 of 2,,6,11
26,1,7:45.0,,J. McDaniels enters the game for M. Bridges,6,11
