,QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,DETROIT_ACTION,NEW ORLEANS_SCORE,DETROIT_SCORE
0,1,11:41.0,J. Okafor makes 2-pt jump shot from 6 ft,,2,0
1,1,11:17.0,,A. Drummond misses 2-pt hook shot from 2 ft,2,0
2,1,11:16.0,Defensive rebound by J. Hart,,2,0
3,1,11:12.0,Turnover by L. Ball (out of bounds lost ball),,2,0
4,1,10:56.0,,S. Doumbouya makes 3-pt jump shot from 23 ft (assist by S. Mykhailiuk),2,3
5,1,10:42.0,Shooting foul by T. Snell (drawn by N. Melli),,2,3
6,1,10:42.0,N. Melli makes free throw 1 of 2,,3,3
7,1,10:42.0,N. Melli makes free throw 2 of 2,,4,3
8,1,10:26.0,,Shooting foul by J. Hart (drawn by S. Mykhailiuk),4,3
9,1,10:26.0,,S. Mykhailiuk makes free throw 1 of 2,4,4
10,1,10:26.0,,S. Mykhailiuk makes free throw 2 of 2,4,5
11,1,10:17.0,J. Hart misses 2-pt jump shot from 22 ft,,4,5
12,1,10:14.0,,Defensive rebound by A. Drummond,4,5
13,1,10:03.0,,S. Doumbouya makes 2-pt layup from 3 ft (assist by B. Brown),4,7
14,1,9:51.0,J. Okafor makes 2-pt layup from 3 ft,,6,7
15,1,9:51.0,Shooting foul by A. Drummond (drawn by J. Okafor),,6,7
16,1,9:51.0,J. Okafor makes free throw 1 of 1,,7,7
17,1,9:42.0,,S. Doumbouya misses 3-pt jump shot from 28 ft,7,7
18,1,9:36.0,Defensive rebound by L. Ball,,7,7
19,1,9:34.0,N. Melli makes 2-pt layup from 2 ft (assist by L. Ball),,9,7
20,1,9:17.0,,Turnover by A. Drummond (lost ball; steal by L. Ball),9,7
21,1,9:12.0,J. Okafor makes 2-pt layup from 1 ft (assist by L. Ball),,11,7
22,1,9:05.0,,Detroit full timeout,11,7
23,1,8:46.0,,B. Brown makes 3-pt jump shot from 26 ft (assist by S. Mykhailiuk),11,10
24,1,8:32.0,L. Ball makes 3-pt jump shot from 26 ft (assist by J. Okafor),,14,10
25,1,8:11.0,,B. Brown misses 2-pt jump shot from 5 ft,14,10
26,1,8:08.0,Defensive rebound by L. Ball,,14,10
27,1,8:02.0,E. Moore makes 3-pt jump shot from 26 ft (assist by L. Ball),,17,10
28,1,7:48.0,,S. Mykhailiuk misses 3-pt jump shot from 25 ft,17,10
29,1,7:45.0,,Offensive rebound by S. Mykhailiuk,17,10
30,1,7:35.0,,A. Drummond makes 2-pt layup from 3 ft,17,12
31,1,7:19.0,Turnover by L. Ball (bad pass; steal by A. Drummond),,17,12
32,1,7:15.0,,S. Mykhailiuk makes 2-pt layup from 2 ft,17,14
33,1,6:57.0,J. Okafor misses 2-pt layup from 4 ft,,17,14
34,1,6:57.0,Offensive rebound by Team,,17,14
35,1,6:51.0,L. Ball misses 3-pt jump shot from 27 ft,,17,14
36,1,6:49.0,,Defensive rebound by S. Doumbouya,17,14
37,1,6:40.0,,A. Drummond makes 2-pt dunk from 1 ft (assist by T. Snell),17,16
38,1,6:29.0,E. Moore makes 2-pt jump shot from 8 ft,,19,16
39,1,6:15.0,,Offensive foul by S. Doumbouya (drawn by E. Moore),19,16
40,1,6:15.0,,Turnover by S. Doumbouya (offensive foul),19,16
41,1,6:03.0,N. Melli misses 2-pt jump shot from 15 ft,,19,16
42,1,5:59.0,Offensive rebound by J. Okafor,,19,16
43,1,5:59.0,J. Okafor makes 2-pt dunk from 1 ft,,21,16
44,1,5:44.0,,T. Snell misses 3-pt jump shot from 26 ft,21,16
45,1,5:41.0,Defensive rebound by E. Moore,,21,16
46,1,5:22.0,N. Melli makes 2-pt jump shot from 12 ft,,23,16
47,1,4:55.0,,A. Drummond misses 2-pt jump shot from 5 ft,23,16
48,1,4:52.0,Defensive rebound by J. Okafor,,23,16
49,1,4:45.0,J. Okafor makes 2-pt jump shot from 7 ft,,25,16
50,1,4:24.0,,T. Snell misses 3-pt jump shot from 24 ft,25,16
51,1,4:22.0,Defensive rebound by J. Okafor,,25,16
52,1,4:12.0,J. Okafor misses 2-pt jump shot from 11 ft,,25,16
53,1,4:09.0,,Defensive rebound by B. Brown,25,16
54,1,4:04.0,,B. Brown misses 2-pt layup from 3 ft (block by J. Okafor),25,16
55,1,4:00.0,Defensive rebound by N. Melli,,25,16
56,1,3:59.0,N. Melli misses 2-pt layup from 4 ft,,25,16
57,1,3:56.0,,Defensive rebound by T. Snell,25,16
58,1,3:50.0,,Shooting foul by J. Okafor (drawn by A. Drummond),25,16
59,1,3:50.0,,A. Drummond misses free throw 1 of 2,25,16
60,1,3:50.0,,Offensive rebound by Team,25,16
61,1,3:50.0,J. Hayes enters the game for E. Moore,,25,16
62,1,3:50.0,F. Jackson enters the game for J. Okafor,,25,16
63,1,3:50.0,,L. Galloway enters the game for B. Brown,25,16
64,1,3:50.0,,M. Morris enters the game for S. Doumbouya,25,16
65,1,3:50.0,,D. Rose enters the game for S. Mykhailiuk,25,16
66,1,3:50.0,,A. Drummond misses free throw 2 of 2,25,16
67,1,3:48.0,Defensive rebound by J. Hayes,,25,16
68,1,3:32.0,L. Ball misses 2-pt jump shot from 11 ft,,25,16
69,1,3:29.0,,Defensive rebound by A. Drummond,25,16
70,1,3:18.0,,M. Morris misses 2-pt jump shot from 13 ft,25,16
71,1,3:16.0,Defensive rebound by J. Hayes,,25,16
72,1,3:09.0,N. Melli misses 3-pt jump shot from 26 ft,,25,16
73,1,3:04.0,,Defensive rebound by A. Drummond,25,16
74,1,2:52.0,,Turnover by A. Drummond (traveling),25,16
75,1,2:52.0,New Orleans full timeout,,25,16
76,1,2:52.0,N. Alexander-Walker enters the game for J. Hart,,25,16
77,1,2:52.0,Z. Cheatham enters the game for N. Melli,,25,16
78,1,2:52.0,,J. Bone enters the game for A. Drummond,25,16
79,1,2:52.0,,C. Wood enters the game for T. Snell,25,16
80,1,2:37.0,F. Jackson misses 2-pt jump shot from 8 ft,,25,16
81,1,2:33.0,,Defensive rebound by L. Galloway,25,16
82,1,2:23.0,,M. Morris misses 3-pt jump shot from 24 ft,25,16
83,1,2:21.0,Defensive rebound by N. Alexander-Walker,,25,16
84,1,2:15.0,F. Jackson misses 3-pt jump shot from 25 ft,,25,16
85,1,2:10.0,Offensive rebound by F. Jackson,,25,16
86,1,2:04.0,Turnover by Z. Cheatham (bad pass; steal by L. Galloway),,25,16
87,1,1:59.0,,J. Bone misses 3-pt jump shot from 24 ft,25,16
88,1,1:54.0,Defensive rebound by L. Ball,,25,16
89,1,1:50.0,F. Jackson makes 2-pt layup from 3 ft (assist by L. Ball),,27,16
90,1,1:50.0,Shooting foul by L. Galloway (drawn by F. Jackson),,27,16
91,1,1:50.0,F. Jackson makes free throw 1 of 1,,28,16
92,1,1:35.0,,Shooting foul by Z. Cheatham (drawn by D. Rose),28,16
93,1,1:35.0,,D. Rose makes free throw 1 of 2,28,17
