,QUARTER,TIME_REMAINING,ORLANDO_ACTION,INDIANA_ACTION,ORLANDO_SCORE,INDIANA_SCORE
0,1,11:42.0,,Turnover by A. Holiday (bad pass; steal by J. Isaac),0,0
1,1,11:38.0,J. Isaac makes 2-pt layup from 3 ft,,2,0
2,1,11:17.0,,Offensive foul by D. Sabonis (drawn by K. Birch),2,0
3,1,11:17.0,,Turnover by D. Sabonis (offensive foul),2,0
4,1,11:05.0,E. Fournier misses 2-pt layup from 1 ft,,2,0
5,1,11:02.0,,Defensive rebound by M. Turner,2,0
6,1,10:54.0,,D. Sabonis makes 2-pt layup from 2 ft (assist by M. Turner),2,2
7,1,10:36.0,M. Fultz makes 2-pt jump shot from 15 ft (assist by E. Fournier),,4,2
8,1,10:23.0,,Turnover by D. Sabonis (bad pass),4,2
9,1,10:05.0,K. Birch makes 2-pt jump shot from 7 ft (assist by E. Fournier),,6,2
10,1,9:47.0,,J. Lamb misses 2-pt layup from 2 ft (block by J. Isaac),6,2
11,1,9:47.0,,Offensive rebound by Team,6,2
12,1,9:42.0,,T. Warren makes 2-pt layup from 3 ft,6,4
13,1,9:29.0,Turnover by K. Birch (traveling),,6,4
14,1,9:19.0,,A. Holiday makes 2-pt jump shot from 13 ft,6,6
15,1,9:07.0,E. Fournier makes 3-pt jump shot from 25 ft,,9,6
16,1,8:52.0,,J. Lamb makes 2-pt jump shot from 12 ft,9,8
17,1,8:35.0,Personal foul by J. Lamb (drawn by K. Birch),,9,8
18,1,8:30.0,Offensive foul by K. Birch (drawn by J. Lamb),,9,8
19,1,8:30.0,Turnover by K. Birch (offensive foul),,9,8
20,1,8:21.0,,A. Holiday makes 2-pt jump shot from 18 ft,9,10
21,1,8:07.0,J. Isaac makes 2-pt dunk from 1 ft (assist by M. Fultz),,11,10
22,1,7:53.0,,M. Turner makes 2-pt layup from 2 ft (assist by D. Sabonis),11,12
23,1,7:36.0,E. Fournier misses 2-pt layup from 3 ft,,11,12
24,1,7:35.0,,Defensive rebound by Team,11,12
25,1,7:35.0,Loose ball foul by K. Birch (drawn by M. Turner),,11,12
26,1,7:20.0,,M. Turner misses 3-pt jump shot from 23 ft,11,12
27,1,7:16.0,Defensive rebound by J. Isaac,,11,12
28,1,7:06.0,E. Fournier makes 2-pt jump shot from 12 ft,,13,12
29,1,6:53.0,,Turnover by M. Turner (traveling),13,12
30,1,6:53.0,,Indiana full timeout,13,12
31,1,6:53.0,M. Bamba enters the game for K. Birch,,13,12
32,1,6:42.0,M. Fultz misses 3-pt jump shot from 25 ft,,13,12
33,1,6:39.0,,Defensive rebound by T. Warren,13,12
34,1,6:24.0,,D. Sabonis makes 2-pt layup from 1 ft (assist by M. Turner),13,14
35,1,6:10.0,M. Fultz makes 2-pt layup from 2 ft,,15,14
36,1,5:55.0,,Turnover by D. Sabonis (lost ball; steal by W. Iwundu),15,14
37,1,5:47.0,W. Iwundu misses 3-pt jump shot from 25 ft,,15,14
38,1,5:44.0,,Defensive rebound by M. Turner,15,14
39,1,5:38.0,,D. Sabonis misses 2-pt layup from 3 ft,15,14
40,1,5:35.0,Defensive rebound by M. Bamba,,15,14
41,1,5:20.0,Turnover by E. Fournier (bad pass; steal by M. Turner),,15,14
42,1,5:13.0,,Personal foul by J. Isaac (drawn by D. Sabonis),15,14
43,1,5:13.0,A. Aminu enters the game for E. Fournier,,15,14
44,1,5:13.0,T. Ross enters the game for J. Isaac,,15,14
45,1,5:00.0,,Offensive foul by M. Turner (drawn by M. Bamba),15,14
46,1,5:00.0,,Turnover by M. Turner (offensive foul),15,14
47,1,4:44.0,A. Aminu misses 2-pt layup from 2 ft,,15,14
48,1,4:40.0,,Defensive rebound by A. Holiday,15,14
49,1,4:28.0,,J. Lamb misses 3-pt jump shot from 23 ft,15,14
50,1,4:25.0,Defensive rebound by M. Bamba,,15,14
51,1,4:14.0,T. Ross makes 2-pt jump shot from 21 ft (assist by A. Aminu),,17,14
52,1,4:01.0,,Shooting foul by M. Bamba (drawn by D. Sabonis),17,14
53,1,4:01.0,,D. Sabonis makes free throw 1 of 2,17,15
54,1,4:01.0,D. Augustin enters the game for M. Fultz,,17,15
55,1,4:01.0,,J. Holiday enters the game for A. Holiday,17,15
56,1,4:01.0,,T. McConnell enters the game for J. Lamb,17,15
57,1,4:01.0,,D. Sabonis makes free throw 2 of 2,17,16
58,1,3:46.0,T. Ross makes 3-pt jump shot from 27 ft,,20,16
59,1,3:46.0,Shooting foul by M. Turner (drawn by T. Ross),,20,16
60,1,3:46.0,,G. Bitadze enters the game for D. Sabonis,20,16
61,1,3:46.0,,D. McDermott enters the game for M. Turner,20,16
62,1,3:46.0,T. Ross misses free throw 1 of 1,,20,16
63,1,3:43.0,,Defensive rebound by T. Warren,20,16
64,1,3:29.0,,T. Warren misses 2-pt layup from 3 ft (block by M. Bamba),20,16
