,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,MINNESOTA_ACTION,MEMPHIS_SCORE,MINNESOTA_SCORE
0,1,11:47.0,,J. Culver misses 3-pt jump shot from 26 ft,0,0
1,1,11:43.0,Defensive rebound by T. Jones,,0,0
2,1,11:29.0,J. Jackson makes 2-pt layup from 1 ft (assist by T. Jones),,2,0
3,1,11:12.0,,R. Covington makes 3-pt jump shot from 26 ft,2,3
4,1,10:55.0,Turnover by T. Jones (bad pass; steal by A. Wiggins),,2,3
5,1,10:49.0,,J. Culver misses 2-pt layup from 6 ft,2,3
6,1,10:48.0,Defensive rebound by J. Crowder,,2,3
7,1,10:33.0,J. Jackson makes 2-pt jump shot from 5 ft,,4,3
8,1,10:25.0,,K. Towns misses 3-pt jump shot from 26 ft,4,3
9,1,10:23.0,Defensive rebound by Team,,4,3
10,1,10:08.0,D. Brooks misses 2-pt layup from 2 ft,,4,3
11,1,10:05.0,,Defensive rebound by K. Towns,4,3
12,1,9:59.0,,R. Covington misses 2-pt jump shot from 6 ft,4,3
13,1,9:57.0,Defensive rebound by T. Jones,,4,3
14,1,9:52.0,T. Jones misses 2-pt jump shot from 8 ft,,4,3
15,1,9:49.0,,Defensive rebound by K. Towns,4,3
16,1,9:42.0,,A. Wiggins makes 2-pt jump shot from 15 ft,4,5
17,1,9:26.0,J. Jackson misses 3-pt jump shot from 24 ft,,4,5
18,1,9:24.0,,Defensive rebound by K. Towns,4,5
19,1,9:18.0,,R. Covington misses 3-pt jump shot from 24 ft,4,5
20,1,9:14.0,Defensive rebound by B. Clarke,,4,5
21,1,9:07.0,J. Crowder makes 3-pt jump shot from 25 ft (assist by B. Clarke),,7,5
22,1,8:45.0,,A. Wiggins makes 3-pt jump shot from 25 ft (assist by K. Towns),7,8
23,1,8:33.0,B. Clarke misses 3-pt jump shot from 25 ft,,7,8
24,1,8:30.0,,Defensive rebound by R. Covington,7,8
25,1,8:15.0,,J. Culver makes 2-pt layup at rim (assist by K. Towns),7,10
26,1,7:57.0,J. Crowder misses 2-pt jump shot from 17 ft,,7,10
27,1,7:55.0,,Defensive rebound by K. Towns,7,10
28,1,7:45.0,,K. Towns misses 2-pt layup from 1 ft,7,10
29,1,7:42.0,Defensive rebound by J. Crowder,,7,10
30,1,7:37.0,B. Clarke misses 2-pt jump shot from 12 ft,,7,10
31,1,7:35.0,,Defensive rebound by R. Covington,7,10
32,1,7:31.0,,Personal foul by J. Jackson (drawn by K. Towns),7,10
33,1,7:24.0,,A. Wiggins misses 2-pt layup from 3 ft,7,10
34,1,7:24.0,Defensive rebound by Team,,7,10
35,1,7:10.0,D. Brooks misses 2-pt layup from 1 ft,,7,10
36,1,7:08.0,,Defensive rebound by K. Towns,7,10
37,1,6:54.0,,R. Covington misses 3-pt jump shot from 26 ft,7,10
38,1,6:51.0,,Offensive rebound by T. Graham,7,10
39,1,6:38.0,,K. Towns makes 2-pt dunk from 1 ft (assist by R. Covington),7,12
40,1,6:38.0,Memphis full timeout,,7,12
41,1,6:38.0,G. Allen enters the game for D. Brooks,,7,12
42,1,6:38.0,S. Hill enters the game for B. Clarke,,7,12
43,1,6:38.0,,J. Teague enters the game for A. Wiggins,7,12
44,1,6:26.0,J. Crowder misses 3-pt jump shot from 25 ft,,7,12
45,1,6:23.0,,Defensive rebound by J. Teague,7,12
46,1,6:07.0,,R. Covington misses 3-pt jump shot from 25 ft,7,12
47,1,6:04.0,Defensive rebound by S. Hill,,7,12
48,1,5:52.0,T. Jones makes 2-pt jump shot from 20 ft,,9,12
49,1,5:35.0,,Turnover by R. Covington (bad pass),9,12
50,1,5:35.0,,S. Napier enters the game for J. Culver,9,12
51,1,5:35.0,,J. Okogie enters the game for T. Graham,9,12
52,1,5:16.0,T. Jones misses 2-pt jump shot from 23 ft,,9,12
53,1,5:14.0,,Defensive rebound by J. Okogie,9,12
54,1,5:02.0,,J. Okogie misses 2-pt layup from 1 ft,9,12
55,1,5:00.0,Defensive rebound by J. Jackson,,9,12
56,1,4:57.0,J. Crowder makes 2-pt layup from 1 ft (assist by S. Hill),,11,12
57,1,4:57.0,Shooting foul by R. Covington (drawn by J. Crowder),,11,12
58,1,4:57.0,D. Melton enters the game for T. Jones,,11,12
59,1,4:57.0,J. Crowder makes free throw 1 of 1,,12,12
60,1,4:40.0,,K. Towns makes 2-pt layup from 1 ft (assist by J. Teague),12,14
61,1,4:33.0,J. Crowder misses 3-pt jump shot from 26 ft,,12,14
62,1,4:32.0,,Defensive rebound by J. Teague,12,14
63,1,4:17.0,,K. Towns misses 2-pt layup from 2 ft (block by J. Jackson),12,14
64,1,4:11.0,Defensive rebound by G. Allen,,12,14
65,1,4:06.0,Turnover by J. Crowder (lost ball; steal by S. Napier),,12,14
66,1,3:58.0,,K. Towns misses 3-pt jump shot from 25 ft,12,14
67,1,3:56.0,Defensive rebound by J. Crowder,,12,14
68,1,3:47.0,J. Jackson misses 3-pt jump shot from 26 ft,,12,14
69,1,3:45.0,,Defensive rebound by S. Napier,12,14
70,1,3:41.0,,Turnover by S. Napier (bad pass; steal by D. Melton),12,14
71,1,3:33.0,J. Crowder misses 2-pt layup from 2 ft (block by J. Okogie),,12,14
72,1,3:33.0,Offensive rebound by J. Crowder,,12,14
73,1,3:31.0,S. Hill makes 3-pt jump shot from 25 ft (assist by J. Crowder),,15,14
74,1,3:31.0,,Minnesota full timeout,15,14
75,1,3:31.0,B. Caboclo enters the game for J. Crowder,,15,14
76,1,3:31.0,M. Guduric enters the game for J. Jackson,,15,14
77,1,3:31.0,,K. Bates-Diop enters the game for R. Covington,15,14
78,1,3:21.0,,S. Napier makes 3-pt jump shot from 25 ft (assist by K. Towns),15,17
79,1,3:07.0,Turnover by M. Guduric (lost ball; steal by J. Okogie),,15,17
80,1,3:02.0,,J. Okogie misses 3-pt jump shot from 26 ft,15,17
81,1,3:00.0,Defensive rebound by D. Melton,,15,17
82,1,2:46.0,Shooting foul by S. Napier (drawn by G. Allen),,15,17
83,1,2:46.0,G. Allen makes free throw 1 of 2,,16,17
84,1,2:46.0,G. Allen makes free throw 2 of 2,,17,17
85,1,2:26.0,,J. Okogie misses 2-pt layup from 3 ft,17,17
86,1,2:23.0,Defensive rebound by M. Guduric,,17,17
87,1,2:19.0,M. Guduric makes 2-pt layup from 1 ft (assist by D. Melton),,19,17
88,1,1:54.0,,J. Okogie makes 2-pt layup from 1 ft (assist by K. Bates-Diop),19,19
89,1,1:43.0,D. Melton misses 3-pt jump shot from 25 ft,,19,19
90,1,1:41.0,Offensive rebound by B. Caboclo,,19,19
91,1,1:38.0,G. Allen makes 3-pt jump shot from 24 ft (assist by B. Caboclo),,22,19
92,1,1:24.0,,Turnover by K. Towns (out of bounds lost ball),22,19
93,1,1:24.0,,G. Dieng enters the game for S. Napier,22,19
94,1,1:24.0,,A. Wiggins enters the game for K. Towns,22,19
95,1,1:09.0,B. Caboclo misses 2-pt layup from 1 ft (block by G. Dieng),,22,19
96,1,1:07.0,,Defensive rebound by K. Bates-Diop,22,19
97,1,0:49.0,,K. Bates-Diop makes 2-pt layup from 1 ft (assist by A. Wiggins),22,21
