,QUARTER,TIME_REMAINING,DETROIT_ACTION,SAN ANTONIO_ACTION,DETROIT_SCORE,SAN ANTONIO_SCORE
0,1,11:45.0,T. Snell misses 3-pt jump shot from 25 ft,,0,0
1,1,11:41.0,,Defensive rebound by D. Murray,0,0
2,1,11:32.0,,L. Aldridge makes 3-pt jump shot from 26 ft (assist by B. Forbes),0,3
3,1,11:20.0,A. Drummond makes 2-pt layup from 1 ft,,2,3
4,1,11:20.0,Shooting foul by L. Aldridge (drawn by A. Drummond),,2,3
5,1,11:20.0,A. Drummond makes free throw 1 of 1,,3,3
6,1,11:07.0,,Turnover by D. Murray (bad pass; steal by A. Drummond),3,3
7,1,11:03.0,A. Drummond makes 2-pt dunk from 1 ft,,5,3
8,1,10:47.0,,D. DeRozan makes 2-pt jump shot from 16 ft (assist by B. Forbes),5,5
9,1,10:26.0,A. Drummond misses 2-pt layup from 4 ft (block by T. Lyles),,5,5
10,1,10:21.0,Offensive rebound by A. Drummond,,5,5
11,1,10:21.0,A. Drummond misses 2-pt layup at rim,,5,5
12,1,10:20.0,,Defensive rebound by L. Aldridge,5,5
13,1,10:16.0,,T. Lyles makes 3-pt jump shot from 24 ft (assist by D. DeRozan),5,8
14,1,9:55.0,A. Drummond misses 3-pt jump shot from 24 ft,,5,8
15,1,9:53.0,,Defensive rebound by B. Forbes,5,8
16,1,9:47.0,,L. Aldridge misses 2-pt jump shot from 19 ft,5,8
17,1,9:44.0,Defensive rebound by A. Drummond,,5,8
18,1,9:39.0,T. Frazier misses 2-pt layup from 4 ft,,5,8
19,1,9:36.0,,Defensive rebound by L. Aldridge,5,8
20,1,9:30.0,,Shooting foul by T. Snell (drawn by D. DeRozan),5,8
21,1,9:30.0,,D. DeRozan makes free throw 1 of 2,5,9
22,1,9:30.0,,D. DeRozan makes free throw 2 of 2,5,10
23,1,9:13.0,Personal foul by T. Lyles (drawn by T. Frazier),,5,10
24,1,9:07.0,B. Griffin misses 2-pt layup from 3 ft,,5,10
25,1,9:04.0,,Defensive rebound by L. Aldridge,5,10
26,1,9:01.0,,Personal foul by T. Frazier (drawn by D. Murray),5,10
27,1,9:01.0,Violation by Team (kicked ball),,5,10
28,1,8:47.0,,D. DeRozan makes 2-pt layup at rim,5,12
29,1,8:35.0,A. Drummond makes 2-pt layup from 2 ft (assist by T. Snell),,7,12
30,1,8:24.0,,L. Aldridge misses 2-pt jump shot from 21 ft,7,12
31,1,8:21.0,Defensive rebound by A. Drummond,,7,12
32,1,8:06.0,S. Mykhailiuk misses 3-pt jump shot from 25 ft,,7,12
33,1,8:02.0,,Defensive rebound by L. Aldridge,7,12
34,1,7:39.0,,B. Forbes makes 2-pt jump shot from 22 ft,7,14
35,1,7:32.0,B. Griffin makes 3-pt jump shot from 25 ft,,10,14
36,1,7:30.0,,San Antonio full timeout,10,14
37,1,7:17.0,,L. Aldridge makes 3-pt jump shot from 25 ft (assist by D. DeRozan),10,17
38,1,6:53.0,B. Griffin misses 2-pt layup from 3 ft (block by T. Lyles),,10,17
