,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,PHILADELPHIA_ACTION,MILWAUKEE_SCORE,PHILADELPHIA_SCORE
0,1,11:44.0,,T. Harris misses 2-pt jump shot from 16 ft,0,0
1,1,11:40.0,Defensive rebound by W. Matthews,,0,0
2,1,11:34.0,G. Antetokounmpo makes 2-pt jump shot from 18 ft,,2,0
3,1,11:13.0,,B. Simmons makes 2-pt hook shot from 3 ft,2,2
4,1,11:00.0,K. Middleton makes 3-pt jump shot from 27 ft (assist by G. Antetokounmpo),,5,2
5,1,10:47.0,,T. Harris makes 2-pt jump shot from 6 ft,5,4
6,1,10:35.0,G. Antetokounmpo misses 3-pt jump shot from 27 ft,,5,4
7,1,10:32.0,,Defensive rebound by B. Simmons,5,4
8,1,10:27.0,,J. Embiid makes 2-pt layup from 2 ft (assist by B. Simmons),5,6
9,1,10:13.0,Turnover by K. Middleton (bad pass; steal by B. Simmons),,5,6
10,1,10:08.0,,J. Richardson makes 3-pt jump shot from 25 ft (assist by A. Horford),5,9
11,1,9:52.0,K. Middleton misses 2-pt jump shot from 16 ft (block by B. Simmons),,5,9
12,1,9:52.0,Offensive rebound by Team,,5,9
13,1,9:50.0,W. Matthews makes 2-pt layup at rim (assist by D. DiVincenzo),,7,9
14,1,9:35.0,,J. Embiid misses 3-pt jump shot from 26 ft,7,9
15,1,9:32.0,Defensive rebound by G. Antetokounmpo,,7,9
16,1,9:23.0,D. DiVincenzo makes 2-pt layup from 5 ft (assist by G. Antetokounmpo),,9,9
17,1,9:02.0,,J. Embiid makes 2-pt jump shot from 17 ft,9,11
18,1,8:47.0,Shooting foul by J. Embiid (drawn by G. Antetokounmpo),,9,11
19,1,8:47.0,G. Antetokounmpo makes free throw 1 of 2,,10,11
20,1,8:47.0,G. Antetokounmpo misses free throw 2 of 2,,10,11
21,1,8:45.0,,Defensive rebound by Team,10,11
22,1,8:45.0,Loose ball foul by K. Middleton (drawn by J. Embiid),,10,11
23,1,8:27.0,,J. Richardson misses 3-pt jump shot from 25 ft,10,11
24,1,8:24.0,Defensive rebound by Team,,10,11
25,1,8:17.0,G. Antetokounmpo makes 2-pt layup from 1 ft (assist by W. Matthews),,12,11
26,1,8:08.0,,J. Embiid misses 3-pt jump shot from 27 ft,12,11
27,1,8:08.0,Defensive rebound by G. Antetokounmpo,,12,11
28,1,8:01.0,G. Antetokounmpo misses 3-pt jump shot from 26 ft,,12,11
29,1,7:58.0,Offensive rebound by K. Middleton,,12,11
30,1,7:56.0,,Violation by Team (kicked ball),12,11
31,1,7:50.0,D. DiVincenzo makes 2-pt dunk from 1 ft (assist by G. Antetokounmpo),,14,11
32,1,7:37.0,,J. Richardson misses 2-pt jump shot from 13 ft,14,11
33,1,7:37.0,Defensive rebound by G. Antetokounmpo,,14,11
34,1,7:29.0,D. DiVincenzo misses 3-pt jump shot from 30 ft,,14,11
35,1,7:26.0,,Defensive rebound by A. Horford,14,11
