,QUARTER,TIME_REMAINING,INDIANA_ACTION,CHARLOTTE_ACTION,INDIANA_SCORE,CHARLOTTE_SCORE
0,1,11:44.0,G. Bitadze misses 2-pt jump shot from 17 ft,,0,0
1,1,11:40.0,,Defensive rebound by T. Rozier,0,0
2,1,11:21.0,,C. Zeller misses 3-pt jump shot from 26 ft,0,0
3,1,11:19.0,Defensive rebound by Team,,0,0
4,1,11:03.0,Turnover by G. Bitadze (bad pass; steal by P. Washington),,0,0
5,1,11:00.0,,D. Bacon misses 2-pt layup from 2 ft,0,0
6,1,10:58.0,Defensive rebound by G. Bitadze,,0,0
7,1,10:49.0,T. Warren makes 2-pt layup from 2 ft (assist by M. Brogdon),,2,0
8,1,10:39.0,,T. Rozier makes 2-pt jump shot from 14 ft,2,2
9,1,10:27.0,Offensive foul by M. Brogdon (drawn by T. Rozier),,2,2
10,1,10:27.0,Turnover by M. Brogdon (offensive foul),,2,2
11,1,10:12.0,,D. Bacon misses 2-pt layup from 3 ft,2,2
12,1,10:10.0,Defensive rebound by T. Warren,,2,2
13,1,10:02.0,M. Brogdon misses 3-pt jump shot from 25 ft,,2,2
14,1,9:59.0,,Defensive rebound by P. Washington,2,2
15,1,9:51.0,,Turnover by T. Rozier (bad pass; steal by J. Lamb),2,2
16,1,9:46.0,J. Lamb makes 3-pt jump shot from 26 ft (assist by M. Brogdon),,5,2
17,1,9:29.0,,Turnover by M. Bridges (bad pass; steal by J. Lamb),5,2
18,1,9:28.0,Personal take foul by D. Bacon (drawn by J. Lamb),,5,2
19,1,9:28.0,Instant Replay (Request: Ruling Stands),,5,2
20,1,9:23.0,J. Lamb misses 3-pt jump shot from 25 ft,,5,2
21,1,9:21.0,Offensive rebound by J. Sampson,,5,2
22,1,9:08.0,J. Lamb misses 2-pt jump shot from 10 ft,,5,2
23,1,9:04.0,Offensive rebound by J. Sampson,,5,2
24,1,9:04.0,J. Sampson misses 2-pt layup at rim,,5,2
25,1,9:03.0,,Defensive rebound by P. Washington,5,2
26,1,8:55.0,,C. Zeller makes 2-pt jump shot from 6 ft (assist by M. Bridges),5,4
27,1,8:39.0,T. Warren makes 2-pt jump shot from 11 ft,,7,4
28,1,8:29.0,,Shooting foul by G. Bitadze (drawn by C. Zeller),7,4
29,1,8:29.0,,C. Zeller makes free throw 1 of 2,7,5
30,1,8:29.0,,C. Zeller makes free throw 2 of 2,7,6
31,1,8:18.0,M. Brogdon makes 3-pt jump shot from 25 ft (assist by T. Warren),,10,6
32,1,8:09.0,,Offensive foul by D. Bacon (drawn by J. Lamb),10,6
33,1,8:09.0,,Turnover by D. Bacon (offensive foul),10,6
34,1,8:09.0,,D. Graham enters the game for D. Bacon,10,6
35,1,7:49.0,M. Brogdon makes 2-pt layup from 3 ft,,12,6
36,1,7:49.0,,Charlotte full timeout,12,6
37,1,7:34.0,,D. Graham misses 2-pt jump shot from 14 ft,12,6
38,1,7:32.0,Defensive rebound by M. Brogdon,,12,6
39,1,7:21.0,J. Sampson makes 2-pt hook shot from 4 ft (assist by G. Bitadze),,14,6
40,1,7:13.0,,Turnover by C. Zeller (bad pass),14,6
41,1,6:55.0,T. Warren makes 2-pt jump shot from 15 ft (assist by J. Sampson),,16,6
42,1,6:41.0,,C. Zeller misses 2-pt layup from 3 ft,16,6
43,1,6:39.0,Defensive rebound by G. Bitadze,,16,6
44,1,6:29.0,J. Sampson makes 3-pt jump shot from 24 ft (assist by T. Warren),,19,6
45,1,6:07.0,,T. Rozier misses 3-pt jump shot from 23 ft,19,6
46,1,6:06.0,Defensive rebound by Team,,19,6
47,1,5:57.0,T. Warren makes 2-pt jump shot from 16 ft (assist by M. Brogdon),,21,6
48,1,5:42.0,,M. Bridges makes 2-pt layup from 2 ft (assist by D. Graham),21,8
49,1,5:30.0,J. Lamb misses 2-pt layup from 3 ft,,21,8
50,1,5:25.0,Offensive rebound by G. Bitadze,,21,8
51,1,5:25.0,G. Bitadze makes 2-pt layup at rim,,23,8
52,1,5:16.0,,C. Zeller misses 3-pt jump shot from 26 ft,23,8
53,1,5:13.0,Defensive rebound by M. Brogdon,,23,8
54,1,4:58.0,M. Brogdon makes 2-pt jump shot from 18 ft,,25,8
55,1,4:43.0,,P. Washington misses 3-pt jump shot from 26 ft,25,8
56,1,4:37.0,Defensive rebound by J. Lamb,,25,8
57,1,4:35.0,M. Brogdon misses 3-pt jump shot from 29 ft,,25,8
58,1,4:32.0,,Defensive rebound by C. Zeller,25,8
59,1,4:26.0,,Shooting foul by J. Lamb (drawn by T. Rozier),25,8
60,1,4:26.0,,T. Rozier makes free throw 1 of 2,25,9
61,1,4:26.0,J. Holiday enters the game for G. Bitadze,,25,9
62,1,4:26.0,T. Leaf enters the game for J. Sampson,,25,9
63,1,4:26.0,,M. Monk enters the game for M. Bridges,25,9
64,1,4:26.0,,M. Williams enters the game for C. Zeller,25,9
65,1,4:26.0,,T. Rozier makes free throw 2 of 2,25,10
66,1,4:18.0,Turnover by J. Holiday (dbl dribble),,25,10
67,1,4:08.0,,Turnover by D. Graham (bad pass),25,10
68,1,3:51.0,J. Lamb makes 2-pt jump shot from 19 ft (assist by J. Holiday),,27,10
69,1,3:23.0,,P. Washington makes 2-pt dunk from 2 ft (assist by D. Graham),27,12
70,1,3:17.0,Indiana full timeout,,27,12
71,1,3:17.0,A. Holiday enters the game for M. Brogdon,,27,12
72,1,3:17.0,T. McConnell enters the game for J. Lamb,,27,12
73,1,3:17.0,,C. Martin enters the game for T. Rozier,27,12
74,1,3:07.0,T. Warren misses 2-pt jump shot from 19 ft,,27,12
75,1,3:07.0,,Defensive rebound by Team,27,12
76,1,2:55.0,,Personal foul by T. Leaf (drawn by P. Washington),27,12
