,QUARTER,TIME_REMAINING,DALLAS_ACTION,GOLDEN STATE_ACTION,DALLAS_SCORE,GOLDEN STATE_SCORE
0,1,11:47.0,,D. Russell misses 3-pt jump shot from 26 ft,0,0
1,1,11:45.0,Defensive rebound by T. Hardaway,,0,0
2,1,11:24.0,L. Dončić misses 2-pt jump shot from 10 ft,,0,0
3,1,11:23.0,Offensive rebound by L. Dončić,,0,0
4,1,11:22.0,L. Dončić makes 2-pt jump shot from 9 ft,,2,0
5,1,11:15.0,,G. Robinson misses 3-pt jump shot from 23 ft,2,0
6,1,11:13.0,,Offensive rebound by O. Spellman,2,0
7,1,11:08.0,,D. Green makes 3-pt jump shot from 27 ft (assist by A. Burks),2,3
8,1,10:51.0,M. Kleber makes 3-pt jump shot from 22 ft (assist by D. Powell),,5,3
9,1,10:38.0,,G. Robinson misses 2-pt jump shot from 10 ft,5,3
10,1,10:37.0,Defensive rebound by M. Kleber,,5,3
11,1,10:24.0,T. Hardaway misses 3-pt jump shot from 26 ft,,5,3
12,1,10:22.0,,Defensive rebound by O. Spellman,5,3
13,1,10:14.0,,A. Burks misses 2-pt jump shot from 8 ft,5,3
14,1,10:12.0,Defensive rebound by L. Dončić,,5,3
15,1,10:05.0,L. Dončić misses 3-pt jump shot from 27 ft,,5,3
16,1,10:03.0,Offensive rebound by T. Hardaway,,5,3
17,1,10:02.0,T. Hardaway makes 2-pt jump shot from 18 ft,,7,3
18,1,9:48.0,,A. Burks makes 2-pt jump shot from 18 ft (assist by D. Green),7,5
19,1,9:30.0,M. Kleber makes 3-pt jump shot from 23 ft (assist by D. Finney-Smith),,10,5
20,1,9:14.0,,D. Russell makes 2-pt dunk from 2 ft (assist by G. Robinson),10,7
21,1,9:01.0,M. Kleber misses 3-pt jump shot from 23 ft,,10,7
22,1,8:59.0,,Defensive rebound by G. Robinson,10,7
23,1,8:44.0,,D. Russell misses 3-pt jump shot from 28 ft,10,7
24,1,8:42.0,Defensive rebound by L. Dončić,,10,7
