,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,OKLAHOMA CITY_ACTION,MILWAUKEE_SCORE,OKLAHOMA CITY_SCORE
0,1,11:49.0,G. Antetokounmpo makes 2-pt jump shot from 20 ft,,2,0
1,1,11:29.0,,D. Gallinari misses 3-pt jump shot from 27 ft,2,0
2,1,11:26.0,Defensive rebound by E. Bledsoe,,2,0
3,1,11:19.0,E. Bledsoe makes 2-pt jump shot from 2 ft,,4,0
4,1,11:03.0,,T. Ferguson makes 2-pt layup from 2 ft (assist by N. Noel),4,2
5,1,10:52.0,Turnover by G. Antetokounmpo (bad pass; steal by D. Gallinari),,4,2
6,1,10:32.0,,S. Gilgeous-Alexander makes 2-pt jump shot from 19 ft (assist by C. Paul),4,4
7,1,10:19.0,K. Middleton makes 2-pt layup from 1 ft (assist by E. Bledsoe),,6,4
8,1,10:09.0,,C. Paul misses 2-pt jump shot from 14 ft (block by E. Bledsoe),6,4
9,1,10:06.0,Defensive rebound by G. Antetokounmpo,,6,4
10,1,9:59.0,G. Antetokounmpo misses 2-pt jump shot from 5 ft,,6,4
11,1,9:58.0,,Defensive rebound by S. Gilgeous-Alexander,6,4
12,1,9:40.0,,S. Gilgeous-Alexander misses 2-pt jump shot from 12 ft,6,4
13,1,9:35.0,,Offensive rebound by S. Gilgeous-Alexander,6,4
14,1,9:26.0,,S. Gilgeous-Alexander misses 2-pt jump shot from 19 ft,6,4
15,1,9:23.0,Defensive rebound by K. Middleton,,6,4
16,1,9:18.0,K. Middleton misses 3-pt jump shot from 26 ft,,6,4
17,1,9:15.0,,Defensive rebound by C. Paul,6,4
18,1,9:01.0,,T. Ferguson misses 3-pt jump shot from 25 ft,6,4
19,1,8:57.0,Defensive rebound by B. Lopez,,6,4
20,1,8:53.0,G. Antetokounmpo misses 2-pt layup from 3 ft,,6,4
21,1,8:51.0,,Defensive rebound by C. Paul,6,4
22,1,8:41.0,,D. Gallinari misses 3-pt jump shot from 25 ft,6,4
23,1,8:39.0,Defensive rebound by K. Middleton,,6,4
24,1,8:34.0,Turnover by K. Middleton (out of bounds lost ball),,6,4
25,1,8:18.0,,C. Paul makes 2-pt jump shot from 9 ft,6,6
26,1,8:17.0,Milwaukee full timeout,,6,6
27,1,7:59.0,E. Bledsoe misses 3-pt jump shot from 27 ft,,6,6
28,1,7:59.0,Offensive rebound by Team,,6,6
29,1,7:59.0,,Loose ball foul by N. Noel (drawn by G. Antetokounmpo),6,6
30,1,7:46.0,W. Matthews makes 3-pt jump shot from 25 ft (assist by E. Bledsoe),,9,6
31,1,7:31.0,,Personal foul by E. Bledsoe (drawn by C. Paul),9,6
