,QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,BOSTON_ACTION,SACRAMENTO_SCORE,BOSTON_SCORE
0,1,11:45.0,,E. Freedom makes 2-pt layup from 2 ft,0,2
1,1,11:31.0,B. Hield makes 3-pt jump shot from 25 ft (assist by N. Bjelica),,3,2
2,1,11:12.0,,J. Brown misses 3-pt jump shot from 26 ft,3,2
3,1,11:10.0,Defensive rebound by C. Joseph,,3,2
4,1,10:55.0,Turnover by N. Bjelica (bad pass; steal by M. Smart),,3,2
5,1,10:51.0,,J. Tatum makes 2-pt dunk from 1 ft (assist by M. Smart),3,4
6,1,10:29.0,C. Joseph makes 2-pt jump shot from 15 ft,,5,4
7,1,10:04.0,,M. Smart misses 3-pt jump shot from 27 ft,5,4
8,1,10:02.0,,Offensive rebound by Team,5,4
9,1,10:02.0,,Turnover by Team (shot clock),5,4
10,1,9:51.0,N. Bjelica misses 3-pt jump shot from 22 ft,,5,4
11,1,9:46.0,,Defensive rebound by J. Brown,5,4
12,1,9:33.0,,M. Smart makes 2-pt jump shot from 11 ft,5,6
13,1,9:15.0,H. Barnes makes 2-pt layup from 4 ft (assist by B. Hield),,7,6
14,1,8:54.0,,Turnover by E. Freedom (lost ball; steal by C. Joseph),7,6
15,1,8:53.0,Turnover by C. Joseph (out of bounds lost ball),,7,6
16,1,8:40.0,,J. Tatum makes 2-pt layup from 1 ft (assist by E. Freedom),7,8
17,1,8:14.0,B. Hield misses 3-pt jump shot from 29 ft,,7,8
18,1,8:13.0,,Defensive rebound by Team,7,8
19,1,7:55.0,,Offensive foul by J. Tatum (drawn by B. Hield),7,8
20,1,7:55.0,,Turnover by J. Tatum (offensive foul),7,8
21,1,7:44.0,N. Bjelica misses 2-pt layup from 3 ft,,7,8
22,1,7:43.0,Offensive rebound by R. Holmes,,7,8
23,1,7:42.0,R. Holmes makes 2-pt dunk from 2 ft,,9,8
24,1,7:22.0,,Turnover by E. Freedom (bad pass),9,8
25,1,7:18.0,N. Bjelica misses 3-pt jump shot from 25 ft,,9,8
26,1,7:16.0,,Defensive rebound by J. Tatum,9,8
27,1,7:10.0,,Shooting foul by R. Holmes (drawn by J. Brown),9,8
28,1,7:10.0,,J. Brown misses free throw 1 of 2,9,8
29,1,7:10.0,,Offensive rebound by Team,9,8
30,1,7:10.0,,J. Brown makes free throw 2 of 2,9,9
31,1,6:59.0,Turnover by H. Barnes (lost ball; steal by E. Freedom),,9,9
32,1,6:51.0,,S. Ojeleye makes 2-pt layup at rim (assist by J. Tatum),9,11
33,1,6:32.0,B. Hield misses 3-pt jump shot from 26 ft,,9,11
34,1,6:32.0,,Defensive rebound by S. Ojeleye,9,11
35,1,6:21.0,,Shooting foul by N. Bjelica (drawn by J. Tatum),9,11
36,1,6:21.0,,Boston full timeout,9,11
37,1,6:21.0,B. Bogdanović enters the game for H. Barnes,,9,11
38,1,6:21.0,,J. Tatum misses free throw 1 of 2,9,11
39,1,6:21.0,,Offensive rebound by Team,9,11
40,1,6:21.0,,J. Tatum makes free throw 2 of 2,9,12
41,1,6:05.0,B. Bogdanović makes 2-pt jump shot from 17 ft (assist by R. Holmes),,11,12
42,1,5:41.0,,J. Tatum misses 2-pt jump shot from 13 ft,11,12
43,1,5:38.0,Defensive rebound by N. Bjelica,,11,12
44,1,5:29.0,Turnover by B. Hield (lost ball; steal by M. Smart),,11,12
45,1,5:17.0,,E. Freedom makes 2-pt hook shot from 9 ft,11,14
46,1,5:02.0,R. Holmes misses 2-pt jump shot from 10 ft,,11,14
47,1,5:01.0,Offensive rebound by Team,,11,14
48,1,5:01.0,,B. Wanamaker enters the game for E. Freedom,11,14
49,1,5:01.0,,R. Williams enters the game for J. Tatum,11,14
50,1,5:00.0,Personal foul by S. Ojeleye (drawn by B. Hield),,11,14
51,1,4:53.0,B. Bogdanović misses 3-pt jump shot from 26 ft,,11,14
52,1,4:49.0,,Defensive rebound by J. Brown,11,14
53,1,4:29.0,,M. Smart makes 2-pt layup from 2 ft,11,16
54,1,4:09.0,B. Bogdanović makes 2-pt layup from 2 ft (assist by N. Bjelica),,13,16
55,1,3:50.0,,J. Brown misses 3-pt jump shot from 26 ft,13,16
56,1,3:47.0,Defensive rebound by B. Hield,,13,16
57,1,3:43.0,B. Hield misses 3-pt jump shot from 25 ft,,13,16
58,1,3:39.0,,Defensive rebound by R. Williams,13,16
59,1,3:33.0,,B. Wanamaker misses 2-pt layup from 6 ft,13,16
60,1,3:32.0,Defensive rebound by R. Holmes,,13,16
61,1,3:22.0,R. Holmes makes 2-pt dunk from 1 ft (assist by C. Joseph),,15,16
62,1,3:01.0,,J. Brown makes 3-pt jump shot from 23 ft (assist by M. Smart),15,19
63,1,2:47.0,N. Bjelica misses 3-pt jump shot from 26 ft,,15,19
64,1,2:47.0,Offensive rebound by C. Joseph,,15,19
65,1,2:40.0,B. Bogdanović makes 3-pt jump shot from 27 ft (assist by C. Joseph),,18,19
66,1,2:15.0,,S. Ojeleye misses 3-pt jump shot from 25 ft,18,19
67,1,2:12.0,Defensive rebound by N. Bjelica,,18,19
68,1,2:07.0,Turnover by N. Bjelica (bad pass; steal by R. Williams),,18,19
69,1,1:59.0,,J. Brown misses 2-pt jump shot from 8 ft (block by R. Holmes),18,19
70,1,1:59.0,Defensive rebound by B. Bogdanović,,18,19
71,1,1:52.0,B. Hield makes 2-pt dunk at rim (assist by B. Bogdanović),,20,19
72,1,1:37.0,,S. Ojeleye misses 3-pt jump shot from 26 ft,20,19
73,1,1:34.0,Defensive rebound by N. Bjelica,,20,19
74,1,1:27.0,Personal foul by B. Wanamaker (drawn by B. Bogdanović),,20,19
75,1,1:27.0,Sacramento full timeout,,20,19
76,1,1:27.0,H. Barnes enters the game for N. Bjelica,,20,19
77,1,1:27.0,Y. Ferrell enters the game for B. Hield,,20,19
78,1,1:27.0,J. James enters the game for C. Joseph,,20,19
79,1,1:27.0,,C. Edwards enters the game for J. Brown,20,19
80,1,1:27.0,,J. Tatum enters the game for S. Ojeleye,20,19
81,1,1:27.0,,G. Williams enters the game for M. Smart,20,19
82,1,1:19.0,B. Bogdanović misses 3-pt jump shot from 25 ft,,20,19
83,1,1:17.0,,Defensive rebound by R. Williams,20,19
84,1,0:54.0,,G. Williams misses 2-pt jump shot from 10 ft,20,19
85,1,0:51.0,Defensive rebound by Y. Ferrell,,20,19
86,1,0:48.0,Turnover by Y. Ferrell (bad pass; steal by R. Williams),,20,19
