,QUARTER,TIME_REMAINING,PORTLAND_ACTION,MINNESOTA_ACTION,PORTLAND_SCORE,MINNESOTA_SCORE
0,1,11:46.0,C. McCollum makes 2-pt layup from 3 ft (assist by D. Lillard),,2,0
1,1,11:31.0,,R. Covington makes 2-pt jump shot from 20 ft (assist by S. Napier),2,2
2,1,11:05.0,C. Anthony misses 2-pt jump shot from 12 ft,,2,2
3,1,11:04.0,Offensive rebound by Team,,2,2
4,1,11:04.0,Turnover by Team (shot clock),,2,2
5,1,10:54.0,,G. Dieng misses 2-pt layup from 2 ft (block by H. Whiteside),2,2
6,1,10:52.0,Defensive rebound by H. Whiteside,,2,2
7,1,10:45.0,Turnover by H. Whiteside (traveling),,2,2
8,1,10:38.0,,G. Dieng misses 3-pt jump shot from 25 ft,2,2
9,1,10:34.0,Defensive rebound by H. Whiteside,,2,2
10,1,10:29.0,Shooting foul by J. Culver (drawn by K. Bazemore),,2,2
11,1,10:29.0,K. Bazemore misses free throw 1 of 2,,2,2
12,1,10:29.0,Offensive rebound by Team,,2,2
13,1,10:29.0,K. Bazemore makes free throw 2 of 2,,3,2
14,1,10:15.0,,J. Culver makes 2-pt layup from 1 ft,3,4
15,1,9:56.0,H. Whiteside misses 2-pt jump shot from 10 ft,,3,4
16,1,9:54.0,,Defensive rebound by G. Dieng,3,4
17,1,9:48.0,,Shooting foul by C. McCollum (drawn by A. Wiggins),3,4
18,1,9:48.0,,A. Wiggins misses free throw 1 of 2,3,4
19,1,9:48.0,,Offensive rebound by Team,3,4
20,1,9:48.0,,A. Wiggins makes free throw 2 of 2,3,5
21,1,9:30.0,H. Whiteside misses 2-pt layup from 2 ft,,3,5
22,1,9:27.0,Offensive rebound by C. Anthony,,3,5
23,1,9:27.0,C. Anthony makes 2-pt jump shot from 11 ft,,5,5
24,1,9:12.0,,A. Wiggins makes 2-pt jump shot from 5 ft,5,7
25,1,8:55.0,H. Whiteside misses 2-pt layup from 3 ft (block by G. Dieng),,5,7
26,1,8:52.0,,Defensive rebound by R. Covington,5,7
27,1,8:38.0,,S. Napier makes 3-pt jump shot from 25 ft,5,10
28,1,8:25.0,Personal foul by R. Covington (drawn by K. Bazemore),,5,10
29,1,8:20.0,D. Lillard misses 3-pt jump shot from 28 ft,,5,10
30,1,8:17.0,,Defensive rebound by G. Dieng,5,10
31,1,8:08.0,,S. Napier misses 3-pt jump shot from 25 ft,5,10
32,1,8:07.0,Defensive rebound by Team,,5,10
33,1,8:00.0,H. Whiteside makes 3-pt jump shot from 26 ft (assist by D. Lillard),,8,10
34,1,7:43.0,,A. Wiggins misses 2-pt jump shot from 14 ft,8,10
35,1,7:41.0,,Offensive rebound by G. Dieng,8,10
36,1,7:41.0,,G. Dieng misses 2-pt layup from 2 ft,8,10
37,1,7:40.0,,Offensive rebound by G. Dieng,8,10
38,1,7:39.0,,G. Dieng misses 2-pt layup from 1 ft (block by C. McCollum),8,10
39,1,7:38.0,,Offensive rebound by G. Dieng,8,10
40,1,7:38.0,,Turnover by G. Dieng (lost ball; steal by K. Bazemore),8,10
41,1,7:37.0,Personal foul by G. Dieng (drawn by K. Bazemore),,8,10
42,1,7:31.0,Shooting foul by G. Dieng (drawn by D. Lillard),,8,10
43,1,7:31.0,D. Lillard makes free throw 1 of 2,,9,10
44,1,7:31.0,,N. Vonleh enters the game for G. Dieng,9,10
45,1,7:31.0,D. Lillard makes free throw 2 of 2,,10,10
46,1,7:22.0,,S. Napier misses 3-pt jump shot from 25 ft,10,10
47,1,7:20.0,,Offensive rebound by N. Vonleh,10,10
48,1,7:18.0,,R. Covington misses 3-pt jump shot from 25 ft,10,10
49,1,7:15.0,Defensive rebound by H. Whiteside,,10,10
50,1,7:10.0,K. Bazemore misses 3-pt jump shot from 26 ft,,10,10
51,1,7:08.0,,Defensive rebound by N. Vonleh,10,10
52,1,6:57.0,,A. Wiggins makes 2-pt jump shot from 15 ft,10,12
53,1,6:48.0,C. McCollum makes 3-pt jump shot from 27 ft,,13,12
54,1,6:36.0,,J. Culver misses 2-pt layup from 5 ft,13,12
55,1,6:34.0,,Offensive rebound by J. Culver,13,12
56,1,6:34.0,,J. Culver makes 2-pt layup at rim,13,14
57,1,6:15.0,C. Anthony makes 2-pt jump shot from 8 ft,,15,14
58,1,5:59.0,,J. Culver misses 2-pt hook shot from 7 ft,15,14
59,1,5:58.0,,Offensive rebound by Team,15,14
60,1,5:58.0,,Minnesota full timeout,15,14
