,QUARTER,TIME_REMAINING,DETROIT_ACTION,PHILADELPHIA_ACTION,DETROIT_SCORE,PHILADELPHIA_SCORE
0,1,11:37.0,T. Maker misses 3-pt jump shot from 24 ft,,0,0
1,1,11:36.0,,Defensive rebound by T. Harris,0,0
2,1,11:22.0,,Personal foul by T. Maker (drawn by J. Embiid),0,0
3,1,11:09.0,,T. Harris misses 3-pt jump shot from 26 ft,0,0
4,1,11:07.0,Defensive rebound by S. Mykhailiuk,,0,0
5,1,11:00.0,C. Wood makes 3-pt jump shot from 27 ft (assist by B. Knight),,3,0
6,1,10:36.0,,Shooting foul by B. Knight (drawn by J. Richardson),3,0
7,1,10:36.0,,J. Richardson makes free throw 1 of 2,3,1
8,1,10:36.0,,J. Richardson makes free throw 2 of 2,3,2
9,1,10:14.0,S. Mykhailiuk makes 3-pt jump shot from 26 ft (assist by C. Wood),,6,2
10,1,9:57.0,,J. Embiid makes 2-pt jump shot from 11 ft,6,4
11,1,9:57.0,,Shooting foul by T. Maker (drawn by J. Embiid),6,4
12,1,9:57.0,,J. Embiid makes free throw 1 of 1,6,5
13,1,9:46.0,T. Maker makes 3-pt jump shot from 27 ft,,9,5
14,1,9:35.0,,S. Milton makes 2-pt jump shot from 12 ft (assist by A. Horford),9,7
15,1,9:23.0,B. Knight misses 3-pt jump shot from 26 ft (block by J. Richardson),,9,7
16,1,9:21.0,,Defensive rebound by J. Embiid,9,7
17,1,9:10.0,,J. Embiid misses 2-pt hook shot from 7 ft,9,7
18,1,9:08.0,Defensive rebound by B. Knight,,9,7
19,1,9:00.0,Personal foul by J. Embiid (drawn by C. Wood),,9,7
20,1,8:58.0,S. Mykhailiuk makes 3-pt jump shot from 26 ft (assist by B. Knight),,12,7
21,1,8:33.0,,A. Horford makes 2-pt dunk from 1 ft (assist by J. Embiid),12,9
22,1,8:22.0,Shooting foul by S. Milton (drawn by S. Mykhailiuk),,12,9
23,1,8:22.0,,Philadelphia full timeout,12,9
24,1,8:22.0,,Instant Replay (Challenge: Ruling Stands),12,9
25,1,8:22.0,S. Mykhailiuk makes free throw 1 of 3,,13,9
26,1,8:22.0,S. Mykhailiuk makes free throw 2 of 3,,14,9
27,1,8:22.0,S. Mykhailiuk makes free throw 3 of 3,,15,9
28,1,8:04.0,,Turnover by J. Embiid (bad pass; steal by T. Snell),15,9
29,1,7:59.0,S. Mykhailiuk misses 3-pt jump shot from 26 ft,,15,9
30,1,7:57.0,,Defensive rebound by A. Horford,15,9
