,QUARTER,TIME_REMAINING,NEW YORK_ACTION,UTAH_ACTION,NEW YORK_SCORE,UTAH_SCORE
0,1,11:42.0,T. Gibson misses 2-pt jump shot from 19 ft,,0,0
1,1,11:39.0,,Defensive rebound by B. Bogdanović,0,0
2,1,11:26.0,,Shooting foul by T. Gibson (drawn by R. Gobert),0,0
3,1,11:26.0,,R. Gobert makes free throw 1 of 2,0,1
4,1,11:26.0,,R. Gobert makes free throw 2 of 2,0,2
5,1,11:09.0,R. Barrett makes 2-pt jump shot from 10 ft,,2,2
6,1,10:53.0,,R. O'Neale misses 2-pt layup from 3 ft,2,2
7,1,10:49.0,Defensive rebound by B. Portis,,2,2
8,1,10:44.0,R. Bullock makes 2-pt jump shot from 19 ft,,4,2
9,1,10:32.0,,D. Mitchell makes 3-pt jump shot from 26 ft (assist by J. Ingles),4,5
10,1,10:14.0,Turnover by T. Gibson (bad pass; steal by D. Mitchell),,4,5
11,1,10:10.0,,D. Mitchell makes 2-pt layup from 2 ft,4,7
12,1,9:51.0,T. Gibson makes 2-pt jump shot from 11 ft (assist by B. Portis),,6,7
13,1,9:40.0,,B. Bogdanović makes 3-pt jump shot from 23 ft (assist by R. Gobert),6,10
14,1,9:17.0,R. Bullock makes 3-pt jump shot from 25 ft (assist by T. Gibson),,9,10
15,1,9:17.0,Instant Replay (Request: Ruling Stands),,9,10
16,1,9:03.0,,Shooting foul by T. Gibson (drawn by R. Gobert),9,10
17,1,9:03.0,,R. Gobert makes free throw 1 of 2,9,11
18,1,9:03.0,M. Robinson enters the game for T. Gibson,,9,11
19,1,9:03.0,,R. Gobert makes free throw 2 of 2,9,12
20,1,8:47.0,E. Payton makes 2-pt jump shot from 8 ft,,11,12
21,1,8:33.0,,B. Bogdanović makes 3-pt jump shot from 25 ft (assist by D. Mitchell),11,15
22,1,8:16.0,B. Portis misses 2-pt hook shot from 6 ft,,11,15
23,1,8:14.0,,Defensive rebound by R. Gobert,11,15
24,1,8:03.0,,J. Ingles misses 3-pt jump shot from 25 ft,11,15
25,1,7:59.0,Defensive rebound by R. Bullock,,11,15
26,1,7:51.0,E. Payton misses 2-pt layup from 4 ft (block by B. Bogdanović),,11,15
27,1,7:49.0,Offensive rebound by E. Payton,,11,15
28,1,7:48.0,E. Payton makes 2-pt layup from 3 ft,,13,15
29,1,7:26.0,,R. O'Neale makes 2-pt layup from 3 ft (assist by B. Bogdanović),13,17
30,1,7:19.0,New York full timeout,,13,17
31,1,7:08.0,B. Portis misses 2-pt layup from 9 ft,,13,17
32,1,7:05.0,,Defensive rebound by R. O'Neale,13,17
33,1,6:55.0,,B. Bogdanović makes 2-pt jump shot from 10 ft,13,19
34,1,6:35.0,E. Payton makes 3-pt jump shot from 24 ft (assist by B. Portis),,16,19
35,1,6:17.0,,J. Ingles misses 3-pt jump shot from 25 ft,16,19
36,1,6:15.0,Defensive rebound by E. Payton,,16,19
37,1,6:10.0,E. Payton misses 2-pt layup from 3 ft,,16,19
38,1,6:08.0,,Defensive rebound by R. O'Neale,16,19
39,1,6:01.0,,R. Gobert makes 2-pt dunk from 1 ft (assist by R. O'Neale),16,21
40,1,5:39.0,R. Bullock misses 3-pt jump shot from 25 ft,,16,21
41,1,5:36.0,,Defensive rebound by R. Gobert,16,21
42,1,5:31.0,,B. Bogdanović misses 3-pt jump shot from 28 ft,16,21
43,1,5:26.0,Defensive rebound by M. Robinson,,16,21
44,1,5:22.0,Offensive foul by M. Robinson (drawn by J. Ingles),,16,21
45,1,5:22.0,Turnover by M. Robinson (offensive foul),,16,21
46,1,5:22.0,K. Knox enters the game for B. Portis,,16,21
47,1,5:22.0,,J. Clarkson enters the game for D. Mitchell,16,21
48,1,5:07.0,,J. Ingles makes 2-pt layup from 4 ft,16,23
49,1,4:50.0,E. Payton misses 2-pt jump shot from 20 ft,,16,23
50,1,4:48.0,,Defensive rebound by R. Gobert,16,23
51,1,4:40.0,,R. Gobert makes 2-pt dunk from 3 ft (assist by J. Ingles),16,25
52,1,4:31.0,New York full timeout,,16,25
53,1,4:31.0,,E. Mudiay enters the game for J. Ingles,16,25
54,1,4:17.0,M. Robinson misses 2-pt layup from 3 ft,,16,25
55,1,4:15.0,,Defensive rebound by R. O'Neale,16,25
56,1,3:53.0,,B. Bogdanović makes 3-pt jump shot from 25 ft (assist by E. Mudiay),16,28
57,1,3:36.0,Turnover by K. Knox (lost ball; steal by J. Clarkson),,16,28
58,1,3:31.0,,J. Clarkson makes 2-pt layup from 2 ft,16,30
59,1,3:13.0,E. Payton makes 2-pt jump shot from 8 ft (assist by M. Robinson),,18,30
60,1,2:53.0,,Shooting foul by E. Payton (drawn by E. Mudiay),18,30
61,1,2:53.0,,E. Mudiay misses free throw 1 of 2,18,30
62,1,2:53.0,,Offensive rebound by Team,18,30
63,1,2:53.0,F. Ntilikina enters the game for E. Payton,,18,30
64,1,2:53.0,,T. Bradley enters the game for B. Bogdanović,18,30
65,1,2:53.0,,D. Mitchell enters the game for R. Gobert,18,30
66,1,2:53.0,,G. Niang enters the game for R. O'Neale,18,30
67,1,2:53.0,,E. Mudiay makes free throw 2 of 2,18,31
68,1,2:45.0,Shooting foul by D. Mitchell (drawn by R. Barrett),,18,31
69,1,2:45.0,R. Barrett makes free throw 1 of 2,,19,31
70,1,2:45.0,W. Ellington enters the game for R. Bullock,,19,31
71,1,2:45.0,R. Barrett makes free throw 2 of 2,,20,31
72,1,2:35.0,,Turnover by G. Niang (bad pass; steal by R. Barrett),20,31
73,1,2:32.0,F. Ntilikina makes 2-pt layup from 2 ft,,22,31
74,1,2:32.0,Shooting foul by T. Bradley (drawn by F. Ntilikina),,22,31
75,1,2:32.0,F. Ntilikina makes free throw 1 of 1,,23,31
76,1,2:19.0,,J. Clarkson misses 2-pt jump shot from 20 ft,23,31
77,1,2:15.0,,Offensive rebound by T. Bradley,23,31
78,1,2:11.0,,T. Bradley makes 2-pt dunk from 2 ft (assist by E. Mudiay),23,33
79,1,1:59.0,F. Ntilikina makes 2-pt jump shot from 18 ft,,25,33
80,1,1:48.0,,Turnover by E. Mudiay (out of bounds lost ball),25,33
81,1,1:39.0,R. Barrett makes 2-pt jump shot from 18 ft (assist by W. Ellington),,27,33
82,1,1:24.0,,Shooting foul by F. Ntilikina (drawn by D. Mitchell),27,33
83,1,1:24.0,,D. Mitchell makes free throw 1 of 2,27,34
84,1,1:24.0,,D. Mitchell makes free throw 2 of 2,27,35
85,1,1:12.0,F. Ntilikina makes 2-pt jump shot from 19 ft,,29,35
86,1,0:56.0,,Offensive foul by T. Bradley (drawn by F. Ntilikina),29,35
87,1,0:56.0,,Turnover by T. Bradley (offensive foul),29,35
88,1,0:40.0,W. Ellington misses 3-pt jump shot from 24 ft,,29,35
89,1,0:38.0,,Defensive rebound by D. Mitchell,29,35
90,1,0:32.0,,E. Mudiay makes 2-pt jump shot from 3 ft (assist by D. Mitchell),29,37
91,1,0:22.0,F. Ntilikina misses 2-pt jump shot from 9 ft (block by J. Clarkson),,29,37
92,1,0:18.0,,Defensive rebound by E. Mudiay,29,37
93,1,0:17.0,,D. Mitchell misses 3-pt jump shot from 25 ft,29,37
94,1,0:14.0,,Offensive rebound by D. Mitchell,29,37
95,1,0:00.0,,T. Bradley makes 2-pt layup from 1 ft (assist by D. Mitchell),29,39
96,1,0:00.0,,Instant Replay (Request: Ruling Stands),29,39
97,2,11:39.0,,G. Niang misses 3-pt jump shot from 25 ft,29,39
98,2,11:35.0,Defensive rebound by F. Ntilikina,,29,39
99,2,11:28.0,B. Portis misses 3-pt jump shot from 25 ft,,29,39
100,2,11:25.0,Offensive rebound by F. Ntilikina,,29,39
101,2,11:23.0,D. Dotson misses 3-pt jump shot from 25 ft,,29,39
102,2,11:22.0,Offensive rebound by Team,,29,39
103,2,11:22.0,,Loose ball foul by D. Mitchell (drawn by B. Portis),29,39
104,2,11:17.0,B. Portis makes 2-pt layup from 4 ft (assist by F. Ntilikina),,31,39
105,2,11:17.0,Shooting foul by T. Bradley (drawn by B. Portis),,31,39
106,2,11:17.0,B. Portis makes free throw 1 of 1,,32,39
107,2,11:07.0,,J. Clarkson misses 3-pt jump shot from 26 ft,32,39
108,2,11:02.0,Defensive rebound by D. Dotson,,32,39
109,2,10:58.0,Personal foul by R. Tucker (drawn by B. Portis),,32,39
110,2,10:54.0,F. Ntilikina misses 2-pt jump shot from 12 ft,,32,39
111,2,10:51.0,,Defensive rebound by G. Niang,32,39
112,2,10:42.0,,D. Mitchell makes 3-pt jump shot from 28 ft,32,42
113,2,10:22.0,D. Dotson makes 2-pt jump shot from 19 ft (assist by B. Portis),,34,42
114,2,9:54.0,,J. Clarkson misses 3-pt jump shot from 23 ft,34,42
115,2,9:52.0,Defensive rebound by F. Ntilikina,,34,42
116,2,9:48.0,K. Knox misses 2-pt layup from 4 ft (block by G. Niang),,34,42
117,2,9:45.0,,Defensive rebound by T. Bradley,34,42
118,2,9:38.0,,D. Mitchell misses 3-pt jump shot from 24 ft,34,42
119,2,9:36.0,Defensive rebound by K. Knox,,34,42
120,2,9:28.0,K. Knox makes 2-pt hook shot from 6 ft,,36,42
121,2,9:04.0,,J. Clarkson makes 2-pt jump shot from 9 ft,36,44
122,2,8:52.0,B. Portis misses 2-pt layup from 4 ft,,36,44
123,2,8:48.0,Offensive rebound by B. Portis,,36,44
124,2,8:47.0,B. Portis makes 2-pt layup from 3 ft,,38,44
125,2,8:40.0,,G. Niang misses 2-pt jump shot from 11 ft,38,44
126,2,8:40.0,Defensive rebound by D. Dotson,,38,44
127,2,8:27.0,B. Portis misses 3-pt jump shot from 24 ft,,38,44
128,2,8:25.0,,Defensive rebound by R. Tucker,38,44
129,2,8:16.0,,D. Mitchell makes 2-pt jump shot from 11 ft,38,46
130,2,7:53.0,D. Dotson misses 2-pt layup from 4 ft,,38,46
131,2,7:50.0,Offensive rebound by D. Dotson,,38,46
132,2,7:50.0,D. Dotson makes 2-pt layup from 3 ft,,40,46
133,2,7:50.0,,Utah full timeout,40,46
134,2,7:50.0,E. Payton enters the game for F. Ntilikina,,40,46
135,2,7:50.0,,B. Bogdanović enters the game for T. Bradley,40,46
136,2,7:50.0,,R. Gobert enters the game for D. Mitchell,40,46
137,2,7:50.0,,E. Mudiay enters the game for G. Niang,40,46
138,2,7:50.0,,R. O'Neale enters the game for R. Tucker,40,46
139,2,7:38.0,,B. Bogdanović misses 2-pt jump shot from 8 ft,40,46
140,2,7:35.0,Defensive rebound by K. Knox,,40,46
141,2,7:27.0,W. Ellington misses 3-pt jump shot from 24 ft,,40,46
142,2,7:24.0,,Defensive rebound by E. Mudiay,40,46
143,2,7:18.0,,E. Mudiay misses 2-pt layup from 2 ft,40,46
144,2,7:16.0,,Offensive rebound by E. Mudiay,40,46
145,2,7:09.0,,J. Clarkson makes 3-pt jump shot from 25 ft,40,49
146,2,6:46.0,K. Knox misses 3-pt jump shot from 26 ft,,40,49
147,2,6:43.0,,Defensive rebound by R. Gobert,40,49
148,2,6:32.0,,Personal foul by K. Knox (drawn by R. Gobert),40,49
149,2,6:32.0,R. Bullock enters the game for W. Ellington,,40,49
150,2,6:32.0,,J. Ingles enters the game for J. Clarkson,40,49
151,2,6:24.0,,E. Mudiay makes 3-pt jump shot from 25 ft (assist by B. Bogdanović),40,52
152,2,6:10.0,B. Portis misses 2-pt jump shot from 21 ft,,40,52
153,2,6:07.0,,Defensive rebound by R. Gobert,40,52
154,2,5:58.0,,Shooting foul by B. Portis (drawn by R. Gobert),40,52
155,2,5:58.0,,R. Gobert misses free throw 1 of 2,40,52
156,2,5:58.0,,Offensive rebound by Team,40,52
157,2,5:58.0,M. Robinson enters the game for B. Portis,,40,52
158,2,5:58.0,,R. Gobert makes free throw 2 of 2,40,53
159,2,5:47.0,R. Bullock makes 2-pt layup from 2 ft,,42,53
160,2,5:40.0,,J. Ingles makes 3-pt jump shot from 25 ft (assist by E. Mudiay),42,56
161,2,5:29.0,E. Payton misses 2-pt layup from 2 ft (block by E. Mudiay),,42,56
162,2,5:27.0,,Defensive rebound by R. O'Neale,42,56
163,2,5:22.0,,Shooting foul by M. Robinson (drawn by R. Gobert),42,56
164,2,5:22.0,,R. Gobert misses free throw 1 of 2,42,56
165,2,5:22.0,,Offensive rebound by Team,42,56
166,2,5:22.0,R. Barrett enters the game for D. Dotson,,42,56
167,2,5:22.0,T. Gibson enters the game for M. Robinson,,42,56
168,2,5:22.0,,R. Gobert makes free throw 2 of 2,42,57
169,2,5:08.0,T. Gibson misses 2-pt jump shot from 17 ft,,42,57
170,2,5:04.0,Offensive rebound by R. Bullock,,42,57
171,2,5:02.0,R. Bullock misses 2-pt jump shot from 17 ft,,42,57
172,2,5:01.0,,Defensive rebound by R. Gobert,42,57
173,2,4:53.0,,R. Gobert makes 2-pt layup from 3 ft (assist by J. Ingles),42,59
174,2,4:47.0,New York full timeout,,42,59
175,2,4:38.0,Shooting foul by R. O'Neale (drawn by R. Barrett),,42,59
176,2,4:38.0,R. Barrett makes free throw 1 of 2,,43,59
177,2,4:38.0,R. Barrett makes free throw 2 of 2,,44,59
178,2,4:30.0,,E. Mudiay makes 2-pt layup from 2 ft,44,61
179,2,4:30.0,,Shooting foul by T. Gibson (drawn by E. Mudiay),44,61
180,2,4:30.0,,E. Mudiay makes free throw 1 of 1,44,62
181,2,4:13.0,K. Knox misses 2-pt jump shot from 15 ft,,44,62
182,2,4:09.0,,Defensive rebound by R. Gobert,44,62
183,2,4:00.0,,Personal foul by K. Knox (drawn by R. Gobert),44,62
184,2,4:00.0,,R. Gobert misses free throw 1 of 2,44,62
185,2,4:00.0,,Offensive rebound by Team,44,62
186,2,4:00.0,D. Dotson enters the game for T. Gibson,,44,62
187,2,4:00.0,B. Portis enters the game for K. Knox,,44,62
188,2,4:00.0,,R. Gobert misses free throw 2 of 2,44,62
