,QUARTER,TIME_REMAINING,DENVER_ACTION,WASHINGTON_ACTION,DENVER_SCORE,WASHINGTON_SCORE
0,1,11:40.0,,J. McRae misses 2-pt jump shot from 20 ft,0,0
1,1,11:35.0,,Offensive rebound by I. Mahinmi,0,0
2,1,11:35.0,,Turnover by I. Mahinmi (out of bounds lost ball),0,0
3,1,11:21.0,N. Jokić makes 2-pt hook shot from 11 ft (assist by P. Millsap),,2,0
4,1,11:07.0,,Turnover by I. Mahinmi (lost ball; steal by J. Murray),2,0
5,1,11:05.0,Shooting foul by I. Thomas (drawn by W. Barton),,2,0
6,1,11:05.0,W. Barton makes free throw 1 of 2,,3,0
7,1,11:05.0,W. Barton makes free throw 2 of 2,,4,0
8,1,10:49.0,,I. Thomas misses 2-pt layup from 8 ft,4,0
9,1,10:46.0,Defensive rebound by P. Millsap,,4,0
10,1,10:44.0,J. Murray misses 3-pt jump shot from 26 ft,,4,0
11,1,10:40.0,,Defensive rebound by I. Mahinmi,4,0
12,1,10:27.0,,Shooting foul by W. Barton (drawn by I. Thomas),4,0
13,1,10:27.0,,I. Thomas makes free throw 1 of 2,4,1
14,1,10:27.0,,I. Thomas makes free throw 2 of 2,4,2
15,1,10:12.0,W. Barton makes 2-pt jump shot from 19 ft,,6,2
16,1,9:57.0,,I. Thomas misses 2-pt layup from 6 ft,6,2
17,1,9:57.0,,Offensive rebound by Team,6,2
18,1,9:57.0,Loose ball foul by P. Millsap (drawn by J. Williams),,6,2
19,1,9:44.0,,I. Thomas misses 3-pt jump shot from 27 ft,6,2
20,1,9:40.0,Defensive rebound by G. Harris,,6,2
21,1,9:37.0,Personal foul by I. Mahinmi (drawn by N. Jokić),,6,2
22,1,9:26.0,N. Jokić makes 3-pt jump shot from 26 ft (assist by J. Murray),,9,2
23,1,9:17.0,,Washington full timeout,9,2
24,1,8:59.0,,J. McRae misses 2-pt jump shot from 13 ft,9,2
25,1,8:57.0,Defensive rebound by P. Millsap,,9,2
26,1,8:51.0,P. Millsap misses 2-pt layup from 2 ft (block by J. Williams),,9,2
27,1,8:50.0,Offensive rebound by Team,,9,2
28,1,8:43.0,J. Murray misses 2-pt jump shot from 16 ft,,9,2
29,1,8:38.0,,Defensive rebound by J. Williams,9,2
30,1,8:26.0,,J. Williams misses 2-pt layup from 4 ft,9,2
31,1,8:21.0,,Offensive rebound by I. Mahinmi,9,2
32,1,8:21.0,,I. Mahinmi makes 2-pt layup at rim,9,4
33,1,8:15.0,Shooting foul by I. Mahinmi (drawn by N. Jokić),,9,4
