,QUARTER,TIME_REMAINING,CHICAGO_ACTION,DETROIT_ACTION,CHICAGO_SCORE,DETROIT_SCORE
0,1,11:40.0,,Turnover by A. Drummond (bad pass; steal by Z. LaVine),0,0
1,1,11:34.0,T. Satoranský makes 3-pt jump shot from 23 ft (assist by Z. LaVine),,3,0
2,1,11:17.0,,M. Morris misses 2-pt jump shot from 14 ft,3,0
3,1,11:13.0,Defensive rebound by T. Satoranský,,3,0
4,1,10:57.0,W. Carter makes 2-pt dunk from 1 ft (assist by K. Dunn),,5,0
5,1,10:43.0,,Offensive foul by L. Kennard (drawn by K. Dunn),5,0
6,1,10:43.0,,Turnover by L. Kennard (offensive foul),5,0
7,1,10:34.0,T. Satoranský makes 2-pt layup from 1 ft,,7,0
8,1,10:18.0,,A. Drummond makes 2-pt layup from 1 ft,7,2
9,1,10:00.0,T. Satoranský makes 3-pt jump shot from 23 ft (assist by W. Carter),,10,2
10,1,9:48.0,,L. Kennard makes 3-pt jump shot from 23 ft (assist by A. Drummond),10,5
11,1,9:33.0,W. Carter misses 2-pt layup from 3 ft,,10,5
12,1,9:31.0,,Defensive rebound by A. Drummond,10,5
13,1,9:21.0,,B. Brown makes 2-pt layup from 2 ft,10,7
14,1,9:12.0,Turnover by T. Satoranský (lost ball; steal by B. Brown),,10,7
15,1,9:08.0,,B. Brown makes 2-pt dunk at rim (assist by L. Kennard),10,9
16,1,8:55.0,L. Markkanen misses 3-pt jump shot from 27 ft,,10,9
17,1,8:52.0,,Defensive rebound by L. Kennard,10,9
18,1,8:38.0,,M. Morris makes 3-pt jump shot from 23 ft (assist by B. Brown),10,12
19,1,8:24.0,Z. LaVine makes 3-pt jump shot from 25 ft (assist by T. Satoranský),,13,12
20,1,8:12.0,,Turnover by B. Brown (traveling),13,12
21,1,8:01.0,Z. LaVine misses 3-pt jump shot from 26 ft,,13,12
22,1,7:59.0,,Defensive rebound by B. Brown,13,12
23,1,7:45.0,,A. Drummond makes 2-pt dunk from 1 ft (assist by L. Kennard),13,14
24,1,7:28.0,L. Markkanen misses 2-pt hook shot from 6 ft,,13,14
25,1,7:25.0,,Defensive rebound by A. Drummond,13,14
26,1,7:13.0,,Detroit full timeout,13,14
