,QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,DENVER_ACTION,OKLAHOMA CITY_SCORE,DENVER_SCORE
0,1,11:47.0,S. Adams makes 2-pt hook shot from 6 ft (assist by C. Paul),,2,0
1,1,11:33.0,,J. Murray makes 2-pt layup from 1 ft (assist by N. Jokić),2,2
2,1,11:15.0,Personal foul by J. Murray (drawn by S. Gilgeous-Alexander),,2,2
3,1,11:05.0,D. Gallinari misses 2-pt jump shot from 22 ft,,2,2
4,1,11:02.0,,Defensive rebound by W. Barton,2,2
5,1,10:56.0,,W. Barton makes 2-pt layup from 1 ft,2,4
6,1,10:44.0,Turnover by A. Nader (traveling),,2,4
7,1,10:31.0,,W. Barton makes 2-pt jump shot from 3 ft (assist by N. Jokić),2,6
8,1,10:24.0,S. Adams misses 2-pt layup from 1 ft,,2,6
9,1,10:22.0,,Defensive rebound by N. Jokić,2,6
10,1,10:13.0,,W. Barton makes 2-pt dunk from 1 ft (assist by J. Murray),2,8
11,1,10:13.0,Oklahoma City full timeout,,2,8
12,1,10:02.0,D. Gallinari misses 3-pt jump shot from 24 ft,,2,8
13,1,10:00.0,,Defensive rebound by N. Jokić,2,8
14,1,9:41.0,,J. Murray makes 3-pt jump shot from 23 ft (assist by N. Jokić),2,11
15,1,9:24.0,D. Gallinari misses 3-pt jump shot from 26 ft,,2,11
16,1,9:21.0,,Defensive rebound by W. Barton,2,11
17,1,9:08.0,,J. Murray misses 2-pt jump shot from 14 ft,2,11
18,1,9:05.0,Defensive rebound by C. Paul,,2,11
19,1,8:58.0,S. Adams misses 2-pt hook shot from 3 ft,,2,11
20,1,8:56.0,,Defensive rebound by J. Murray,2,11
21,1,8:51.0,,Turnover by J. Murray (bad pass; steal by C. Paul),2,11
22,1,8:51.0,Personal foul by N. Jokić (drawn by C. Paul),,2,11
23,1,8:38.0,A. Nader misses 2-pt layup from 1 ft,,2,11
24,1,8:37.0,,Defensive rebound by J. Grant,2,11
25,1,8:28.0,,Turnover by N. Jokić (bad pass),2,11
26,1,8:20.0,S. Adams makes 2-pt dunk from 1 ft (assist by C. Paul),,4,11
27,1,8:05.0,,J. Grant makes 2-pt dunk at rim (assist by J. Murray),4,13
