,QUARTER,TIME_REMAINING,CHICAGO_ACTION,WASHINGTON_ACTION,CHICAGO_SCORE,WASHINGTON_SCORE
0,1,11:57.0,Turnover by K. Dunn (back court),,0,0
1,1,11:43.0,,I. Mahinmi misses 2-pt hook shot from 3 ft (block by W. Carter),0,0
2,1,11:41.0,Defensive rebound by L. Markkanen,,0,0
3,1,11:26.0,K. Dunn makes 2-pt dunk from 3 ft (assist by L. Markkanen),,2,0
4,1,11:15.0,,B. Beal makes 2-pt jump shot from 12 ft,2,2
5,1,10:54.0,L. Markkanen makes 3-pt jump shot from 28 ft (assist by T. Satoranský),,5,2
6,1,10:36.0,,I. Mahinmi misses 2-pt hook shot from 7 ft,5,2
7,1,10:34.0,Defensive rebound by L. Markkanen,,5,2
8,1,10:29.0,Shooting foul by I. Mahinmi (drawn by W. Carter),,5,2
9,1,10:29.0,W. Carter makes free throw 1 of 2,,6,2
10,1,10:29.0,W. Carter misses free throw 2 of 2,,6,2
11,1,10:27.0,,Defensive rebound by D. Bertāns,6,2
12,1,10:15.0,,Shooting foul by K. Dunn (drawn by B. Beal),6,2
13,1,10:15.0,,B. Beal makes free throw 1 of 2,6,3
14,1,10:15.0,,B. Beal makes free throw 2 of 2,6,4
15,1,10:03.0,Z. LaVine makes 2-pt jump shot from 17 ft (assist by T. Satoranský),,8,4
16,1,9:36.0,,Turnover by I. Thomas (bad pass; steal by K. Dunn),8,4
17,1,9:27.0,Z. LaVine misses 2-pt jump shot from 16 ft,,8,4
18,1,9:23.0,,Defensive rebound by D. Bertāns,8,4
19,1,9:11.0,,I. Thomas misses 3-pt jump shot from 27 ft,8,4
20,1,9:10.0,Defensive rebound by W. Carter,,8,4
21,1,9:01.0,Shooting foul by I. Bonga (drawn by K. Dunn),,8,4
22,1,9:01.0,K. Dunn makes free throw 1 of 2,,9,4
23,1,9:01.0,K. Dunn makes free throw 2 of 2,,10,4
24,1,8:44.0,,I. Mahinmi makes 2-pt layup from 1 ft (assist by B. Beal),10,6
25,1,8:25.0,Z. LaVine misses 3-pt jump shot from 26 ft,,10,6
26,1,8:21.0,Offensive rebound by W. Carter,,10,6
27,1,8:15.0,Personal foul by I. Mahinmi (drawn by W. Carter),,10,6
28,1,8:15.0,,A. Pasečņiks enters the game for I. Mahinmi,10,6
29,1,8:09.0,K. Dunn makes 3-pt jump shot from 26 ft (assist by W. Carter),,13,6
30,1,7:58.0,,B. Beal misses 3-pt jump shot from 25 ft,13,6
31,1,7:55.0,Defensive rebound by L. Markkanen,,13,6
32,1,7:50.0,Offensive foul by L. Markkanen (drawn by D. Bertāns),,13,6
33,1,7:50.0,Turnover by L. Markkanen (offensive foul),,13,6
34,1,7:28.0,,I. Thomas makes 2-pt jump shot from 6 ft,13,8
35,1,7:11.0,T. Satoranský misses 2-pt jump shot from 21 ft,,13,8
36,1,7:08.0,,Defensive rebound by A. Pasečņiks,13,8
37,1,6:57.0,,D. Bertāns misses 3-pt jump shot from 26 ft,13,8
38,1,6:53.0,Defensive rebound by T. Satoranský,,13,8
39,1,6:46.0,L. Markkanen misses 3-pt jump shot from 27 ft,,13,8
40,1,6:43.0,,Defensive rebound by D. Bertāns,13,8
41,1,6:26.0,,A. Pasečņiks misses 2-pt hook shot from 6 ft,13,8
42,1,6:25.0,,Offensive rebound by I. Bonga,13,8
43,1,6:25.0,,I. Bonga makes 2-pt layup from 1 ft,13,10
44,1,6:12.0,L. Markkanen makes 2-pt jump shot from 5 ft (assist by K. Dunn),,15,10
45,1,6:12.0,Shooting foul by A. Pasečņiks (drawn by L. Markkanen),,15,10
46,1,6:12.0,,Washington full timeout,15,10
47,1,6:12.0,L. Markkanen makes free throw 1 of 1,,16,10
48,1,6:00.0,,Shooting foul by T. Satoranský (drawn by D. Bertāns),16,10
49,1,6:00.0,,D. Bertāns makes free throw 1 of 3,16,11
50,1,6:00.0,,D. Bertāns makes free throw 2 of 3,16,12
51,1,6:00.0,,D. Bertāns makes free throw 3 of 3,16,13
52,1,5:50.0,Z. LaVine misses 2-pt layup from 5 ft,,16,13
53,1,5:47.0,,Defensive rebound by I. Bonga,16,13
54,1,5:44.0,,D. Bertāns makes 3-pt jump shot from 25 ft (assist by B. Beal),16,16
55,1,5:26.0,W. Carter misses 2-pt layup from 5 ft (block by D. Bertāns),,16,16
56,1,5:24.0,,Defensive rebound by I. Bonga,16,16
57,1,5:17.0,,B. Beal misses 2-pt layup from 1 ft,16,16
58,1,5:14.0,Defensive rebound by L. Markkanen,,16,16
59,1,5:12.0,Offensive foul by L. Markkanen (drawn by I. Bonga),,16,16
60,1,5:12.0,Turnover by L. Markkanen (offensive foul),,16,16
