,QUARTER,TIME_REMAINING,LA LAKERS_ACTION,CHICAGO_ACTION,LA LAKERS_SCORE,CHICAGO_SCORE
0,1,11:46.0,J. McGee makes 2-pt dunk from 1 ft (assist by L. James),,2,0
1,1,11:29.0,,L. Markkanen misses 3-pt jump shot from 23 ft,2,0
2,1,11:26.0,Defensive rebound by J. McGee,,2,0
3,1,11:15.0,L. James makes 2-pt dunk from 1 ft,,4,0
4,1,11:02.0,,W. Carter makes 2-pt layup from 1 ft (assist by T. Satoranský),4,2
5,1,10:53.0,Personal foul by T. Satoranský (drawn by D. Green),,4,2
6,1,10:48.0,K. Caldwell-Pope misses 2-pt jump shot from 20 ft,,4,2
7,1,10:46.0,Offensive rebound by A. Davis,,4,2
8,1,10:39.0,A. Davis misses 2-pt layup from 3 ft,,4,2
9,1,10:37.0,,Defensive rebound by W. Carter,4,2
10,1,10:23.0,,O. Porter misses 2-pt jump shot from 13 ft,4,2
11,1,10:20.0,,Offensive rebound by W. Carter,4,2
12,1,10:16.0,,Z. LaVine makes 3-pt jump shot from 23 ft (assist by T. Satoranský),4,5
13,1,9:58.0,Shooting foul by Z. LaVine (drawn by J. McGee),,4,5
14,1,9:58.0,J. McGee misses free throw 1 of 2,,4,5
15,1,9:58.0,Offensive rebound by Team,,4,5
16,1,9:58.0,J. McGee makes free throw 2 of 2,,5,5
17,1,9:48.0,,Z. LaVine makes 2-pt dunk at rim (assist by T. Satoranský),5,7
18,1,9:40.0,Turnover by D. Green (bad pass),,5,7
19,1,9:31.0,,T. Satoranský makes 2-pt jump shot from 6 ft,5,9
20,1,9:06.0,A. Davis makes 2-pt dunk at rim,,7,9
21,1,8:50.0,,Turnover by Z. LaVine (bad pass; steal by J. McGee),7,9
22,1,8:47.0,Shooting foul by O. Porter (drawn by K. Caldwell-Pope),,7,9
23,1,8:47.0,K. Caldwell-Pope misses free throw 1 of 2,,7,9
24,1,8:47.0,Offensive rebound by Team,,7,9
25,1,8:47.0,K. Caldwell-Pope makes free throw 2 of 2,,8,9
26,1,8:35.0,,Z. LaVine misses 3-pt jump shot from 27 ft,8,9
27,1,8:32.0,Defensive rebound by L. James,,8,9
28,1,8:27.0,L. James makes 2-pt jump shot from 13 ft,,10,9
29,1,8:16.0,,L. Markkanen makes 3-pt jump shot from 25 ft (assist by Z. LaVine),10,12
30,1,7:59.0,A. Davis misses 2-pt jump shot from 13 ft,,10,12
31,1,7:59.0,,Defensive rebound by O. Porter,10,12
32,1,7:50.0,,O. Porter makes 3-pt jump shot from 25 ft (assist by Z. LaVine),10,15
33,1,7:26.0,L. James misses 2-pt jump shot from 14 ft,,10,15
34,1,7:21.0,,Defensive rebound by W. Carter,10,15
35,1,7:07.0,,O. Porter misses 3-pt jump shot from 25 ft,10,15
36,1,7:03.0,Defensive rebound by L. James,,10,15
37,1,6:55.0,D. Green misses 3-pt jump shot from 23 ft,,10,15
38,1,6:53.0,,Defensive rebound by W. Carter,10,15
39,1,6:43.0,,W. Carter misses 2-pt hook shot from 9 ft,10,15
40,1,6:41.0,Defensive rebound by L. James,,10,15
41,1,6:34.0,Turnover by L. James (bad pass; steal by Z. LaVine),,10,15
42,1,6:29.0,,Shooting foul by A. Davis (drawn by W. Carter),10,15
43,1,6:29.0,,Chicago full timeout,10,15
44,1,6:29.0,,W. Carter misses free throw 1 of 2,10,15
45,1,6:29.0,,Offensive rebound by Team,10,15
46,1,6:29.0,,W. Carter misses free throw 2 of 2,10,15
47,1,6:25.0,Defensive rebound by J. McGee,,10,15
48,1,6:13.0,L. James misses 3-pt jump shot from 25 ft,,10,15
49,1,6:09.0,,Defensive rebound by T. Satoranský,10,15
50,1,5:49.0,,Z. LaVine misses 3-pt jump shot from 23 ft,10,15
51,1,5:47.0,Defensive rebound by J. McGee,,10,15
52,1,5:42.0,L. James misses 2-pt layup from 1 ft,,10,15
53,1,5:39.0,,Defensive rebound by W. Carter,10,15
54,1,5:30.0,,Turnover by W. Carter (lost ball; steal by D. Green),10,15
55,1,5:26.0,D. Green makes 3-pt jump shot from 26 ft (assist by L. James),,13,15
56,1,5:06.0,,T. Satoranský misses 2-pt layup from 3 ft,13,15
57,1,5:03.0,Defensive rebound by L. James,,13,15
58,1,5:00.0,K. Caldwell-Pope misses 2-pt layup from 1 ft (block by W. Carter),,13,15
59,1,5:00.0,Offensive rebound by J. McGee,,13,15
60,1,5:00.0,J. McGee makes 2-pt layup from 1 ft,,15,15
61,1,5:00.0,,Chicago full timeout,15,15
62,1,5:00.0,K. Kuzma enters the game for J. McGee,,15,15
63,1,5:00.0,,K. Dunn enters the game for W. Carter,15,15
64,1,5:00.0,,L. Kornet enters the game for L. Markkanen,15,15
65,1,5:00.0,,C. White enters the game for O. Porter,15,15
66,1,5:00.0,,T. Young enters the game for T. Satoranský,15,15
67,1,4:41.0,,Turnover by C. White (lost ball; steal by D. Green),15,15
68,1,4:34.0,L. James makes 2-pt layup from 1 ft (assist by K. Caldwell-Pope),,17,15
69,1,4:34.0,,Turnover by L. Kornet (inbound),17,15
70,1,4:24.0,Turnover by K. Caldwell-Pope (bad pass; steal by K. Dunn),,17,15
71,1,4:19.0,,C. White makes 2-pt layup from 1 ft (assist by T. Young),17,17
72,1,3:56.0,D. Green makes 2-pt jump shot from 10 ft,,19,17
73,1,3:44.0,,C. White misses 3-pt jump shot from 26 ft,19,17
74,1,3:44.0,Defensive rebound by Team,,19,17
75,1,3:44.0,A. Caruso enters the game for K. Caldwell-Pope,,19,17
76,1,3:44.0,Q. Cook enters the game for L. James,,19,17
77,1,3:44.0,,C. Hutchison enters the game for Z. LaVine,19,17
78,1,3:27.0,A. Davis misses 2-pt hook shot from 3 ft (block by L. Kornet),,19,17
79,1,3:24.0,Offensive rebound by A. Davis,,19,17
80,1,3:23.0,A. Davis misses 2-pt layup from 1 ft (block by L. Kornet),,19,17
81,1,3:20.0,,Defensive rebound by L. Kornet,19,17
82,1,3:16.0,,K. Dunn makes 2-pt layup from 1 ft,19,19
83,1,3:01.0,Q. Cook misses 3-pt jump shot from 25 ft,,19,19
84,1,2:59.0,,Defensive rebound by C. White,19,19
85,1,2:44.0,,C. White makes 2-pt jump shot from 4 ft,19,21
86,1,2:30.0,Turnover by A. Caruso (bad pass; steal by K. Dunn),,19,21
87,1,2:24.0,,C. White misses 2-pt layup from 2 ft (block by K. Kuzma),19,21
88,1,2:24.0,,Offensive rebound by K. Dunn,19,21
89,1,2:24.0,,K. Dunn makes 2-pt layup at rim,19,23
90,1,2:24.0,LA Lakers full timeout,,19,23
91,1,2:07.0,K. Kuzma misses 3-pt jump shot from 26 ft,,19,23
92,1,2:04.0,,Defensive rebound by K. Dunn,19,23
93,1,1:54.0,,L. Kornet misses 2-pt jump shot from 7 ft,19,23
94,1,1:52.0,Defensive rebound by K. Kuzma,,19,23
95,1,1:45.0,Q. Cook makes 3-pt jump shot from 23 ft (assist by A. Davis),,22,23
96,1,1:29.0,,T. Young misses 3-pt jump shot from 25 ft,22,23
97,1,1:24.0,Defensive rebound by A. Caruso,,22,23
98,1,1:05.0,Q. Cook makes 2-pt layup from 2 ft,,24,23
99,1,0:50.0,,C. White misses 2-pt layup from 2 ft,24,23
100,1,0:46.0,,Offensive rebound by T. Young,24,23
101,1,0:46.0,,T. Young makes 2-pt layup at rim,24,25
102,1,0:38.0,A. Davis misses 3-pt jump shot from 24 ft,,24,25
103,1,0:36.0,Offensive rebound by A. Caruso,,24,25
104,1,0:36.0,A. Caruso misses 2-pt dunk from 1 ft,,24,25
105,1,0:36.0,,Defensive rebound by Team,24,25
106,1,0:36.0,T. Daniels enters the game for D. Green,,24,25
107,1,0:27.0,,T. Young makes 2-pt jump shot from 5 ft (assist by K. Dunn),24,27
108,1,0:09.0,Turnover by Q. Cook (lost ball; steal by K. Dunn),,24,27
109,1,0:06.0,,K. Dunn makes 2-pt layup from 1 ft,24,29
110,1,0:02.0,K. Kuzma misses 3-pt jump shot from 36 ft,,24,29
111,1,0:02.0,,Defensive rebound by C. Hutchison,24,29
112,2,11:49.0,,T. Young makes 2-pt jump shot from 6 ft (assist by K. Dunn),24,31
113,2,11:24.0,Turnover by K. Kuzma (lost ball; steal by T. Young),,24,31
114,2,11:18.0,,T. Young makes 2-pt hook shot from 2 ft (assist by C. White),24,33
115,2,11:05.0,Turnover by K. Kuzma (bad pass; steal by C. White),,24,33
116,2,11:02.0,,C. White makes 2-pt dunk at rim,24,35
117,2,11:02.0,LA Lakers full timeout,,24,35
118,2,10:42.0,T. Daniels misses 2-pt jump shot from 15 ft,,24,35
119,2,10:39.0,,Defensive rebound by T. Young,24,35
