,QUARTER,TIME_REMAINING,ATLANTA_ACTION,BOSTON_ACTION,ATLANTA_SCORE,BOSTON_SCORE
0,1,11:43.0,,G. Hayward makes 2-pt layup from 2 ft (assist by D. Theis),0,2
1,1,11:16.0,D. Hunter makes 2-pt jump shot from 22 ft (assist by J. Collins),,2,2
2,1,11:00.0,,J. Tatum misses 3-pt jump shot from 26 ft,2,2
3,1,10:57.0,Defensive rebound by T. Young,,2,2
4,1,10:51.0,D. Hunter misses 3-pt jump shot from 23 ft,,2,2
5,1,10:49.0,,Defensive rebound by J. Brown,2,2
6,1,10:42.0,,J. Brown misses 2-pt layup from 2 ft (block by C. Reddish),2,2
7,1,10:41.0,,Offensive rebound by J. Brown,2,2
8,1,10:37.0,,J. Brown misses 2-pt layup from 2 ft,2,2
9,1,10:34.0,Defensive rebound by J. Collins,,2,2
10,1,10:29.0,T. Young misses 3-pt jump shot from 27 ft,,2,2
11,1,10:26.0,,Defensive rebound by G. Hayward,2,2
12,1,10:15.0,,M. Smart makes 2-pt layup from 3 ft,2,4
13,1,10:04.0,Personal foul by M. Smart (drawn by T. Young),,2,4
14,1,9:52.0,K. Huerter makes 2-pt jump shot from 17 ft (assist by T. Young),,4,4
15,1,9:33.0,,D. Theis makes 2-pt dunk from 3 ft (assist by M. Smart),4,6
16,1,9:25.0,Shooting foul by D. Theis (drawn by J. Collins),,4,6
17,1,9:25.0,J. Collins makes free throw 1 of 2,,5,6
18,1,9:25.0,J. Collins makes free throw 2 of 2,,6,6
19,1,9:13.0,,J. Tatum misses 2-pt jump shot from 13 ft,6,6
20,1,9:11.0,Defensive rebound by J. Collins,,6,6
21,1,9:07.0,C. Reddish makes 3-pt jump shot from 26 ft (assist by T. Young),,9,6
22,1,8:43.0,,D. Theis misses 2-pt layup from 3 ft,9,6
23,1,8:43.0,,Offensive rebound by J. Tatum,9,6
24,1,8:43.0,,J. Tatum misses 2-pt layup from 1 ft,9,6
25,1,8:36.0,Defensive rebound by J. Collins,,9,6
26,1,8:33.0,J. Collins makes 2-pt layup from 3 ft (assist by T. Young),,11,6
27,1,8:17.0,,M. Smart misses 3-pt jump shot from 24 ft,11,6
28,1,8:16.0,Defensive rebound by C. Reddish,,11,6
29,1,8:09.0,Personal foul by J. Brown (drawn by J. Collins),,11,6
30,1,8:01.0,J. Collins makes 2-pt dunk from 2 ft (assist by T. Young),,13,6
31,1,7:48.0,,G. Hayward misses 3-pt jump shot from 25 ft,13,6
32,1,7:45.0,Defensive rebound by J. Collins,,13,6
33,1,7:37.0,J. Collins makes 3-pt jump shot from 28 ft (assist by T. Young),,16,6
34,1,7:29.0,,Boston full timeout,16,6
35,1,7:23.0,,J. Brown misses 2-pt jump shot from 18 ft,16,6
36,1,7:21.0,Defensive rebound by J. Collins,,16,6
37,1,7:14.0,T. Young misses 3-pt jump shot from 31 ft,,16,6
38,1,7:12.0,,Defensive rebound by J. Brown,16,6
39,1,7:01.0,,Personal foul by D. Hunter (drawn by J. Tatum),16,6
40,1,6:50.0,,M. Smart misses 2-pt jump shot from 11 ft,16,6
41,1,6:49.0,,Offensive rebound by Team,16,6
42,1,6:49.0,Loose ball foul by D. Hunter (drawn by D. Theis),,16,6
43,1,6:49.0,D. Bembry enters the game for D. Hunter,,16,6
44,1,6:45.0,,Turnover by D. Theis (bad pass; steal by K. Huerter),16,6
45,1,6:31.0,C. Reddish misses 2-pt dunk from 4 ft,,16,6
46,1,6:30.0,Offensive rebound by Team,,16,6
47,1,6:30.0,Shooting foul by J. Brown (drawn by C. Reddish),,16,6
48,1,6:30.0,C. Reddish makes free throw 1 of 2,,17,6
49,1,6:30.0,,R. Langford enters the game for J. Brown,17,6
50,1,6:30.0,C. Reddish makes free throw 2 of 2,,18,6
51,1,6:20.0,,G. Hayward misses 3-pt jump shot from 24 ft,18,6
52,1,6:18.0,Defensive rebound by J. Collins,,18,6
53,1,6:08.0,Turnover by J. Collins (lost ball; steal by M. Smart),,18,6
54,1,6:06.0,,J. Tatum misses 2-pt layup from 1 ft,18,6
55,1,6:04.0,Defensive rebound by T. Young,,18,6
56,1,5:59.0,Turnover by T. Young (step out of bounds),,18,6
57,1,5:46.0,,M. Smart misses 2-pt jump shot from 8 ft,18,6
58,1,5:44.0,Defensive rebound by D. Bembry,,18,6
59,1,5:28.0,J. Collins misses 3-pt jump shot from 28 ft,,18,6
60,1,5:26.0,,Defensive rebound by J. Tatum,18,6
61,1,5:22.0,,J. Tatum misses 2-pt layup from 2 ft,18,6
62,1,5:22.0,,Offensive rebound by D. Theis,18,6
63,1,5:18.0,,D. Theis makes 2-pt layup from 1 ft,18,8
64,1,5:12.0,K. Huerter misses 3-pt jump shot from 28 ft,,18,8
65,1,5:10.0,,Defensive rebound by R. Langford,18,8
66,1,5:01.0,,D. Theis makes 2-pt jump shot from 15 ft (assist by R. Langford),18,10
67,1,5:00.0,Atlanta full timeout,,18,10
