,QUARTER,TIME_REMAINING,INDIANA_ACTION,TORONTO_ACTION,INDIANA_SCORE,TORONTO_SCORE
76,1,3:08.0,Violation by Team (kicked ball),,6,23
77,1,3:08.0,T. McConnell enters the game for M. Brogdon,,6,23
78,1,3:08.0,D. Sabonis enters the game for M. Turner,,6,23
79,1,3:08.0,,C. Boucher enters the game for S. Ibaka,6,23
80,1,3:08.0,,Personal foul by T. Warren (drawn by P. Siakam),6,23
81,1,2:58.0,,P. Siakam makes 2-pt layup from 4 ft,6,25
82,1,2:45.0,Personal foul by P. Siakam (drawn by D. Sabonis),,6,25
83,1,2:45.0,D. McDermott enters the game for T. Warren,,6,25
84,1,2:45.0,,K. Lowry enters the game for F. VanVleet,6,25
85,1,2:31.0,J. Lamb misses 3-pt jump shot from 27 ft,,6,25
86,1,2:28.0,,Defensive rebound by C. Boucher,6,25
87,1,2:23.0,,T. Davis makes 3-pt jump shot from 24 ft (assist by K. Lowry),6,28
88,1,2:07.0,T. McConnell misses 2-pt layup from 3 ft (block by C. Boucher),,6,28
89,1,2:04.0,,Defensive rebound by K. Lowry,6,28
90,1,1:49.0,,R. Hollis-Jefferson misses 2-pt layup from 2 ft,6,28
91,1,1:48.0,Defensive rebound by D. Sabonis,,6,28
92,1,1:40.0,J. Lamb misses 2-pt layup from 3 ft,,6,28
93,1,1:37.0,,Defensive rebound by K. Lowry,6,28
94,1,1:32.0,,Shooting foul by D. McDermott (drawn by P. Siakam),6,28
95,1,1:32.0,,P. Siakam makes free throw 1 of 2,6,29
96,1,1:32.0,,P. Siakam makes free throw 2 of 2,6,30
97,1,1:22.0,Turnover by T. McConnell (bad pass),,6,30
98,1,1:15.0,,P. Siakam makes 2-pt jump shot from 2 ft (assist by K. Lowry),6,32
99,1,1:01.0,J. Lamb makes 2-pt layup from 7 ft (assist by D. Sabonis),,8,32
100,1,1:01.0,Shooting foul by C. Boucher (drawn by J. Lamb),,8,32
101,1,1:01.0,J. Lamb makes free throw 1 of 1,,9,32
102,1,0:57.0,,Shooting foul by D. McDermott (drawn by R. Hollis-Jefferson),9,32
103,1,0:57.0,,R. Hollis-Jefferson makes free throw 1 of 2,9,33
104,1,0:57.0,,R. Hollis-Jefferson makes free throw 2 of 2,9,34
105,1,0:38.0,J. Holiday misses 3-pt jump shot from 24 ft,,9,34
106,1,0:36.0,,Defensive rebound by C. Boucher,9,34
107,1,0:30.0,,K. Lowry misses 2-pt jump shot from 23 ft,9,34
108,1,0:27.0,Defensive rebound by D. McDermott,,9,34
109,1,0:18.0,J. Holiday makes 3-pt jump shot from 24 ft (assist by D. Sabonis),,12,34
110,1,0:00.0,,Turnover by P. Siakam (lost ball; steal by J. Holiday),12,34
111,2,11:46.0,D. Sabonis makes 2-pt hook shot from 5 ft (assist by D. McDermott),,14,34
112,2,11:26.0,,Turnover by R. Hollis-Jefferson (bad pass),14,34
113,2,11:11.0,Turnover by J. Holiday (bad pass),,14,34
114,2,11:02.0,,Turnover by K. Lowry (bad pass; steal by J. Lamb),14,34
115,2,10:56.0,D. McDermott makes 3-pt jump shot from 28 ft (assist by J. Lamb),,17,34
116,2,10:30.0,,K. Lowry makes 3-pt jump shot from 34 ft (assist by C. Boucher),17,37
117,2,10:07.0,D. Sabonis misses 2-pt hook shot from 3 ft,,17,37
118,2,10:05.0,,Defensive rebound by R. Hollis-Jefferson,17,37
119,2,9:58.0,,Turnover by R. Hollis-Jefferson (bad pass; steal by D. Sabonis),17,37
120,2,9:54.0,Shooting foul by T. Davis (drawn by J. Lamb),,17,37
121,2,9:54.0,Indiana full timeout,,17,37
122,2,9:54.0,,M. Thomas enters the game for C. Boucher,17,37
123,2,9:54.0,J. Lamb makes free throw 1 of 2,,18,37
124,2,9:54.0,J. Lamb makes free throw 2 of 2,,19,37
125,2,9:52.0,,Personal take foul by T. McConnell (drawn by K. Lowry),19,37
126,2,9:52.0,M. Brogdon enters the game for J. Lamb,,19,37
127,2,9:31.0,,T. Davis makes 3-pt jump shot from 26 ft (assist by M. Thomas),19,40
128,2,9:13.0,Def 3 sec tech foul by Team,,19,40
129,2,9:13.0,M. Brogdon makes technical free throw,,20,40
130,2,9:05.0,D. Sabonis makes 2-pt hook shot from 4 ft (assist by T. McConnell),,22,40
131,2,8:55.0,,O. Anunoby makes 2-pt dunk from 1 ft (assist by R. Hollis-Jefferson),22,42
132,2,8:43.0,T. McConnell misses 2-pt layup from 2 ft,,22,42
133,2,8:43.0,Offensive rebound by Team,,22,42
134,2,8:43.0,,Loose ball foul by O. Anunoby (drawn by D. Sabonis),22,42
135,2,8:31.0,D. McDermott makes 3-pt jump shot from 22 ft (assist by D. Sabonis),,25,42
136,2,8:17.0,,K. Lowry makes 2-pt layup from 1 ft,25,44
137,2,8:09.0,M. Brogdon misses 2-pt layup from 3 ft,,25,44
138,2,8:06.0,,Defensive rebound by O. Anunoby,25,44
139,2,8:04.0,,T. Davis misses 2-pt dunk from 2 ft,25,44
140,2,8:04.0,Defensive rebound by Team,,25,44
141,2,8:04.0,,F. VanVleet enters the game for T. Davis,25,44
142,2,7:56.0,D. Sabonis misses 2-pt hook shot from 4 ft,,25,44
143,2,7:55.0,,Defensive rebound by K. Lowry,25,44
144,2,7:46.0,,R. Hollis-Jefferson makes 2-pt dunk at rim (assist by O. Anunoby),25,46
145,2,7:30.0,Offensive foul by D. McDermott (drawn by K. Lowry),,25,46
146,2,7:30.0,Turnover by D. McDermott (offensive foul),,25,46
147,2,7:30.0,M. Turner enters the game for J. Holiday,,25,46
148,2,7:30.0,T. Warren enters the game for D. McDermott,,25,46
149,2,7:19.0,,R. Hollis-Jefferson misses 2-pt layup from 3 ft,25,46
150,2,7:17.0,,Offensive rebound by R. Hollis-Jefferson,25,46
151,2,7:16.0,,F. VanVleet misses 3-pt jump shot from 26 ft,25,46
152,2,7:16.0,Defensive rebound by D. Sabonis,,25,46
153,2,6:54.0,M. Turner misses 2-pt hook shot from 2 ft,,25,46
154,2,6:52.0,,Defensive rebound by M. Thomas,25,46
155,2,6:43.0,,O. Anunoby makes 2-pt dunk from 1 ft (assist by R. Hollis-Jefferson),25,48
156,2,6:29.0,Personal foul by O. Anunoby (drawn by D. Sabonis),,25,48
157,2,6:29.0,A. Holiday enters the game for T. McConnell,,25,48
158,2,6:29.0,,S. Ibaka enters the game for R. Hollis-Jefferson,25,48
159,2,6:29.0,,P. Siakam enters the game for M. Thomas,25,48
160,2,6:16.0,M. Brogdon misses 3-pt jump shot from 27 ft,,25,48
161,2,6:13.0,,Defensive rebound by K. Lowry,25,48
162,2,6:11.0,,K. Lowry makes 2-pt layup from 2 ft,25,50
163,2,6:11.0,,Shooting foul by T. Warren (drawn by K. Lowry),25,50
164,2,6:11.0,,K. Lowry makes free throw 1 of 1,25,51
