,QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,NEW YORK_ACTION,NEW ORLEANS_SCORE,NEW YORK_SCORE
0,1,11:46.0,L. Ball misses 2-pt layup from 3 ft,,0,0
1,1,11:44.0,,Defensive rebound by T. Gibson,0,0
2,1,11:40.0,,E. Payton makes 2-pt layup from 2 ft,0,2
3,1,11:26.0,J. Redick makes 2-pt layup from 1 ft,,2,2
4,1,11:12.0,,Shooting foul by J. Hart (drawn by B. Portis),2,2
5,1,11:12.0,,B. Portis makes free throw 1 of 2,2,3
6,1,11:12.0,,B. Portis misses free throw 2 of 2,2,3
7,1,11:10.0,Defensive rebound by D. Favors,,2,3
8,1,11:00.0,B. Ingram misses 2-pt layup from 3 ft,,2,3
9,1,10:58.0,,Defensive rebound by B. Portis,2,3
10,1,10:55.0,,R. Bullock misses 3-pt jump shot from 26 ft,2,3
11,1,10:53.0,Defensive rebound by J. Hart,,2,3
12,1,10:44.0,Turnover by L. Ball (lost ball; steal by R. Bullock),,2,3
13,1,10:39.0,,R. Bullock misses 2-pt layup from 2 ft,2,3
14,1,10:37.0,,Offensive rebound by B. Portis,2,3
15,1,10:37.0,,B. Portis misses 2-pt layup from 1 ft,2,3
16,1,10:36.0,Defensive rebound by D. Favors,,2,3
17,1,10:19.0,L. Ball makes 3-pt jump shot from 25 ft (assist by J. Redick),,5,3
18,1,9:58.0,,T. Gibson makes 2-pt hook shot from 5 ft (assist by E. Payton),5,5
19,1,9:44.0,B. Ingram misses 3-pt jump shot from 26 ft,,5,5
20,1,9:42.0,Offensive rebound by B. Ingram,,5,5
21,1,9:37.0,B. Ingram makes 2-pt layup from 2 ft,,7,5
22,1,9:22.0,,Turnover by R. Barrett (bad pass; steal by L. Ball),7,5
23,1,9:17.0,J. Redick misses 2-pt jump shot from 23 ft,,7,5
24,1,9:15.0,Offensive rebound by B. Ingram,,7,5
25,1,9:14.0,B. Ingram makes 2-pt layup from 3 ft,,9,5
26,1,9:04.0,,T. Gibson makes 2-pt layup from 1 ft (assist by E. Payton),9,7
27,1,8:50.0,L. Ball makes 3-pt jump shot from 26 ft (assist by J. Hart),,12,7
28,1,8:38.0,,E. Payton misses 2-pt jump shot from 10 ft,12,7
29,1,8:36.0,Defensive rebound by D. Favors,,12,7
30,1,8:24.0,Turnover by B. Ingram (lost ball; steal by E. Payton),,12,7
31,1,8:21.0,,B. Portis makes 2-pt dunk from 1 ft (assist by E. Payton),12,9
32,1,8:08.0,L. Ball misses 2-pt jump shot from 20 ft,,12,9
33,1,8:07.0,,Defensive rebound by R. Barrett,12,9
34,1,7:57.0,,R. Bullock makes 2-pt jump shot from 7 ft (assist by B. Portis),12,11
35,1,7:44.0,J. Hart makes 3-pt jump shot from 26 ft (assist by B. Ingram),,15,11
36,1,7:32.0,,B. Portis makes 2-pt jump shot from 12 ft,15,13
37,1,7:19.0,J. Hart misses 3-pt jump shot from 26 ft,,15,13
38,1,7:17.0,Offensive rebound by D. Favors,,15,13
39,1,7:14.0,J. Redick misses 3-pt jump shot from 26 ft,,15,13
40,1,7:12.0,,Defensive rebound by T. Gibson,15,13
41,1,7:03.0,,E. Payton misses 2-pt jump shot from 8 ft,15,13
42,1,7:01.0,,Offensive rebound by T. Gibson,15,13
43,1,6:59.0,,T. Gibson makes 2-pt hook shot from 3 ft,15,15
44,1,6:40.0,B. Ingram makes 3-pt jump shot from 25 ft (assist by J. Redick),,18,15
45,1,6:33.0,,New York full timeout,18,15
46,1,6:19.0,,T. Gibson makes 2-pt layup from 1 ft (assist by B. Portis),18,17
47,1,6:02.0,L. Ball misses 3-pt jump shot from 26 ft,,18,17
48,1,6:00.0,,Defensive rebound by R. Bullock,18,17
49,1,5:48.0,,B. Portis makes 2-pt hook shot from 3 ft,18,19
50,1,5:36.0,Turnover by B. Ingram (bad pass),,18,19
51,1,5:26.0,,R. Bullock makes 2-pt jump shot from 20 ft (assist by E. Payton),18,21
52,1,5:18.0,L. Ball misses 2-pt layup from 3 ft (block by T. Gibson),,18,21
53,1,5:17.0,Offensive rebound by Team,,18,21
54,1,5:14.0,J. Redick misses 3-pt jump shot from 24 ft,,18,21
55,1,5:12.0,,Defensive rebound by B. Portis,18,21
56,1,5:08.0,,Personal foul by D. Favors (drawn by E. Payton),18,21
57,1,5:00.0,,B. Portis misses 3-pt jump shot from 24 ft,18,21
