,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,DALLAS_ACTION,MINNESOTA_SCORE,DALLAS_SCORE
0,1,11:42.0,,D. Powell makes 3-pt jump shot from 23 ft (assist by L. Dončić),0,3
1,1,11:19.0,R. Covington makes 3-pt jump shot from 28 ft (assist by J. Culver),,3,3
2,1,11:04.0,,L. Dončić makes 2-pt jump shot from 5 ft,3,5
3,1,10:54.0,Turnover by A. Wiggins (bad pass; steal by D. Finney-Smith),,3,5
4,1,10:37.0,,D. Powell makes 2-pt dunk from 1 ft (assist by L. Dončić),3,7
5,1,10:20.0,J. Okogie misses 2-pt jump shot from 5 ft (block by D. Finney-Smith),,3,7
6,1,10:18.0,,Defensive rebound by K. Porziņģis,3,7
7,1,10:13.0,,K. Porziņģis misses 3-pt jump shot from 29 ft,3,7
8,1,10:10.0,Defensive rebound by K. Towns,,3,7
9,1,10:05.0,K. Towns misses 3-pt jump shot from 25 ft,,3,7
10,1,10:03.0,,Defensive rebound by K. Porziņģis,3,7
11,1,9:53.0,,L. Dončić misses 3-pt jump shot from 26 ft,3,7
12,1,9:53.0,Defensive rebound by Team,,3,7
13,1,9:53.0,,Loose ball foul by D. Powell (drawn by K. Towns),3,7
14,1,9:39.0,A. Wiggins misses 2-pt jump shot from 2 ft,,3,7
15,1,9:38.0,Offensive rebound by K. Towns,,3,7
16,1,9:37.0,K. Towns misses 2-pt layup at rim,,3,7
17,1,9:35.0,,Defensive rebound by D. Powell,3,7
18,1,9:29.0,,L. Dončić makes 2-pt jump shot from 6 ft,3,9
19,1,9:11.0,A. Wiggins misses 2-pt jump shot from 20 ft,,3,9
20,1,9:08.0,Offensive rebound by J. Okogie,,3,9
21,1,9:07.0,Turnover by J. Okogie (bad pass; steal by D. Powell),,3,9
22,1,8:53.0,,D. Powell makes 2-pt layup from 2 ft (assist by D. Finney-Smith),3,11
23,1,8:47.0,Minnesota full timeout,,3,11
24,1,8:40.0,A. Wiggins misses 2-pt jump shot from 10 ft,,3,11
25,1,8:39.0,Offensive rebound by K. Towns,,3,11
26,1,8:39.0,K. Towns misses 2-pt layup from 2 ft,,3,11
27,1,8:37.0,,Defensive rebound by L. Dončić,3,11
28,1,8:24.0,,T. Hardaway misses 3-pt jump shot from 26 ft,3,11
29,1,8:23.0,Defensive rebound by Team,,3,11
30,1,8:02.0,A. Wiggins makes 3-pt jump shot from 26 ft (assist by R. Covington),,6,11
31,1,7:50.0,,T. Hardaway misses 3-pt jump shot from 23 ft,6,11
32,1,7:48.0,,Offensive rebound by D. Powell,6,11
33,1,7:46.0,,T. Hardaway makes 3-pt jump shot from 23 ft (assist by D. Powell),6,14
34,1,7:29.0,J. Culver misses 3-pt jump shot from 24 ft,,6,14
35,1,7:25.0,Offensive rebound by J. Okogie,,6,14
36,1,7:24.0,A. Wiggins misses 3-pt jump shot from 25 ft,,6,14
37,1,7:22.0,Offensive rebound by J. Culver,,6,14
38,1,7:19.0,J. Culver makes 2-pt layup from 2 ft,,8,14
39,1,7:05.0,,D. Powell makes 2-pt dunk from 1 ft (assist by L. Dončić),8,16
40,1,6:52.0,J. Culver makes 2-pt jump shot from 5 ft,,10,16
41,1,6:33.0,,L. Dončić misses 3-pt jump shot from 28 ft,10,16
42,1,6:27.0,Defensive rebound by J. Okogie,,10,16
43,1,6:24.0,K. Towns misses 2-pt dunk from 1 ft (block by K. Porziņģis),,10,16
44,1,6:21.0,,Defensive rebound by L. Dončić,10,16
45,1,6:18.0,,Shooting foul by R. Covington (drawn by L. Dončić),10,16
46,1,6:18.0,,L. Dončić misses free throw 1 of 2,10,16
47,1,6:18.0,,Offensive rebound by Team,10,16
48,1,6:18.0,J. Teague enters the game for A. Wiggins,,10,16
49,1,6:18.0,,S. Curry enters the game for D. Finney-Smith,10,16
50,1,6:18.0,,L. Dončić misses free throw 2 of 2,10,16
51,1,6:15.0,Defensive rebound by J. Culver,,10,16
52,1,6:08.0,J. Culver misses 2-pt layup from 4 ft,,10,16
53,1,6:06.0,Offensive rebound by J. Culver,,10,16
54,1,6:05.0,J. Culver makes 2-pt layup at rim,,12,16
55,1,5:51.0,,K. Porziņģis misses 2-pt layup from 6 ft,12,16
56,1,5:51.0,,Offensive rebound by D. Powell,12,16
57,1,5:48.0,,D. Powell makes 2-pt layup from 1 ft,12,18
58,1,5:32.0,K. Towns makes 2-pt layup from 2 ft,,14,18
59,1,5:15.0,,Turnover by L. Dončić (bad pass; steal by K. Towns),14,18
60,1,5:06.0,R. Covington misses 3-pt jump shot from 25 ft,,14,18
61,1,5:02.0,,Defensive rebound by S. Curry,14,18
62,1,4:58.0,,Personal foul by J. Okogie (drawn by K. Porziņģis),14,18
63,1,4:58.0,T. Graham enters the game for J. Okogie,,14,18
64,1,4:58.0,,M. Kleber enters the game for D. Powell,14,18
65,1,4:56.0,,K. Porziņģis makes 2-pt jump shot from 17 ft (assist by L. Dončić),14,20
66,1,4:40.0,K. Towns makes 2-pt layup from 3 ft (assist by J. Teague),,16,20
67,1,4:26.0,,L. Dončić misses 3-pt jump shot from 26 ft,16,20
68,1,4:24.0,,Offensive rebound by Team,16,20
69,1,4:19.0,,K. Porziņģis misses 2-pt jump shot from 15 ft,16,20
70,1,4:17.0,Defensive rebound by R. Covington,,16,20
71,1,4:02.0,R. Covington makes 2-pt jump shot from 6 ft (assist by J. Teague),,18,20
72,1,4:02.0,,Dallas full timeout,18,20
73,1,4:02.0,S. Napier enters the game for J. Culver,,18,20
74,1,4:02.0,,D. Powell enters the game for K. Porziņģis,18,20
75,1,3:52.0,,Personal foul by J. Teague (drawn by T. Hardaway),18,20
76,1,3:40.0,,L. Dončić makes 2-pt jump shot from 9 ft (assist by D. Powell),18,22
77,1,3:19.0,T. Graham makes 3-pt jump shot from 26 ft (assist by S. Napier),,21,22
78,1,3:03.0,,L. Dončić misses 2-pt layup from 1 ft,21,22
79,1,3:01.0,Defensive rebound by K. Towns,,21,22
80,1,2:48.0,R. Covington misses 2-pt layup from 2 ft,,21,22
81,1,2:45.0,,Defensive rebound by S. Curry,21,22
82,1,2:34.0,,S. Curry makes 2-pt layup from 1 ft (assist by M. Kleber),21,24
83,1,2:19.0,Turnover by K. Towns (bad pass; steal by S. Curry),,21,24
84,1,2:11.0,,S. Curry misses 3-pt jump shot from 24 ft,21,24
85,1,2:10.0,Defensive rebound by Team,,21,24
86,1,2:10.0,K. Bates-Diop enters the game for R. Covington,,21,24
87,1,2:10.0,G. Dieng enters the game for K. Towns,,21,24
88,1,2:10.0,,D. Wright enters the game for T. Hardaway,21,24
89,1,2:01.0,S. Napier misses 3-pt jump shot from 25 ft,,21,24
