,QUARTER,TIME_REMAINING,PORTLAND_ACTION,DALLAS_ACTION,PORTLAND_SCORE,DALLAS_SCORE
0,1,11:46.0,H. Whiteside makes 2-pt dunk from 1 ft (assist by C. McCollum),,2,0
1,1,11:30.0,,D. Finney-Smith misses 3-pt jump shot from 23 ft,2,0
2,1,11:26.0,Defensive rebound by C. Anthony,,2,0
3,1,11:11.0,C. Anthony misses 3-pt jump shot from 25 ft,,2,0
4,1,11:07.0,,Defensive rebound by D. Powell,2,0
5,1,10:55.0,,L. Dončić misses 2-pt jump shot from 8 ft,2,0
6,1,10:52.0,Defensive rebound by C. McCollum,,2,0
7,1,10:45.0,C. McCollum makes 2-pt jump shot from 13 ft,,4,0
8,1,10:30.0,,Turnover by T. Hardaway (bad pass; steal by K. Bazemore),4,0
9,1,10:25.0,C. Anthony makes 3-pt jump shot from 26 ft (assist by K. Bazemore),,7,0
10,1,10:03.0,,T. Hardaway misses 2-pt layup from 5 ft,7,0
11,1,10:02.0,,Offensive rebound by T. Hardaway,7,0
12,1,10:02.0,,Shooting foul by H. Whiteside (drawn by T. Hardaway),7,0
13,1,10:02.0,,T. Hardaway makes free throw 1 of 2,7,1
14,1,10:02.0,,T. Hardaway makes free throw 2 of 2,7,2
15,1,9:48.0,C. McCollum misses 3-pt jump shot from 25 ft,,7,2
16,1,9:43.0,,Defensive rebound by D. Finney-Smith,7,2
17,1,9:33.0,,L. Dončić misses 2-pt jump shot from 6 ft,7,2
18,1,9:31.0,Defensive rebound by H. Whiteside,,7,2
19,1,9:23.0,C. McCollum makes 2-pt jump shot from 6 ft,,9,2
20,1,9:05.0,,D. Powell misses 3-pt jump shot from 25 ft,9,2
21,1,9:03.0,Defensive rebound by H. Whiteside,,9,2
22,1,8:56.0,D. Lillard makes 3-pt jump shot from 25 ft (assist by C. McCollum),,12,2
23,1,8:55.0,,Dallas full timeout,12,2
24,1,8:42.0,,Def 3 sec tech foul by Team,12,2
25,1,8:42.0,,T. Hardaway makes technical free throw,12,3
26,1,8:35.0,,Personal foul by K. Bazemore (drawn by L. Dončić),12,3
27,1,8:27.0,,D. Powell misses 2-pt hook shot from 7 ft,12,3
28,1,8:25.0,Defensive rebound by K. Bazemore,,12,3
29,1,8:12.0,C. Anthony makes 2-pt jump shot from 3 ft,,14,3
30,1,7:59.0,,L. Dončić makes 3-pt jump shot from 26 ft,14,6
31,1,7:42.0,D. Lillard misses 2-pt jump shot from 7 ft,,14,6
32,1,7:40.0,,Defensive rebound by D. Finney-Smith,14,6
33,1,7:37.0,,Personal foul by K. Bazemore (drawn by L. Dončić),14,6
34,1,7:37.0,M. Hezonja enters the game for K. Bazemore,,14,6
35,1,7:28.0,,D. Finney-Smith makes 3-pt jump shot from 23 ft (assist by L. Dončić),14,9
36,1,7:11.0,D. Lillard makes 3-pt jump shot from 24 ft,,17,9
37,1,7:01.0,,L. Dončić misses 2-pt jump shot from 6 ft (block by H. Whiteside),17,9
38,1,6:59.0,,Offensive rebound by D. Finney-Smith,17,9
39,1,6:58.0,,D. Finney-Smith makes 2-pt layup from 7 ft,17,11
40,1,6:58.0,Violation by Team (def goaltending),,17,11
41,1,6:58.0,,Shooting foul by D. Lillard (drawn by D. Finney-Smith),17,11
42,1,6:58.0,,D. Finney-Smith makes free throw 1 of 1,17,12
43,1,6:38.0,Shooting foul by D. Finney-Smith (drawn by C. Anthony),,17,12
44,1,6:38.0,C. Anthony makes free throw 1 of 2,,18,12
45,1,6:38.0,C. Anthony makes free throw 2 of 2,,19,12
46,1,6:24.0,,T. Hardaway makes 3-pt jump shot from 25 ft (assist by L. Dončić),19,15
47,1,6:13.0,D. Lillard makes 3-pt jump shot from 27 ft,,22,15
48,1,6:03.0,,L. Dončić misses 2-pt jump shot from 5 ft (block by H. Whiteside),22,15
49,1,6:02.0,,Offensive rebound by Team,22,15
50,1,5:51.0,,L. Dončić makes 3-pt jump shot from 25 ft,22,18
51,1,5:38.0,D. Lillard makes 2-pt layup from 1 ft,,24,18
52,1,5:30.0,,L. Dončić makes 3-pt jump shot from 26 ft,24,21
53,1,5:30.0,,Shooting foul by M. Hezonja (drawn by L. Dončić),24,21
54,1,5:30.0,,L. Dončić misses free throw 1 of 1,24,21
55,1,5:27.0,Defensive rebound by H. Whiteside,,24,21
56,1,5:15.0,C. Anthony misses 3-pt jump shot from 25 ft,,24,21
57,1,5:12.0,Offensive rebound by H. Whiteside,,24,21
58,1,5:04.0,Shooting foul by M. Kleber (drawn by C. Anthony),,24,21
59,1,5:04.0,C. Anthony makes free throw 1 of 2,,25,21
60,1,5:04.0,C. Anthony makes free throw 2 of 2,,26,21
61,1,4:49.0,,Shooting foul by M. Hezonja (drawn by D. Powell),26,21
62,1,4:49.0,,D. Powell makes free throw 1 of 2,26,22
63,1,4:49.0,G. Trent enters the game for C. Anthony,,26,22
64,1,4:49.0,,J. Jackson enters the game for M. Kleber,26,22
65,1,4:49.0,,D. Powell makes free throw 2 of 2,26,23
66,1,4:37.0,C. McCollum misses 2-pt jump shot from 18 ft,,26,23
67,1,4:37.0,,Defensive rebound by Team,26,23
68,1,4:37.0,Loose ball foul by H. Whiteside (drawn by L. Dončić),,26,23
69,1,4:37.0,,L. Dončić makes free throw 1 of 2,26,24
70,1,4:37.0,A. Simons enters the game for C. McCollum,,26,24
71,1,4:37.0,,S. Curry enters the game for T. Hardaway,26,24
72,1,4:37.0,,L. Dončić makes free throw 2 of 2,26,25
73,1,4:22.0,H. Whiteside makes 2-pt layup from 2 ft (assist by D. Lillard),,28,25
74,1,4:14.0,,Def 3 sec tech foul by Team,28,25
75,1,4:14.0,,S. Curry makes technical free throw,28,26
76,1,4:09.0,,L. Dončić makes 3-pt jump shot from 26 ft (assist by S. Curry),28,29
77,1,4:07.0,Portland full timeout,,28,29
78,1,4:07.0,,D. Wright enters the game for D. Finney-Smith,28,29
79,1,3:53.0,A. Simons makes 2-pt layup from 2 ft (assist by H. Whiteside),,30,29
80,1,3:31.0,,S. Curry misses 3-pt jump shot from 25 ft,30,29
81,1,3:27.0,Defensive rebound by H. Whiteside,,30,29
82,1,3:12.0,G. Trent makes 3-pt jump shot from 25 ft (assist by A. Simons),,33,29
83,1,2:52.0,,L. Dončić misses 3-pt jump shot from 25 ft,33,29
84,1,2:50.0,,Offensive rebound by D. Wright,33,29
85,1,2:41.0,,D. Wright makes 2-pt jump shot from 6 ft,33,31
86,1,2:19.0,A. Simons misses 3-pt jump shot from 24 ft,,33,31
87,1,2:17.0,,Defensive rebound by S. Curry,33,31
88,1,2:00.0,,D. Powell makes 2-pt layup from 1 ft (assist by D. Wright),33,33
89,1,1:46.0,D. Lillard misses 3-pt jump shot from 24 ft,,33,33
90,1,1:43.0,,Defensive rebound by L. Dončić,33,33
91,1,1:38.0,,D. Wright misses 3-pt jump shot from 25 ft,33,33
92,1,1:35.0,Defensive rebound by H. Whiteside,,33,33
93,1,1:29.0,Personal foul by D. Powell (drawn by D. Lillard),,33,33
94,1,1:29.0,,J. Brunson enters the game for L. Dončić,33,33
95,1,1:29.0,,M. Kleber enters the game for D. Powell,33,33
96,1,1:20.0,M. Hezonja makes 2-pt layup from 2 ft (assist by A. Simons),,35,33
97,1,1:11.0,,D. Wright misses 2-pt layup from 5 ft,35,33
98,1,1:10.0,Defensive rebound by M. Hezonja,,35,33
99,1,0:55.0,A. Simons makes 2-pt layup at rim (assist by H. Whiteside),,37,33
