,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,BOSTON_ACTION,BROOKLYN_SCORE,BOSTON_SCORE
0,1,11:41.0,J. Allen makes 2-pt dunk from 2 ft (assist by T. Prince),,2,0
1,1,11:27.0,,K. Walker misses 3-pt jump shot from 26 ft,2,0
2,1,11:25.0,Defensive rebound by J. Allen,,2,0
3,1,11:21.0,G. Temple misses 3-pt jump shot from 26 ft,,2,0
4,1,11:19.0,,Defensive rebound by J. Brown,2,0
5,1,11:12.0,,Turnover by J. Brown (traveling),2,0
6,1,10:54.0,S. Dinwiddie makes 3-pt jump shot from 25 ft,,5,0
7,1,10:36.0,,D. Theis makes 2-pt dunk from 1 ft (assist by K. Walker),5,2
8,1,10:19.0,J. Harris makes 2-pt jump shot from 12 ft (assist by J. Allen),,7,2
9,1,9:55.0,,M. Smart misses 2-pt jump shot from 21 ft,7,2
10,1,9:53.0,,Offensive rebound by J. Tatum,7,2
11,1,9:52.0,,J. Tatum misses 2-pt layup at rim,7,2
12,1,9:50.0,Defensive rebound by J. Allen,,7,2
13,1,9:42.0,S. Dinwiddie misses 3-pt jump shot from 26 ft,,7,2
14,1,9:40.0,,Defensive rebound by J. Tatum,7,2
15,1,9:33.0,,D. Theis misses 3-pt jump shot from 27 ft,7,2
16,1,9:31.0,Defensive rebound by J. Allen,,7,2
17,1,9:19.0,J. Allen misses 2-pt hook shot from 7 ft,,7,2
18,1,9:17.0,,Defensive rebound by J. Tatum,7,2
19,1,9:10.0,,J. Tatum makes 2-pt layup from 2 ft,7,4
20,1,8:48.0,S. Dinwiddie misses 3-pt jump shot from 26 ft,,7,4
21,1,8:46.0,,Defensive rebound by J. Brown,7,4
22,1,8:40.0,,Turnover by K. Walker (out of bounds lost ball),7,4
23,1,8:32.0,Offensive foul by J. Allen (drawn by J. Brown),,7,4
24,1,8:32.0,Turnover by J. Allen (offensive foul),,7,4
25,1,8:24.0,,J. Tatum misses 3-pt jump shot from 25 ft,7,4
26,1,8:22.0,Defensive rebound by J. Allen,,7,4
27,1,8:15.0,J. Harris misses 2-pt layup from 2 ft,,7,4
28,1,8:13.0,,Defensive rebound by Team,7,4
29,1,7:54.0,,J. Tatum misses 2-pt jump shot from 16 ft,7,4
30,1,7:52.0,,Offensive rebound by D. Theis,7,4
31,1,7:52.0,,D. Theis makes 2-pt layup from 2 ft,7,6
32,1,7:33.0,Turnover by T. Prince (lost ball; steal by J. Brown),,7,6
33,1,7:32.0,,Shooting foul by T. Prince (drawn by J. Brown),7,6
34,1,7:32.0,,J. Brown makes free throw 1 of 2,7,7
35,1,7:32.0,D. Musa enters the game for G. Temple,,7,7
36,1,7:32.0,,J. Brown makes free throw 2 of 2,7,8
37,1,7:20.0,J. Allen makes 2-pt layup from 3 ft (assist by S. Dinwiddie),,9,8
38,1,7:20.0,Shooting foul by D. Theis (drawn by J. Allen),,9,8
39,1,7:20.0,J. Allen makes free throw 1 of 1,,10,8
