,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,NEW YORK_ACTION,MILWAUKEE_SCORE,NEW YORK_SCORE
0,1,11:47.0,K. Middleton misses 2-pt jump shot from 18 ft,,0,0
1,1,11:45.0,,Defensive rebound by T. Gibson,0,0
2,1,11:31.0,,M. Morris misses 2-pt jump shot from 11 ft,0,0
3,1,11:29.0,Defensive rebound by Team,,0,0
4,1,11:20.0,D. DiVincenzo makes 2-pt layup from 1 ft,,2,0
5,1,11:08.0,,T. Gibson misses 2-pt jump shot from 12 ft,2,0
6,1,11:06.0,Defensive rebound by D. DiVincenzo,,2,0
7,1,11:00.0,D. DiVincenzo makes 3-pt jump shot from 28 ft (assist by G. Antetokounmpo),,5,0
8,1,10:45.0,,M. Morris misses 2-pt jump shot from 10 ft (block by B. Lopez),5,0
9,1,10:43.0,,Offensive rebound by T. Gibson,5,0
10,1,10:41.0,,T. Gibson misses 2-pt layup from 2 ft (block by K. Middleton),5,0
11,1,10:40.0,,Offensive rebound by Team,5,0
12,1,10:34.0,,Shooting foul by G. Antetokounmpo (drawn by M. Morris),5,0
13,1,10:34.0,,M. Morris makes free throw 1 of 2,5,1
14,1,10:34.0,,M. Morris makes free throw 2 of 2,5,2
15,1,10:23.0,B. Lopez misses 2-pt layup from 5 ft,,5,2
16,1,10:21.0,,Defensive rebound by R. Barrett,5,2
17,1,10:15.0,,R. Barrett misses 2-pt layup from 3 ft (block by B. Lopez),5,2
18,1,10:13.0,Defensive rebound by E. İlyasova,,5,2
19,1,10:10.0,E. İlyasova makes 3-pt jump shot from 25 ft (assist by K. Middleton),,8,2
20,1,9:52.0,,J. Randle misses 3-pt jump shot from 25 ft,8,2
21,1,9:50.0,Defensive rebound by K. Middleton,,8,2
22,1,9:46.0,Shooting foul by R. Barrett (drawn by K. Middleton),,8,2
23,1,9:46.0,K. Middleton makes free throw 1 of 3,,9,2
24,1,9:46.0,K. Middleton makes free throw 2 of 3,,10,2
25,1,9:46.0,K. Middleton makes free throw 3 of 3,,11,2
26,1,9:34.0,,J. Randle makes 2-pt layup from 1 ft (assist by E. Payton),11,4
27,1,9:23.0,B. Lopez makes 3-pt jump shot from 26 ft (assist by K. Middleton),,14,4
28,1,9:09.0,,R. Barrett misses 2-pt jump shot from 21 ft,14,4
29,1,9:07.0,Defensive rebound by B. Lopez,,14,4
30,1,8:57.0,B. Lopez makes 3-pt jump shot from 27 ft (assist by E. İlyasova),,17,4
31,1,8:56.0,,New York full timeout,17,4
32,1,8:56.0,,M. Robinson enters the game for T. Gibson,17,4
33,1,8:46.0,,Personal foul by K. Middleton (drawn by R. Barrett),17,4
34,1,8:36.0,,E. Payton misses 2-pt layup from 6 ft,17,4
35,1,8:34.0,Defensive rebound by G. Antetokounmpo,,17,4
36,1,8:30.0,Turnover by G. Antetokounmpo (bad pass; steal by E. Payton),,17,4
37,1,8:28.0,,R. Barrett misses 2-pt layup from 1 ft,17,4
38,1,8:28.0,,Offensive rebound by Team,17,4
39,1,8:28.0,Loose ball foul by K. Middleton (drawn by J. Randle),,17,4
40,1,8:21.0,,J. Randle makes 2-pt jump shot from 18 ft (assist by E. Payton),17,6
41,1,8:12.0,G. Antetokounmpo makes 3-pt jump shot from 29 ft (assist by K. Middleton),,20,6
