,QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,SAN ANTONIO_ACTION,OKLAHOMA CITY_SCORE,SAN ANTONIO_SCORE
0,1,11:42.0,,L. Aldridge misses 2-pt jump shot from 17 ft,0,0
1,1,11:37.0,Defensive rebound by C. Paul,,0,0
2,1,11:34.0,Turnover by S. Gilgeous-Alexander (bad pass),,0,0
3,1,11:25.0,,Turnover by D. Murray (lost ball; steal by S. Gilgeous-Alexander),0,0
4,1,11:21.0,S. Gilgeous-Alexander makes 2-pt layup from 2 ft,,2,0
5,1,11:09.0,,L. Aldridge makes 3-pt jump shot from 26 ft (assist by D. Murray),2,3
6,1,10:57.0,Personal foul by L. Aldridge (drawn by S. Adams),,2,3
7,1,10:49.0,Offensive foul by S. Adams (drawn by T. Lyles),,2,3
8,1,10:49.0,Turnover by S. Adams (offensive foul),,2,3
9,1,10:27.0,,B. Forbes misses 3-pt jump shot from 25 ft,2,3
10,1,10:22.0,Defensive rebound by C. Paul,,2,3
11,1,10:19.0,S. Gilgeous-Alexander misses 3-pt jump shot from 26 ft,,2,3
12,1,10:15.0,Offensive rebound by Team,,2,3
13,1,10:08.0,D. Gallinari makes 2-pt jump shot from 13 ft,,4,3
14,1,9:50.0,,D. DeRozan makes 3-pt jump shot from 23 ft (assist by B. Forbes),4,6
15,1,9:32.0,S. Gilgeous-Alexander misses 2-pt layup from 1 ft,,4,6
16,1,9:29.0,,Defensive rebound by B. Forbes,4,6
17,1,9:22.0,,L. Aldridge makes 3-pt jump shot from 25 ft (assist by D. Murray),4,9
18,1,9:06.0,Personal foul by T. Lyles (drawn by S. Adams),,4,9
19,1,8:54.0,D. Gallinari misses 3-pt jump shot from 25 ft,,4,9
20,1,8:52.0,Offensive rebound by S. Adams,,4,9
21,1,8:52.0,Personal foul by D. Murray (drawn by S. Adams),,4,9
22,1,8:52.0,Oklahoma City full timeout,,4,9
23,1,8:42.0,C. Paul makes 2-pt jump shot from 18 ft,,6,9
24,1,8:28.0,,D. Murray makes 2-pt layup from 1 ft,6,11
25,1,8:19.0,D. Gallinari makes 3-pt jump shot from 25 ft (assist by C. Paul),,9,11
26,1,8:01.0,,B. Forbes misses 3-pt jump shot from 25 ft,9,11
27,1,7:56.0,Defensive rebound by S. Gilgeous-Alexander,,9,11
28,1,7:54.0,C. Paul makes 2-pt layup from 1 ft (assist by S. Gilgeous-Alexander),,11,11
29,1,7:32.0,,T. Lyles makes 3-pt jump shot from 23 ft (assist by D. Murray),11,14
30,1,7:13.0,D. Gallinari makes 2-pt jump shot from 10 ft,,13,14
31,1,7:03.0,,D. DeRozan makes 2-pt jump shot from 8 ft,13,16
32,1,6:46.0,S. Adams makes 2-pt hook shot from 7 ft,,15,16
33,1,6:32.0,,D. DeRozan misses 3-pt jump shot from 24 ft,15,16
34,1,6:30.0,,Offensive rebound by L. Aldridge,15,16
35,1,6:26.0,,L. Aldridge makes 2-pt jump shot from 14 ft,15,18
36,1,6:07.0,Shooting foul by L. Aldridge (drawn by S. Adams),,15,18
37,1,6:07.0,S. Adams misses free throw 1 of 2,,15,18
38,1,6:07.0,Offensive rebound by Team,,15,18
39,1,6:07.0,D. Schröder enters the game for C. Paul,,15,18
40,1,6:07.0,S. Adams makes free throw 2 of 2,,16,18
41,1,5:53.0,,Personal foul by S. Adams (drawn by L. Aldridge),16,18
42,1,5:53.0,N. Noel enters the game for S. Adams,,16,18
43,1,5:53.0,,J. Poeltl enters the game for L. Aldridge,16,18
44,1,5:41.0,,T. Lyles misses 2-pt jump shot from 13 ft,16,18
45,1,5:38.0,Defensive rebound by Team,,16,18
46,1,5:24.0,Shooting foul by J. Poeltl (drawn by N. Noel),,16,18
47,1,5:24.0,N. Noel makes free throw 1 of 2,,17,18
48,1,5:24.0,,R. Gay enters the game for T. Lyles,17,18
49,1,5:24.0,,D. White enters the game for D. Murray,17,18
50,1,5:24.0,N. Noel makes free throw 2 of 2,,18,18
51,1,5:09.0,,Shooting foul by T. Ferguson (drawn by D. DeRozan),18,18
52,1,5:09.0,,D. DeRozan makes free throw 1 of 2,18,19
53,1,5:09.0,H. Diallo enters the game for T. Ferguson,,18,19
54,1,5:09.0,,D. DeRozan makes free throw 2 of 2,18,20
55,1,4:46.0,Turnover by D. Gallinari (bad pass),,18,20
56,1,4:46.0,,P. Mills enters the game for B. Forbes,18,20
57,1,4:32.0,,D. DeRozan misses 2-pt jump shot from 8 ft,18,20
58,1,4:30.0,Defensive rebound by S. Gilgeous-Alexander,,18,20
59,1,4:27.0,H. Diallo misses 2-pt layup from 1 ft (block by R. Gay),,18,20
60,1,4:24.0,,Defensive rebound by D. White,18,20
61,1,4:17.0,,Turnover by P. Mills (bad pass),18,20
62,1,4:07.0,H. Diallo misses 2-pt jump shot from 10 ft,,18,20
