,QUARTER,TIME_REMAINING,DETROIT_ACTION,LA CLIPPERS_ACTION,DETROIT_SCORE,LA CLIPPERS_SCORE
0,1,11:48.0,S. Mykhailiuk misses 3-pt jump shot from 26 ft,,0,0
1,1,11:44.0,Offensive rebound by A. Drummond,,0,0
2,1,11:42.0,A. Drummond makes 2-pt hook shot from 2 ft,,2,0
3,1,11:25.0,,I. Zubac makes 2-pt jump shot from 16 ft (assist by K. Leonard),2,2
4,1,11:01.0,S. Doumbouya misses 2-pt jump shot from 6 ft (block by I. Zubac),,2,2
5,1,10:58.0,Offensive rebound by S. Doumbouya,,2,2
6,1,10:57.0,S. Doumbouya misses 2-pt layup from 4 ft,,2,2
7,1,10:55.0,,Defensive rebound by M. Harkless,2,2
8,1,10:49.0,,P. George makes 2-pt jump shot from 18 ft,2,4
9,1,10:22.0,A. Drummond misses 2-pt jump shot from 22 ft (block by M. Harkless),,2,4
10,1,10:20.0,Offensive rebound by S. Doumbouya,,2,4
11,1,10:19.0,S. Doumbouya misses 2-pt jump shot from 7 ft (block by K. Leonard),,2,4
12,1,10:19.0,,Defensive rebound by K. Leonard,2,4
13,1,10:14.0,,K. Leonard misses 3-pt jump shot from 26 ft,2,4
14,1,10:09.0,Defensive rebound by T. Frazier,,2,4
15,1,10:09.0,Shooting foul by L. Shamet (drawn by S. Mykhailiuk),,2,4
16,1,10:09.0,S. Mykhailiuk makes free throw 1 of 3,,3,4
17,1,10:09.0,S. Mykhailiuk makes free throw 2 of 3,,4,4
18,1,10:09.0,S. Mykhailiuk makes free throw 3 of 3,,5,4
19,1,9:49.0,,P. George makes 2-pt layup from 2 ft,5,6
20,1,9:33.0,S. Mykhailiuk misses 2-pt layup from 2 ft (block by I. Zubac),,5,6
21,1,9:31.0,,Defensive rebound by L. Shamet,5,6
22,1,9:15.0,,P. George misses 3-pt jump shot from 25 ft,5,6
23,1,9:13.0,Defensive rebound by A. Drummond,,5,6
24,1,9:01.0,A. Drummond misses 2-pt layup from 5 ft (block by I. Zubac),,5,6
25,1,9:01.0,Offensive rebound by Team,,5,6
26,1,8:59.0,T. Snell misses 2-pt jump shot from 18 ft,,5,6
27,1,8:52.0,,Defensive rebound by M. Harkless,5,6
28,1,8:46.0,,K. Leonard misses 2-pt jump shot from 16 ft,5,6
29,1,8:42.0,Defensive rebound by S. Doumbouya,,5,6
30,1,8:32.0,S. Doumbouya misses 3-pt jump shot from 25 ft,,5,6
31,1,8:29.0,,Defensive rebound by L. Shamet,5,6
32,1,8:24.0,,L. Shamet misses 3-pt jump shot from 29 ft,5,6
33,1,8:20.0,Defensive rebound by S. Doumbouya,,5,6
34,1,8:12.0,Offensive foul by T. Frazier (drawn by L. Shamet),,5,6
35,1,8:12.0,Turnover by T. Frazier (offensive foul),,5,6
36,1,8:02.0,,Turnover by L. Shamet (bad pass; steal by S. Doumbouya),5,6
37,1,7:57.0,T. Snell makes 3-pt jump shot from 30 ft (assist by T. Frazier),,8,6
38,1,7:44.0,,Turnover by L. Shamet (lost ball; steal by T. Frazier),8,6
39,1,7:40.0,S. Doumbouya makes 2-pt dunk from 1 ft,,10,6
40,1,7:13.0,,M. Harkless makes 2-pt layup from 2 ft (assist by K. Leonard),10,8
41,1,6:57.0,Shooting foul by P. George (drawn by A. Drummond),,10,8
42,1,6:57.0,,LA Clippers full timeout,10,8
43,1,6:57.0,A. Drummond misses free throw 1 of 2,,10,8
44,1,6:57.0,Offensive rebound by Team,,10,8
45,1,6:57.0,A. Drummond makes free throw 2 of 2,,11,8
46,1,6:40.0,,K. Leonard misses 2-pt jump shot from 15 ft,11,8
47,1,6:37.0,,Offensive rebound by M. Harkless,11,8
48,1,6:34.0,,P. George misses 3-pt jump shot from 26 ft,11,8
49,1,6:32.0,Defensive rebound by T. Snell,,11,8
50,1,6:14.0,S. Doumbouya misses 3-pt jump shot from 26 ft,,11,8
51,1,6:11.0,,Defensive rebound by P. George,11,8
52,1,6:03.0,,I. Zubac makes 2-pt dunk from 1 ft (assist by P. George),11,10
53,1,5:46.0,A. Drummond misses 3-pt jump shot from 25 ft,,11,10
54,1,5:43.0,,Defensive rebound by I. Zubac,11,10
55,1,5:43.0,D. Rose enters the game for A. Drummond,,11,10
56,1,5:43.0,C. Wood enters the game for T. Frazier,,11,10
57,1,5:43.0,,L. Williams enters the game for L. Shamet,11,10
58,1,5:26.0,,P. George makes 2-pt layup from 2 ft,11,12
59,1,5:15.0,Shooting foul by I. Zubac (drawn by C. Wood),,11,12
60,1,5:15.0,,M. Harrell enters the game for I. Zubac,11,12
61,1,5:15.0,C. Wood makes free throw 1 of 2,,12,12
62,1,5:15.0,,Defensive rebound by M. Harkless,12,12
63,1,5:15.0,C. Wood misses free throw 2 of 2,,12,12
64,1,5:06.0,,Personal foul by S. Doumbouya (drawn by K. Leonard),12,12
65,1,4:58.0,,K. Leonard misses 2-pt hook shot from 8 ft,12,12
66,1,4:53.0,Defensive rebound by S. Doumbouya,,12,12
