,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,MILWAUKEE_ACTION,PHILADELPHIA_SCORE,MILWAUKEE_SCORE
0,1,11:41.0,,W. Matthews misses 3-pt jump shot from 26 ft,0,0
1,1,11:38.0,Defensive rebound by J. Embiid,,0,0
2,1,11:26.0,Turnover by B. Simmons (traveling),,0,0
3,1,11:13.0,,E. Bledsoe makes 3-pt jump shot from 23 ft (assist by B. Lopez),0,3
4,1,10:50.0,J. Richardson misses 3-pt jump shot from 29 ft,,0,3
5,1,10:47.0,,Defensive rebound by K. Middleton,0,3
6,1,10:45.0,,Personal foul by J. Richardson (drawn by G. Antetokounmpo),0,3
7,1,10:40.0,,G. Antetokounmpo makes 2-pt jump shot from 16 ft (assist by E. Bledsoe),0,5
8,1,10:27.0,J. Embiid misses 2-pt jump shot from 7 ft,,0,5
9,1,10:26.0,Offensive rebound by B. Simmons,,0,5
10,1,10:24.0,G. Robinson makes 2-pt layup from 1 ft (assist by B. Simmons),,2,5
11,1,10:13.0,,G. Antetokounmpo makes 2-pt jump shot from 15 ft (assist by W. Matthews),2,7
12,1,9:57.0,J. Embiid misses 2-pt jump shot from 15 ft,,2,7
13,1,9:54.0,,Defensive rebound by G. Antetokounmpo,2,7
14,1,9:47.0,,Personal foul by T. Harris (drawn by G. Antetokounmpo),2,7
15,1,9:42.0,,G. Antetokounmpo makes 3-pt jump shot from 25 ft (assist by E. Bledsoe),2,10
16,1,9:27.0,G. Robinson misses 2-pt jump shot from 18 ft,,2,10
17,1,9:24.0,,Defensive rebound by G. Antetokounmpo,2,10
18,1,9:21.0,,G. Antetokounmpo misses 2-pt layup from 5 ft (block by B. Simmons),2,10
19,1,9:21.0,,Offensive rebound by Team,2,10
20,1,9:17.0,,K. Middleton makes 2-pt jump shot from 21 ft (assist by E. Bledsoe),2,12
21,1,9:17.0,Philadelphia full timeout,,2,12
22,1,9:05.0,G. Robinson misses 3-pt jump shot from 24 ft,,2,12
23,1,9:02.0,,Defensive rebound by W. Matthews,2,12
24,1,8:52.0,,B. Lopez misses 3-pt jump shot from 26 ft,2,12
25,1,8:49.0,Defensive rebound by G. Robinson,,2,12
26,1,8:46.0,B. Simmons makes 2-pt layup at rim,,4,12
27,1,8:36.0,,G. Antetokounmpo misses 3-pt jump shot from 25 ft,4,12
28,1,8:33.0,,Offensive rebound by B. Lopez,4,12
29,1,8:31.0,,Turnover by E. Bledsoe (bad pass; steal by J. Embiid),4,12
30,1,8:24.0,B. Simmons makes 2-pt layup from 1 ft,,6,12
31,1,8:17.0,,E. Bledsoe makes 2-pt layup from 3 ft (assist by W. Matthews),6,14
32,1,8:05.0,J. Richardson misses 2-pt layup from 3 ft,,6,14
33,1,8:02.0,,Defensive rebound by E. Bledsoe,6,14
34,1,7:58.0,,K. Middleton misses 3-pt jump shot from 27 ft,6,14
35,1,7:55.0,Defensive rebound by B. Simmons,,6,14
36,1,7:44.0,T. Harris misses 2-pt jump shot from 16 ft,,6,14
37,1,7:41.0,,Defensive rebound by B. Lopez,6,14
38,1,7:28.0,,E. Bledsoe misses 3-pt jump shot from 26 ft,6,14
39,1,7:26.0,Defensive rebound by J. Embiid,,6,14
40,1,7:21.0,Shooting foul by B. Lopez (drawn by B. Simmons),,6,14
41,1,7:21.0,B. Simmons misses free throw 1 of 2,,6,14
42,1,7:21.0,Offensive rebound by Team,,6,14
43,1,7:21.0,A. Horford enters the game for J. Embiid,,6,14
44,1,7:21.0,F. Korkmaz enters the game for J. Richardson,,6,14
45,1,7:21.0,M. Thybulle enters the game for G. Robinson,,6,14
46,1,7:21.0,,D. DiVincenzo enters the game for G. Antetokounmpo,6,14
47,1,7:21.0,B. Simmons makes free throw 2 of 2,,7,14
48,1,7:16.0,,Personal take foul by M. Thybulle (drawn by K. Middleton),7,14
49,1,7:16.0,A. Burks enters the game for B. Simmons,,7,14
50,1,7:01.0,,E. Bledsoe makes 3-pt jump shot from 25 ft (assist by B. Lopez),7,17
51,1,6:42.0,A. Horford misses 3-pt jump shot from 26 ft,,7,17
52,1,6:40.0,Offensive rebound by A. Burks,,7,17
53,1,6:39.0,M. Thybulle misses 3-pt jump shot from 24 ft,,7,17
54,1,6:38.0,,Defensive rebound by Team,7,17
55,1,6:38.0,,G. Antetokounmpo enters the game for B. Lopez,7,17
56,1,6:19.0,,D. DiVincenzo misses 2-pt layup from 1 ft,7,17
57,1,6:17.0,Defensive rebound by A. Horford,,7,17
58,1,6:13.0,T. Harris makes 2-pt jump shot from 11 ft,,9,17
59,1,6:13.0,Shooting foul by W. Matthews (drawn by T. Harris),,9,17
60,1,6:13.0,,P. Connaughton enters the game for E. Bledsoe,9,17
61,1,6:13.0,,G. Hill enters the game for W. Matthews,9,17
62,1,6:13.0,T. Harris makes free throw 1 of 1,,10,17
63,1,6:01.0,,P. Connaughton makes 2-pt layup from 1 ft (assist by G. Antetokounmpo),10,19
64,1,5:51.0,A. Burks misses 3-pt jump shot from 28 ft,,10,19
65,1,5:46.0,,Defensive rebound by D. DiVincenzo,10,19
66,1,5:43.0,,Personal foul by A. Horford (drawn by G. Antetokounmpo),10,19
67,1,5:37.0,,K. Middleton makes 2-pt jump shot from 12 ft,10,21
68,1,5:24.0,A. Horford misses 3-pt jump shot from 28 ft,,10,21
69,1,5:21.0,Offensive rebound by T. Harris,,10,21
70,1,5:20.0,T. Harris makes 2-pt layup from 3 ft,,12,21
71,1,5:08.0,,Offensive foul by D. DiVincenzo (drawn by A. Burks),12,21
72,1,5:08.0,,Turnover by D. DiVincenzo (offensive foul),12,21
73,1,5:01.0,Offensive foul by A. Burks (drawn by D. DiVincenzo),,12,21
74,1,5:01.0,Turnover by A. Burks (offensive foul),,12,21
75,1,4:42.0,,G. Hill misses 2-pt jump shot from 13 ft,12,21
76,1,4:39.0,Defensive rebound by F. Korkmaz,,12,21
77,1,4:26.0,T. Harris misses 2-pt jump shot from 2 ft,,12,21
78,1,4:23.0,,Defensive rebound by K. Middleton,12,21
79,1,4:19.0,,G. Antetokounmpo makes 2-pt layup from 2 ft,12,23
80,1,4:04.0,A. Burks misses 2-pt jump shot from 16 ft,,12,23
81,1,4:02.0,,Defensive rebound by G. Antetokounmpo,12,23
82,1,3:44.0,,K. Middleton misses 3-pt jump shot from 27 ft,12,23
83,1,3:41.0,Defensive rebound by A. Horford,,12,23
84,1,3:24.0,F. Korkmaz makes 3-pt jump shot from 25 ft (assist by T. Harris),,15,23
85,1,3:23.0,,Milwaukee full timeout,15,23
86,1,3:23.0,,B. Lopez enters the game for G. Antetokounmpo,15,23
87,1,3:23.0,,M. Williams enters the game for K. Middleton,15,23
88,1,3:02.0,,D. DiVincenzo misses 2-pt jump shot from 13 ft,15,23
89,1,3:00.0,Defensive rebound by F. Korkmaz,,15,23
90,1,2:46.0,A. Horford misses 3-pt jump shot from 28 ft,,15,23
91,1,2:44.0,,Defensive rebound by M. Williams,15,23
92,1,2:35.0,,B. Lopez makes 3-pt jump shot from 26 ft (assist by P. Connaughton),15,26
93,1,2:23.0,A. Burks makes 2-pt layup from 3 ft,,17,26
94,1,2:23.0,,Violation by Team (def goaltending),17,26
95,1,2:06.0,,M. Williams misses 3-pt jump shot from 27 ft,17,26
96,1,2:03.0,Defensive rebound by A. Burks,,17,26
97,1,1:59.0,T. Harris makes 2-pt dunk from 1 ft (assist by M. Thybulle),,19,26
98,1,1:36.0,,B. Lopez makes 2-pt jump shot from 10 ft,19,28
99,1,1:26.0,A. Burks misses 2-pt jump shot from 14 ft,,19,28
100,1,1:23.0,Offensive rebound by M. Thybulle,,19,28
101,1,1:20.0,Shooting foul by M. Williams (drawn by T. Harris),,19,28
102,1,1:20.0,T. Harris makes free throw 1 of 2,,20,28
103,1,1:20.0,J. Richardson enters the game for M. Thybulle,,20,28
104,1,1:20.0,,E. Bledsoe enters the game for D. DiVincenzo,20,28
105,1,1:20.0,T. Harris makes free throw 2 of 2,,21,28
