,QUARTER,TIME_REMAINING,ATLANTA_ACTION,BROOKLYN_ACTION,ATLANTA_SCORE,BROOKLYN_SCORE
0,1,11:49.0,,Turnover by J. Harris (out of bounds lost ball),0,0
1,1,11:39.0,D. Hunter makes 2-pt jump shot from 21 ft (assist by B. Fernando),,2,0
2,1,11:17.0,,G. Temple makes 2-pt jump shot from 12 ft (assist by T. Prince),2,2
3,1,11:07.0,K. Huerter makes 2-pt jump shot from 10 ft,,4,2
4,1,10:48.0,,Shooting foul by B. Fernando (drawn by J. Allen),4,2
5,1,10:48.0,,J. Allen misses free throw 1 of 2,4,2
6,1,10:48.0,,Offensive rebound by Team,4,2
7,1,10:48.0,,J. Allen misses free throw 2 of 2,4,2
8,1,10:45.0,Defensive rebound by B. Fernando,,4,2
9,1,10:34.0,K. Huerter makes 2-pt jump shot from 14 ft,,6,2
10,1,10:22.0,,Personal foul by K. Huerter (drawn by J. Allen),6,2
11,1,10:17.0,,S. Dinwiddie misses 3-pt jump shot from 25 ft,6,2
12,1,10:14.0,,Offensive rebound by Team,6,2
13,1,10:12.0,,J. Harris makes 3-pt jump shot from 24 ft (assist by G. Temple),6,5
14,1,10:03.0,T. Young misses 3-pt jump shot from 26 ft,,6,5
15,1,10:01.0,Offensive rebound by B. Fernando,,6,5
16,1,10:01.0,Shooting foul by J. Allen (drawn by B. Fernando),,6,5
17,1,10:01.0,B. Fernando makes free throw 1 of 2,,7,5
18,1,10:01.0,B. Fernando misses free throw 2 of 2,,7,5
19,1,9:58.0,,Defensive rebound by T. Prince,7,5
20,1,9:47.0,,J. Harris misses 2-pt layup from 5 ft,7,5
21,1,9:47.0,,Offensive rebound by Team,7,5
22,1,9:40.0,,J. Harris misses 2-pt layup from 4 ft (block by K. Huerter),7,5
23,1,9:38.0,Defensive rebound by T. Young,,7,5
24,1,9:36.0,Shooting foul by S. Dinwiddie (drawn by T. Young),,7,5
25,1,9:36.0,T. Young makes free throw 1 of 2,,8,5
26,1,9:36.0,T. Young makes free throw 2 of 2,,9,5
27,1,9:18.0,,S. Dinwiddie misses 2-pt layup from 5 ft,9,5
28,1,9:16.0,Defensive rebound by T. Young,,9,5
29,1,9:10.0,T. Young misses 3-pt jump shot from 26 ft,,9,5
30,1,9:08.0,,Defensive rebound by G. Temple,9,5
31,1,8:56.0,,Personal foul by D. Hunter (drawn by T. Prince),9,5
32,1,8:50.0,,J. Harris misses 3-pt jump shot from 26 ft,9,5
33,1,8:46.0,Defensive rebound by B. Fernando,,9,5
34,1,8:37.0,D. Hunter makes 3-pt jump shot from 25 ft (assist by T. Young),,12,5
35,1,8:25.0,,J. Allen misses 2-pt jump shot from 5 ft,12,5
36,1,8:21.0,Defensive rebound by C. Reddish,,12,5
37,1,8:17.0,C. Reddish makes 2-pt layup from 1 ft,,14,5
38,1,8:17.0,,Brooklyn full timeout,14,5
39,1,8:01.0,,S. Dinwiddie makes 2-pt layup from 2 ft,14,7
40,1,7:43.0,D. Hunter makes 2-pt jump shot from 6 ft,,16,7
41,1,7:32.0,,S. Dinwiddie misses 2-pt layup from 3 ft (block by B. Fernando),16,7
42,1,7:26.0,Defensive rebound by D. Hunter,,16,7
43,1,7:23.0,T. Young makes 2-pt jump shot from 1 ft (assist by K. Huerter),,18,7
44,1,7:04.0,,J. Allen misses 3-pt jump shot from 23 ft,18,7
45,1,7:01.0,Defensive rebound by B. Fernando,,18,7
46,1,6:54.0,K. Huerter misses 3-pt jump shot from 23 ft,,18,7
47,1,6:54.0,,Defensive rebound by G. Temple,18,7
48,1,6:44.0,,G. Temple makes 2-pt jump shot from 10 ft,18,9
49,1,6:31.0,B. Fernando misses 2-pt dunk from 4 ft (block by J. Allen),,18,9
50,1,6:31.0,,Defensive rebound by S. Dinwiddie,18,9
51,1,6:24.0,,T. Prince makes 3-pt jump shot from 25 ft (assist by G. Temple),18,12
52,1,6:22.0,Atlanta full timeout,,18,12
53,1,6:22.0,D. Bembry enters the game for B. Fernando,,18,12
54,1,6:22.0,A. Len enters the game for K. Huerter,,18,12
55,1,6:22.0,J. Parker enters the game for C. Reddish,,18,12
56,1,6:22.0,,T. Luwawu-Cabarrot enters the game for G. Temple,18,12
57,1,6:12.0,T. Young misses 3-pt jump shot from 26 ft,,18,12
58,1,6:09.0,Offensive rebound by J. Parker,,18,12
59,1,6:01.0,J. Parker misses 3-pt jump shot from 23 ft,,18,12
60,1,5:56.0,,Defensive rebound by J. Allen,18,12
61,1,5:51.0,,J. Harris misses 3-pt jump shot from 23 ft,18,12
62,1,5:49.0,Defensive rebound by A. Len,,18,12
63,1,5:49.0,Turnover by J. Parker (out of bounds lost ball),,18,12
64,1,5:49.0,K. Huerter enters the game for T. Young,,18,12
65,1,5:36.0,,S. Dinwiddie makes 2-pt jump shot from 16 ft (assist by T. Luwawu-Cabarrot),18,14
66,1,5:21.0,D. Hunter misses 2-pt jump shot from 18 ft,,18,14
67,1,5:21.0,Offensive rebound by Team,,18,14
68,1,5:21.0,,Loose ball foul by T. Prince (drawn by J. Parker),18,14
69,1,5:15.0,K. Huerter misses 2-pt jump shot from 9 ft,,18,14
70,1,5:12.0,,Defensive rebound by J. Harris,18,14
71,1,5:08.0,,J. Harris makes 3-pt jump shot from 27 ft (assist by S. Dinwiddie),18,17
72,1,4:54.0,D. Hunter misses 3-pt jump shot from 25 ft,,18,17
73,1,4:51.0,Offensive rebound by J. Parker,,18,17
74,1,4:48.0,Turnover by J. Parker (bad pass; steal by J. Allen),,18,17
