,QUARTER,TIME_REMAINING,PORTLAND_ACTION,NEW ORLEANS_ACTION,PORTLAND_SCORE,NEW ORLEANS_SCORE
0,1,11:36.0,H. Whiteside makes 2-pt hook shot from 2 ft (assist by C. McCollum),,2,0
1,1,11:26.0,,J. Holiday makes 3-pt jump shot from 26 ft (assist by D. Favors),2,3
2,1,11:11.0,T. Ariza makes 3-pt jump shot from 25 ft (assist by H. Whiteside),,5,3
3,1,11:01.0,,Z. Williamson misses 2-pt layup from 1 ft,5,3
4,1,11:00.0,,Offensive rebound by Z. Williamson,5,3
5,1,10:59.0,,Shooting foul by H. Whiteside (drawn by Z. Williamson),5,3
6,1,10:59.0,,Z. Williamson makes free throw 1 of 2,5,4
7,1,10:59.0,,Z. Williamson makes free throw 2 of 2,5,5
8,1,10:50.0,C. McCollum misses 3-pt jump shot from 26 ft,,5,5
9,1,10:47.0,Offensive rebound by T. Ariza,,5,5
10,1,10:44.0,C. Anthony misses 3-pt jump shot from 26 ft,,5,5
11,1,10:39.0,Offensive rebound by H. Whiteside,,5,5
12,1,10:38.0,H. Whiteside makes 2-pt dunk at rim,,7,5
13,1,10:27.0,,J. Holiday misses 3-pt jump shot from 24 ft,7,5
14,1,10:24.0,Defensive rebound by D. Lillard,,7,5
15,1,10:18.0,Turnover by D. Lillard (bad pass; steal by J. Holiday),,7,5
16,1,10:13.0,,Z. Williamson makes 2-pt dunk from 1 ft (assist by J. Holiday),7,7
17,1,9:58.0,H. Whiteside misses 2-pt jump shot from 13 ft,,7,7
18,1,9:55.0,,Defensive rebound by L. Ball,7,7
19,1,9:39.0,,D. Favors makes 2-pt layup from 2 ft (assist by J. Holiday),7,9
20,1,9:22.0,D. Lillard misses 3-pt jump shot from 26 ft,,7,9
21,1,9:19.0,,Defensive rebound by Z. Williamson,7,9
22,1,9:06.0,,L. Ball misses 2-pt layup from 2 ft,7,9
23,1,9:04.0,Defensive rebound by H. Whiteside,,7,9
24,1,8:58.0,D. Lillard misses 2-pt jump shot from 12 ft (block by J. Holiday),,7,9
25,1,8:56.0,,Defensive rebound by D. Favors,7,9
26,1,8:48.0,,L. Ball makes 3-pt jump shot from 24 ft (assist by J. Hart),7,12
27,1,8:32.0,C. Anthony makes 2-pt jump shot from 11 ft,,9,12
28,1,8:26.0,,J. Hart misses 3-pt jump shot from 25 ft,9,12
29,1,8:23.0,Defensive rebound by T. Ariza,,9,12
