,QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,GOLDEN STATE_ACTION,SACRAMENTO_SCORE,GOLDEN STATE_SCORE
0,1,11:48.0,Turnover by N. Bjelica (traveling),,0,0
1,1,11:33.0,,W. Cauley-Stein makes 2-pt dunk from 2 ft (assist by D. Lee),0,2
2,1,11:13.0,B. Hield makes 2-pt jump shot from 19 ft,,2,2
3,1,10:55.0,,D. Lee misses 3-pt jump shot from 27 ft,2,2
4,1,10:53.0,Defensive rebound by C. Joseph,,2,2
5,1,10:36.0,H. Barnes misses 3-pt jump shot from 23 ft,,2,2
6,1,10:31.0,,Defensive rebound by D. Lee,2,2
7,1,10:26.0,,D. Russell misses 2-pt jump shot from 9 ft,2,2
8,1,10:25.0,,Offensive rebound by D. Lee,2,2
9,1,10:18.0,,G. Robinson misses 3-pt jump shot from 27 ft,2,2
10,1,10:16.0,Defensive rebound by R. Holmes,,2,2
11,1,10:03.0,C. Joseph misses 2-pt jump shot from 15 ft,,2,2
12,1,10:01.0,,Defensive rebound by D. Lee,2,2
13,1,9:54.0,,G. Robinson misses 2-pt layup from 3 ft,2,2
14,1,9:53.0,Defensive rebound by R. Holmes,,2,2
15,1,9:46.0,H. Barnes makes 2-pt dunk from 1 ft (assist by C. Joseph),,4,2
16,1,9:22.0,,Turnover by W. Cauley-Stein (bad pass; steal by N. Bjelica),4,2
17,1,9:11.0,B. Hield misses 3-pt jump shot from 25 ft,,4,2
18,1,9:09.0,,Defensive rebound by W. Cauley-Stein,4,2
19,1,8:58.0,,D. Lee makes 2-pt layup from 3 ft (assist by D. Russell),4,4
20,1,8:43.0,H. Barnes makes 2-pt jump shot from 6 ft (assist by C. Joseph),,6,4
21,1,8:16.0,,D. Green makes 2-pt layup from 9 ft,6,6
22,1,7:50.0,B. Hield makes 2-pt layup from 2 ft (assist by N. Bjelica),,8,6
23,1,7:49.0,,Golden State full timeout,8,6
24,1,7:34.0,,G. Robinson makes 3-pt jump shot from 26 ft (assist by W. Cauley-Stein),8,9
25,1,7:21.0,Turnover by B. Hield (traveling),,8,9
26,1,7:10.0,,D. Lee makes 2-pt layup from 2 ft (assist by W. Cauley-Stein),8,11
27,1,7:05.0,Personal foul by D. Russell (drawn by C. Joseph),,8,11
28,1,6:59.0,Personal foul by D. Green (drawn by H. Barnes),,8,11
29,1,6:47.0,Turnover by C. Joseph (bad pass; steal by W. Cauley-Stein),,8,11
30,1,6:41.0,,D. Russell misses 3-pt jump shot from 28 ft,8,11
31,1,6:39.0,,Offensive rebound by Team,8,11
32,1,6:37.0,,D. Russell misses 2-pt jump shot from 17 ft,8,11
33,1,6:31.0,Defensive rebound by R. Holmes,,8,11
34,1,6:12.0,N. Bjelica makes 2-pt hook shot from 9 ft (assist by B. Hield),,10,11
35,1,5:59.0,,Turnover by D. Lee (bad pass),10,11
36,1,5:59.0,,Loose ball foul by D. Russell (drawn by C. Joseph),10,11
37,1,5:59.0,,A. Burks enters the game for D. Russell,10,11
38,1,5:43.0,Sacramento full timeout,,10,11
39,1,5:43.0,M. Bagley enters the game for N. Bjelica,,10,11
40,1,5:43.0,B. Bogdanović enters the game for R. Holmes,,10,11
41,1,5:38.0,Turnover by C. Joseph (bad pass),,10,11
42,1,5:25.0,,W. Cauley-Stein misses 2-pt layup from 5 ft,10,11
43,1,5:23.0,Defensive rebound by M. Bagley,,10,11
44,1,5:10.0,H. Barnes misses 3-pt jump shot from 24 ft,,10,11
45,1,5:08.0,,Defensive rebound by G. Robinson,10,11
46,1,4:58.0,,D. Lee misses 2-pt jump shot from 20 ft,10,11
47,1,4:56.0,Defensive rebound by Team,,10,11
48,1,4:56.0,T. Ariza enters the game for C. Joseph,,10,11
49,1,4:56.0,,K. Looney enters the game for W. Cauley-Stein,10,11
50,1,4:56.0,,J. Poole enters the game for D. Lee,10,11
51,1,4:35.0,B. Hield makes 2-pt layup from 1 ft (assist by M. Bagley),,12,11
52,1,4:17.0,,A. Burks makes 3-pt jump shot from 26 ft (assist by J. Poole),12,14
53,1,3:55.0,M. Bagley makes 2-pt layup from 4 ft,,14,14
54,1,3:38.0,,Shooting foul by M. Bagley (drawn by A. Burks),14,14
55,1,3:38.0,,A. Burks makes free throw 1 of 3,14,15
