,QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,MINNESOTA_ACTION,GOLDEN STATE_SCORE,MINNESOTA_SCORE
0,1,11:45.0,D. Russell misses 2-pt jump shot from 16 ft,,0,0
1,1,11:41.0,,Defensive rebound by K. Towns,0,0
2,1,11:26.0,,Turnover by T. Graham (step out of bounds),0,0
3,1,11:03.0,J. Poole misses 3-pt jump shot from 28 ft (block by A. Wiggins),,0,0
4,1,11:01.0,,Defensive rebound by R. Covington,0,0
5,1,10:47.0,,K. Towns misses 2-pt jump shot from 20 ft,0,0
6,1,10:46.0,Defensive rebound by W. Cauley-Stein,,0,0
7,1,10:30.0,W. Cauley-Stein misses 2-pt hook shot from 7 ft,,0,0
8,1,10:28.0,,Defensive rebound by J. Culver,0,0
9,1,10:18.0,,K. Towns makes 3-pt jump shot from 25 ft (assist by A. Wiggins),0,3
10,1,10:02.0,W. Cauley-Stein misses 2-pt jump shot from 8 ft,,0,3
11,1,10:00.0,,Defensive rebound by R. Covington,0,3
12,1,9:53.0,,Shooting foul by G. Robinson (drawn by J. Culver),0,3
13,1,9:53.0,,J. Culver misses free throw 1 of 2,0,3
14,1,9:53.0,,Offensive rebound by Team,0,3
15,1,9:53.0,,J. Culver makes free throw 2 of 2,0,4
16,1,9:38.0,Turnover by W. Cauley-Stein (bad pass; steal by R. Covington),,0,4
17,1,9:31.0,,T. Graham makes 2-pt jump shot from 6 ft,0,6
18,1,9:14.0,E. Paschall makes 2-pt jump shot from 10 ft,,2,6
19,1,9:01.0,,A. Wiggins makes 2-pt layup from 1 ft,2,8
20,1,8:52.0,E. Paschall makes 2-pt layup from 1 ft (assist by D. Russell),,4,8
21,1,8:38.0,,K. Towns misses 2-pt hook shot from 6 ft,4,8
22,1,8:35.0,Defensive rebound by W. Cauley-Stein,,4,8
23,1,8:28.0,D. Russell makes 2-pt layup from 4 ft,,6,8
24,1,8:16.0,,Turnover by T. Graham (traveling),6,8
25,1,8:04.0,D. Russell makes 2-pt jump shot from 14 ft,,8,8
26,1,7:45.0,,Turnover by K. Towns (bad pass; steal by G. Robinson),8,8
27,1,7:45.0,O. Spellman enters the game for W. Cauley-Stein,,8,8
28,1,7:40.0,J. Poole misses 2-pt jump shot from 15 ft,,8,8
29,1,7:37.0,,Defensive rebound by R. Covington,8,8
30,1,7:30.0,,A. Wiggins makes 2-pt layup from 2 ft (assist by T. Graham),8,10
31,1,7:30.0,,Shooting foul by E. Paschall (drawn by A. Wiggins),8,10
32,1,7:30.0,D. Lee enters the game for J. Poole,,8,10
33,1,7:30.0,,A. Wiggins makes free throw 1 of 1,8,11
34,1,7:19.0,D. Russell makes 2-pt jump shot from 11 ft (assist by O. Spellman),,10,11
35,1,7:19.0,Shooting foul by T. Graham (drawn by D. Russell),,10,11
36,1,7:19.0,,J. Layman enters the game for J. Culver,10,11
37,1,7:19.0,,J. Okogie enters the game for T. Graham,10,11
38,1,7:19.0,D. Russell makes free throw 1 of 1,,11,11
39,1,7:09.0,,A. Wiggins misses 3-pt jump shot from 25 ft,11,11
40,1,7:05.0,Defensive rebound by E. Paschall,,11,11
41,1,7:00.0,Shooting foul by K. Towns (drawn by O. Spellman),,11,11
42,1,7:00.0,O. Spellman makes free throw 1 of 2,,12,11
43,1,7:00.0,O. Spellman makes free throw 2 of 2,,13,11
44,1,6:47.0,,A. Wiggins makes 2-pt layup from 1 ft,13,13
45,1,6:36.0,D. Russell misses 2-pt jump shot from 10 ft,,13,13
46,1,6:34.0,Offensive rebound by O. Spellman,,13,13
47,1,6:25.0,D. Russell makes 3-pt jump shot from 26 ft (assist by G. Robinson),,16,13
48,1,5:59.0,,Turnover by K. Towns (lost ball; steal by D. Russell),16,13
49,1,5:55.0,E. Paschall misses 2-pt layup from 2 ft (block by K. Towns),,16,13
50,1,5:55.0,Offensive rebound by Team,,16,13
51,1,5:55.0,,Minnesota full timeout,16,13
52,1,5:52.0,D. Lee misses 2-pt layup from 2 ft,,16,13
53,1,5:50.0,,Defensive rebound by J. Layman,16,13
54,1,5:40.0,,K. Towns makes 2-pt layup from 1 ft (assist by A. Wiggins),16,15
55,1,5:32.0,Personal foul by K. Towns (drawn by D. Russell),,16,15
56,1,5:32.0,,N. Vonleh enters the game for K. Towns,16,15
57,1,5:24.0,D. Russell makes 2-pt jump shot from 20 ft,,18,15
58,1,5:11.0,,Turnover by N. Vonleh (bad pass; steal by D. Russell),18,15
59,1,5:04.0,D. Russell misses 3-pt jump shot from 26 ft,,18,15
