,QUARTER,TIME_REMAINING,ORLANDO_ACTION,WASHINGTON_ACTION,ORLANDO_SCORE,WASHINGTON_SCORE
0,1,11:32.0,,Turnover by I. Thomas (bad pass; steal by E. Fournier),0,0
1,1,11:18.0,J. Isaac misses 2-pt layup from 5 ft,,0,0
2,1,11:17.0,Offensive rebound by J. Isaac,,0,0
3,1,11:16.0,J. Isaac makes 2-pt layup from 2 ft,,2,0
4,1,10:53.0,,G. Payton misses 3-pt jump shot from 23 ft,2,0
5,1,10:53.0,Defensive rebound by M. Fultz,,2,0
6,1,10:45.0,M. Fultz misses 2-pt jump shot from 3 ft,,2,0
7,1,10:43.0,,Defensive rebound by I. Mahinmi,2,0
8,1,10:33.0,,J. Williams makes 2-pt dunk at rim (assist by B. Beal),2,2
9,1,10:08.0,E. Fournier misses 3-pt jump shot from 27 ft,,2,2
10,1,10:05.0,,Defensive rebound by J. Williams,2,2
11,1,9:58.0,,Turnover by B. Beal (lost ball; steal by J. Isaac),2,2
12,1,9:57.0,Personal foul by B. Beal (drawn by J. Isaac),,2,2
13,1,9:57.0,Orlando full timeout,,2,2
14,1,9:57.0,A. Jefferson enters the game for J. Isaac,,2,2
15,1,9:50.0,N. Vučević misses 2-pt layup from 4 ft (block by J. Williams),,2,2
16,1,9:49.0,,Defensive rebound by G. Payton,2,2
17,1,9:41.0,,G. Payton makes 2-pt hook shot from 2 ft (assist by B. Beal),2,4
18,1,9:28.0,N. Vučević makes 3-pt jump shot from 28 ft (assist by M. Fultz),,5,4
19,1,9:18.0,,I. Thomas misses 2-pt jump shot from 13 ft,5,4
20,1,9:14.0,,Offensive rebound by J. Williams,5,4
21,1,9:13.0,,B. Beal makes 3-pt jump shot from 28 ft (assist by J. Williams),5,7
22,1,8:57.0,E. Fournier makes 3-pt jump shot from 27 ft (assist by A. Jefferson),,8,7
23,1,8:43.0,,B. Beal misses 2-pt jump shot from 21 ft,8,7
24,1,8:41.0,Defensive rebound by W. Iwundu,,8,7
25,1,8:36.0,W. Iwundu makes 2-pt dunk from 3 ft,,10,7
26,1,8:22.0,,B. Beal makes 2-pt jump shot from 7 ft,10,9
27,1,8:10.0,M. Fultz misses 2-pt jump shot from 17 ft,,10,9
28,1,8:07.0,,Defensive rebound by J. Williams,10,9
29,1,8:00.0,,B. Beal misses 2-pt jump shot from 19 ft,10,9
30,1,7:59.0,,Offensive rebound by Team,10,9
31,1,7:59.0,Loose ball foul by M. Fultz (drawn by J. Williams),,10,9
32,1,7:53.0,,I. Thomas makes 2-pt jump shot from 18 ft,10,11
33,1,7:35.0,N. Vučević misses 2-pt hook shot from 8 ft,,10,11
34,1,7:33.0,,Defensive rebound by J. Williams,10,11
35,1,7:19.0,,B. Beal misses 3-pt jump shot from 26 ft,10,11
36,1,7:18.0,Defensive rebound by Team,,10,11
37,1,7:18.0,,Loose ball foul by I. Mahinmi (drawn by N. Vučević),10,11
38,1,6:58.0,N. Vučević misses 2-pt layup from 3 ft,,10,11
39,1,6:56.0,Offensive rebound by N. Vučević,,10,11
40,1,6:55.0,N. Vučević makes 2-pt layup from 2 ft,,12,11
41,1,6:44.0,,Turnover by I. Thomas (lost ball; steal by M. Fultz),12,11
42,1,6:40.0,E. Fournier makes 2-pt layup from 2 ft (assist by M. Fultz),,14,11
43,1,6:31.0,,G. Payton misses 2-pt layup from 1 ft,14,11
44,1,6:31.0,Defensive rebound by Team,,14,11
45,1,6:12.0,M. Fultz misses 3-pt jump shot from 26 ft,,14,11
46,1,6:10.0,Offensive rebound by Team,,14,11
47,1,6:10.0,Personal foul by G. Payton (drawn by E. Fournier),,14,11
48,1,6:03.0,E. Fournier misses 2-pt layup from 6 ft (block by I. Mahinmi),,14,11
49,1,6:00.0,,Defensive rebound by J. Williams,14,11
50,1,5:55.0,,I. Thomas misses 3-pt jump shot from 24 ft,14,11
51,1,5:52.0,Defensive rebound by M. Fultz,,14,11
52,1,5:46.0,E. Fournier makes 3-pt jump shot from 27 ft (assist by M. Fultz),,17,11
53,1,5:44.0,,Washington full timeout,17,11
54,1,5:44.0,M. Frazier enters the game for E. Fournier,,17,11
55,1,5:44.0,T. Ross enters the game for W. Iwundu,,17,11
56,1,5:44.0,,T. Brown enters the game for G. Payton,17,11
57,1,5:24.0,,T. Brown misses 2-pt hook shot from 10 ft (block by A. Jefferson),17,11
58,1,5:21.0,,Offensive rebound by T. Brown,17,11
59,1,5:21.0,,T. Brown misses 2-pt jump shot from 11 ft,17,11
60,1,5:18.0,Defensive rebound by A. Jefferson,,17,11
61,1,5:12.0,N. Vučević makes 3-pt jump shot from 25 ft (assist by M. Fultz),,20,11
62,1,5:00.0,,Turnover by B. Beal (bad pass; steal by M. Frazier),20,11
63,1,4:55.0,A. Jefferson misses 2-pt layup from 2 ft (block by I. Mahinmi),,20,11
64,1,4:52.0,,Defensive rebound by I. Mahinmi,20,11
65,1,4:45.0,,Personal foul by M. Fultz (drawn by I. Thomas),20,11
66,1,4:45.0,,I. Thomas makes free throw 1 of 2,20,12
67,1,4:45.0,D. Augustin enters the game for M. Fultz,,20,12
68,1,4:45.0,,J. McRae enters the game for I. Mahinmi,20,12
69,1,4:45.0,,A. Pasečņiks enters the game for J. Williams,20,12
70,1,4:45.0,,I. Thomas makes free throw 2 of 2,20,13
71,1,4:26.0,N. Vučević makes 2-pt hook shot from 14 ft,,22,13
72,1,4:13.0,,I. Thomas makes 2-pt layup from 1 ft,22,15
73,1,4:00.0,Turnover by D. Augustin (lost ball; steal by I. Thomas),,22,15
74,1,3:57.0,,Shooting foul by M. Frazier (drawn by T. Brown),22,15
75,1,3:57.0,,T. Brown makes free throw 1 of 2,22,16
76,1,3:57.0,M. Bamba enters the game for A. Jefferson,,22,16
77,1,3:57.0,K. Birch enters the game for N. Vučević,,22,16
78,1,3:57.0,,G. Mathews enters the game for B. Beal,22,16
79,1,3:57.0,,I. Smith enters the game for I. Thomas,22,16
80,1,3:57.0,,T. Brown makes free throw 2 of 2,22,17
81,1,3:39.0,T. Ross makes 3-pt jump shot from 28 ft,,25,17
82,1,3:21.0,,G. Mathews makes 2-pt jump shot from 20 ft (assist by A. Pasečņiks),25,19
83,1,3:07.0,D. Augustin misses 2-pt jump shot from 11 ft,,25,19
84,1,3:05.0,Offensive rebound by K. Birch,,25,19
85,1,3:04.0,T. Ross misses 3-pt jump shot from 28 ft,,25,19
86,1,3:00.0,,Defensive rebound by A. Pasečņiks,25,19
87,1,2:53.0,,Turnover by T. Brown (lost ball; steal by D. Augustin),25,19
88,1,2:45.0,T. Ross misses 2-pt jump shot from 15 ft,,25,19
89,1,2:43.0,,Defensive rebound by A. Pasečņiks,25,19
