,QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,MINNESOTA_ACTION,GOLDEN STATE_SCORE,MINNESOTA_SCORE
0,1,11:42.0,,K. Martin misses 3-pt jump shot from 22 ft,0,0
1,1,11:39.0,Defensive rebound by A. Burks,,0,0
2,1,11:22.0,A. Burks makes 2-pt layup from 2 ft (assist by M. Chriss),,2,0
3,1,11:07.0,,J. Culver misses 2-pt layup from 4 ft,2,0
4,1,11:06.0,Defensive rebound by Team,,2,0
5,1,11:06.0,,Loose ball foul by J. Culver (drawn by M. Chriss),2,0
6,1,11:06.0,O. Spellman enters the game for M. Chriss,,2,0
7,1,10:44.0,D. Lee misses 2-pt layup from 3 ft (block by G. Dieng),,2,0
8,1,10:42.0,,Defensive rebound by K. Martin,2,0
9,1,10:34.0,,S. Napier makes 3-pt jump shot from 27 ft (assist by G. Dieng),2,3
10,1,10:27.0,O. Spellman makes 2-pt dunk from 1 ft (assist by D. Green),,4,3
11,1,10:11.0,,G. Dieng misses 2-pt jump shot from 16 ft,4,3
12,1,10:09.0,Defensive rebound by G. Robinson,,4,3
13,1,9:59.0,D. Green makes 2-pt jump shot from 22 ft (assist by G. Robinson),,6,3
14,1,9:36.0,,S. Napier makes 2-pt layup at rim,6,5
15,1,9:31.0,A. Burks misses 2-pt layup from 2 ft,,6,5
16,1,9:29.0,Offensive rebound by D. Lee,,6,5
17,1,9:29.0,D. Lee makes 2-pt layup from 1 ft,,8,5
18,1,9:18.0,,R. Covington makes 2-pt jump shot from 22 ft (assist by S. Napier),8,7
19,1,9:18.0,,Instant Replay (Request: Ruling Stands),8,7
20,1,9:03.0,G. Robinson misses 2-pt jump shot from 16 ft,,8,7
21,1,9:03.0,,Defensive rebound by J. Culver,8,7
22,1,8:45.0,,R. Covington misses 3-pt jump shot from 26 ft,8,7
23,1,8:44.0,,Offensive rebound by J. Culver,8,7
24,1,8:43.0,,Turnover by J. Culver (bad pass; steal by A. Burks),8,7
25,1,8:35.0,G. Robinson makes 2-pt jump shot from 7 ft (assist by A. Burks),,10,7
26,1,8:19.0,,G. Dieng makes 2-pt layup from 1 ft (assist by S. Napier),10,9
27,1,7:57.0,O. Spellman misses 3-pt jump shot from 25 ft,,10,9
28,1,7:55.0,,Defensive rebound by R. Covington,10,9
29,1,7:43.0,,G. Dieng misses 2-pt hook shot from 7 ft,10,9
30,1,7:40.0,Defensive rebound by D. Green,,10,9
31,1,7:33.0,Turnover by D. Lee (lost ball; steal by S. Napier),,10,9
32,1,7:30.0,,K. Martin makes 2-pt layup from 2 ft (assist by G. Dieng),10,11
33,1,7:12.0,A. Burks makes 3-pt jump shot from 25 ft (assist by D. Green),,13,11
