,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,PORTLAND_ACTION,MILWAUKEE_SCORE,PORTLAND_SCORE
0,1,11:40.0,Personal foul by A. Tolliver (drawn by G. Antetokounmpo),,0,0
1,1,11:35.0,G. Antetokounmpo makes 2-pt jump shot from 16 ft (assist by E. Bledsoe),,2,0
2,1,11:15.0,,A. Tolliver makes 3-pt jump shot from 27 ft (assist by C. McCollum),2,3
3,1,11:02.0,E. Bledsoe misses 2-pt jump shot from 3 ft,,2,3
4,1,11:01.0,,Defensive rebound by C. Anthony,2,3
5,1,10:51.0,,A. Tolliver misses 2-pt layup from 1 ft,2,3
6,1,10:49.0,Defensive rebound by G. Antetokounmpo,,2,3
7,1,10:41.0,E. Bledsoe misses 2-pt jump shot from 6 ft,,2,3
8,1,10:41.0,,Defensive rebound by Team,2,3
9,1,10:41.0,Loose ball foul by G. Antetokounmpo (drawn by D. Lillard),,2,3
10,1,10:27.0,,C. Anthony misses 3-pt jump shot from 25 ft,2,3
11,1,10:24.0,Defensive rebound by G. Antetokounmpo,,2,3
12,1,10:20.0,G. Antetokounmpo misses 2-pt layup from 2 ft (block by K. Bazemore),,2,3
13,1,10:19.0,Offensive rebound by Team,,2,3
14,1,10:14.0,Personal foul by K. Bazemore (drawn by W. Matthews),,2,3
15,1,10:08.0,G. Antetokounmpo misses 2-pt layup from 1 ft,,2,3
16,1,10:07.0,,Defensive rebound by C. Anthony,2,3
17,1,9:57.0,,D. Lillard misses 2-pt jump shot from 18 ft,2,3
18,1,9:55.0,Defensive rebound by G. Antetokounmpo,,2,3
19,1,9:50.0,W. Matthews misses 3-pt jump shot from 25 ft,,2,3
20,1,9:47.0,,Defensive rebound by A. Tolliver,2,3
21,1,9:40.0,,D. Lillard makes 3-pt jump shot from 32 ft,2,6
22,1,9:31.0,Turnover by E. Bledsoe (lost ball; steal by K. Bazemore),,2,6
23,1,9:23.0,,Turnover by D. Lillard (bad pass; steal by B. Lopez),2,6
24,1,9:21.0,Shooting foul by C. Anthony (drawn by G. Antetokounmpo),,2,6
25,1,9:21.0,Instant Replay (Request: Ruling Stands),,2,6
26,1,9:21.0,G. Antetokounmpo makes free throw 1 of 2,,3,6
27,1,9:21.0,G. Antetokounmpo makes free throw 2 of 2,,4,6
28,1,9:11.0,,Turnover by C. Anthony (traveling),4,6
29,1,9:01.0,G. Antetokounmpo makes 2-pt dunk from 1 ft (assist by E. Bledsoe),,6,6
30,1,8:38.0,,D. Lillard makes 3-pt jump shot from 26 ft,6,9
31,1,8:33.0,Shooting foul by K. Bazemore (drawn by E. Bledsoe),,6,9
32,1,8:33.0,E. Bledsoe makes free throw 1 of 2,,7,9
33,1,8:33.0,,N. Little enters the game for K. Bazemore,7,9
34,1,8:33.0,E. Bledsoe misses free throw 2 of 2,,7,9
35,1,8:31.0,,Defensive rebound by N. Little,7,9
36,1,8:20.0,,C. Anthony misses 2-pt jump shot from 18 ft,7,9
37,1,8:17.0,Defensive rebound by G. Antetokounmpo,,7,9
38,1,8:14.0,G. Antetokounmpo makes 2-pt layup from 1 ft,,9,9
39,1,8:14.0,Shooting foul by C. McCollum (drawn by G. Antetokounmpo),,9,9
40,1,8:14.0,G. Antetokounmpo misses free throw 1 of 1,,9,9
41,1,8:13.0,,Defensive rebound by C. Anthony,9,9
42,1,8:07.0,,C. McCollum misses 3-pt jump shot from 30 ft,9,9
43,1,8:03.0,Defensive rebound by W. Matthews,,9,9
44,1,7:58.0,B. Lopez misses 3-pt jump shot from 24 ft,,9,9
45,1,7:55.0,,Defensive rebound by N. Little,9,9
46,1,7:49.0,,D. Lillard makes 2-pt jump shot from 19 ft,9,11
47,1,7:36.0,K. Middleton makes 2-pt jump shot from 17 ft,,11,11
48,1,7:28.0,Violation by Team (kicked ball),,11,11
49,1,7:23.0,,D. Lillard misses 3-pt jump shot from 23 ft,11,11
50,1,7:20.0,Defensive rebound by K. Middleton,,11,11
51,1,7:14.0,K. Middleton misses 2-pt jump shot from 3 ft,,11,11
52,1,7:12.0,,Defensive rebound by A. Tolliver,11,11
53,1,7:06.0,,C. Anthony makes 3-pt jump shot from 25 ft (assist by C. McCollum),11,14
54,1,7:06.0,Milwaukee full timeout,,11,14
55,1,6:59.0,K. Middleton makes 3-pt jump shot from 25 ft (assist by G. Antetokounmpo),,14,14
56,1,6:35.0,,D. Lillard misses 2-pt layup from 1 ft,14,14
57,1,6:34.0,Defensive rebound by B. Lopez,,14,14
58,1,6:29.0,W. Matthews misses 3-pt jump shot from 23 ft,,14,14
59,1,6:26.0,Offensive rebound by G. Antetokounmpo,,14,14
60,1,6:25.0,G. Antetokounmpo makes 2-pt layup at rim,,16,14
61,1,6:13.0,,A. Tolliver misses 3-pt jump shot from 29 ft,16,14
62,1,6:10.0,Defensive rebound by G. Antetokounmpo,,16,14
63,1,6:03.0,K. Middleton makes 3-pt jump shot from 25 ft (assist by G. Antetokounmpo),,19,14
64,1,5:47.0,,N. Little misses 3-pt jump shot from 24 ft,19,14
65,1,5:45.0,Defensive rebound by G. Antetokounmpo,,19,14
66,1,5:39.0,G. Antetokounmpo makes 3-pt jump shot from 26 ft,,22,14
67,1,5:39.0,,Portland full timeout,22,14
68,1,5:39.0,D. DiVincenzo enters the game for G. Antetokounmpo,,22,14
69,1,5:39.0,E. İlyasova enters the game for W. Matthews,,22,14
70,1,5:25.0,,C. McCollum misses 3-pt jump shot from 25 ft,22,14
71,1,5:23.0,Defensive rebound by K. Middleton,,22,14
72,1,5:07.0,B. Lopez misses 2-pt hook shot from 3 ft,,22,14
73,1,5:06.0,,Defensive rebound by A. Tolliver,22,14
