,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,NEW YORK_ACTION,PHILADELPHIA_SCORE,NEW YORK_SCORE
0,1,11:46.0,B. Simmons makes 2-pt hook shot from 6 ft,,2,0
1,1,11:31.0,,M. Morris makes 3-pt jump shot from 25 ft (assist by F. Ntilikina),2,3
2,1,11:21.0,B. Simmons misses 2-pt layup from 2 ft,,2,3
3,1,11:19.0,,Defensive rebound by J. Randle,2,3
4,1,11:14.0,,F. Ntilikina makes 3-pt jump shot from 24 ft (assist by J. Randle),2,6
5,1,11:11.0,Philadelphia full timeout,,2,6
6,1,11:00.0,Personal foul by M. Morris (drawn by J. Embiid),,2,6
7,1,10:50.0,,New York full timeout,2,6
8,1,10:50.0,,Instant Replay (Challenge: Ruling Stands),2,6
9,1,10:47.0,J. Embiid misses 2-pt jump shot from 11 ft,,2,6
10,1,10:44.0,,Defensive rebound by M. Morris,2,6
11,1,10:32.0,,Shooting foul by F. Korkmaz (drawn by J. Randle),2,6
12,1,10:32.0,,J. Randle misses free throw 1 of 2,2,6
13,1,10:32.0,,Offensive rebound by Team,2,6
14,1,10:32.0,,J. Randle makes free throw 2 of 2,2,7
15,1,10:13.0,J. Embiid misses 2-pt jump shot from 14 ft,,2,7
16,1,10:11.0,,Defensive rebound by J. Randle,2,7
17,1,10:03.0,,T. Gibson misses 2-pt jump shot from 18 ft,2,7
18,1,10:01.0,Defensive rebound by J. Embiid,,2,7
19,1,9:54.0,J. Embiid misses 3-pt jump shot from 27 ft,,2,7
20,1,9:51.0,,Defensive rebound by Team,2,7
21,1,9:32.0,,M. Morris makes 3-pt jump shot from 23 ft,2,10
22,1,9:26.0,Personal foul by F. Ntilikina (drawn by B. Simmons),,2,10
23,1,9:19.0,F. Korkmaz makes 2-pt dunk from 1 ft (assist by B. Simmons),,4,10
24,1,9:04.0,,R. Barrett makes 3-pt jump shot from 25 ft (assist by J. Randle),4,13
25,1,8:40.0,M. Thybulle misses 3-pt jump shot from 26 ft,,4,13
26,1,8:38.0,Offensive rebound by J. Embiid,,4,13
27,1,8:36.0,T. Harris misses 3-pt jump shot from 24 ft,,4,13
28,1,8:34.0,,Defensive rebound by F. Ntilikina,4,13
29,1,8:18.0,,R. Barrett misses 3-pt jump shot from 23 ft,4,13
30,1,8:16.0,Defensive rebound by F. Korkmaz,,4,13
31,1,8:08.0,Turnover by F. Korkmaz (bad pass; steal by T. Gibson),,4,13
32,1,8:01.0,,T. Gibson makes 2-pt dunk from 1 ft (assist by R. Barrett),4,15
33,1,7:29.0,J. Embiid makes 2-pt jump shot from 19 ft (assist by B. Simmons),,6,15
