,QUARTER,TIME_REMAINING,LA LAKERS_ACTION,ATLANTA_ACTION,LA LAKERS_SCORE,ATLANTA_SCORE
0,1,11:41.0,Shooting foul by J. Parker (drawn by A. Davis),,0,0
1,1,11:41.0,A. Davis misses free throw 1 of 2,,0,0
2,1,11:41.0,Offensive rebound by Team,,0,0
3,1,11:41.0,A. Davis makes free throw 2 of 2,,1,0
4,1,11:26.0,,T. Young makes 3-pt jump shot from 27 ft,1,3
5,1,11:20.0,K. Caldwell-Pope misses 2-pt layup from 2 ft (block by K. Huerter),,1,3
6,1,11:19.0,,Defensive rebound by D. Hunter,1,3
7,1,11:04.0,,T. Young makes 2-pt jump shot from 16 ft,1,5
8,1,10:50.0,Turnover by K. Caldwell-Pope (lost ball; steal by K. Huerter),,1,5
9,1,10:44.0,,K. Huerter misses 2-pt layup from 2 ft,1,5
10,1,10:41.0,Defensive rebound by K. Caldwell-Pope,,1,5
11,1,10:29.0,Shooting foul by D. Hunter (drawn by D. Green),,1,5
12,1,10:29.0,D. Green makes free throw 1 of 2,,2,5
13,1,10:29.0,D. Green makes free throw 2 of 2,,3,5
14,1,10:11.0,,T. Young misses 3-pt jump shot from 26 ft,3,5
15,1,10:11.0,Defensive rebound by Team,,3,5
16,1,10:11.0,,Loose ball foul by D. Jones (drawn by J. McGee),3,5
17,1,10:00.0,D. Green misses 2-pt jump shot from 11 ft,,3,5
18,1,9:57.0,,Defensive rebound by J. Parker,3,5
19,1,9:52.0,,J. Parker makes 2-pt jump shot from 12 ft,3,7
20,1,9:37.0,D. Green misses 3-pt jump shot from 23 ft,,3,7
21,1,9:34.0,,Defensive rebound by K. Huerter,3,7
22,1,9:22.0,,J. Parker misses 3-pt jump shot from 26 ft,3,7
23,1,9:21.0,,Offensive rebound by Team,3,7
24,1,9:21.0,Loose ball foul by J. McGee (drawn by D. Jones),,3,7
25,1,9:14.0,,Turnover by T. Young (bad pass; steal by A. Davis),3,7
26,1,9:13.0,Turnover by A. Davis (bad pass),,3,7
27,1,8:54.0,,K. Huerter misses 3-pt jump shot from 26 ft (block by A. Davis),3,7
28,1,8:50.0,,Offensive rebound by D. Hunter,3,7
29,1,8:46.0,,K. Huerter misses 2-pt jump shot from 17 ft,3,7
30,1,8:43.0,Defensive rebound by A. Davis,,3,7
31,1,8:39.0,L. James makes 2-pt layup from 1 ft (assist by A. Davis),,5,7
32,1,8:29.0,,Turnover by T. Young (bad pass; steal by J. McGee),5,7
33,1,8:24.0,L. James makes 2-pt dunk from 1 ft (assist by K. Caldwell-Pope),,7,7
34,1,8:07.0,,D. Hunter misses 3-pt jump shot from 26 ft,7,7
35,1,8:04.0,Defensive rebound by J. McGee,,7,7
36,1,7:50.0,K. Caldwell-Pope misses 2-pt layup from 3 ft (block by D. Jones),,7,7
37,1,7:49.0,Offensive rebound by J. McGee,,7,7
38,1,7:49.0,Turnover by J. McGee (traveling),,7,7
39,1,7:42.0,,D. Hunter misses 2-pt layup from 2 ft (block by L. James),7,7
40,1,7:39.0,Defensive rebound by D. Green,,7,7
41,1,7:36.0,K. Caldwell-Pope misses 3-pt jump shot from 23 ft,,7,7
42,1,7:33.0,,Defensive rebound by T. Young,7,7
43,1,7:30.0,,Personal foul by K. Caldwell-Pope (drawn by T. Young),7,7
