,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,CLEVELAND_ACTION,PHILADELPHIA_SCORE,CLEVELAND_SCORE
0,1,11:42.0,J. Embiid misses 2-pt jump shot from 12 ft,,0,0
1,1,11:40.0,,Defensive rebound by K. Love,0,0
2,1,11:26.0,,C. Osman makes 2-pt layup from 1 ft (assist by T. Thompson),0,2
3,1,11:12.0,J. Richardson makes 3-pt jump shot from 28 ft (assist by B. Simmons),,3,2
4,1,10:49.0,,Personal foul by B. Simmons (drawn by T. Thompson),3,2
5,1,10:48.0,,Offensive foul by D. Garland (drawn by T. Harris),3,2
6,1,10:48.0,,Turnover by D. Garland (offensive foul),3,2
7,1,10:37.0,J. Embiid makes 2-pt layup from 1 ft (assist by T. Harris),,5,2
8,1,10:15.0,,C. Osman misses 2-pt layup from 1 ft,5,2
9,1,10:13.0,Defensive rebound by A. Horford,,5,2
10,1,10:07.0,T. Harris makes 2-pt jump shot from 4 ft (assist by B. Simmons),,7,2
11,1,9:51.0,,K. Love misses 2-pt layup from 1 ft,7,2
12,1,9:45.0,,Offensive rebound by T. Thompson,7,2
13,1,9:45.0,,T. Thompson makes 2-pt dunk at rim,7,4
14,1,9:27.0,A. Horford misses 3-pt jump shot from 23 ft,,7,4
15,1,9:25.0,,Defensive rebound by C. Osman,7,4
16,1,9:11.0,,D. Garland makes 2-pt jump shot from 11 ft,7,6
17,1,9:11.0,,Shooting foul by J. Richardson (drawn by D. Garland),7,6
18,1,9:11.0,,D. Garland makes free throw 1 of 1,7,7
19,1,9:02.0,B. Simmons makes 2-pt jump shot from 7 ft,,9,7
20,1,8:50.0,,T. Thompson makes 2-pt dunk from 2 ft (assist by D. Garland),9,9
21,1,8:34.0,T. Harris misses 3-pt jump shot from 25 ft,,9,9
22,1,8:31.0,,Defensive rebound by K. Love,9,9
23,1,8:24.0,,C. Sexton makes 2-pt jump shot from 6 ft,9,11
24,1,8:09.0,J. Richardson misses 2-pt hook shot from 5 ft,,9,11
25,1,8:07.0,,Defensive rebound by T. Thompson,9,11
26,1,8:00.0,,D. Garland makes 3-pt jump shot from 26 ft,9,14
27,1,7:40.0,B. Simmons makes 2-pt jump shot from 5 ft,,11,14
28,1,7:30.0,,D. Garland misses 2-pt layup from 2 ft,11,14
29,1,7:28.0,Defensive rebound by A. Horford,,11,14
30,1,7:17.0,J. Embiid makes 2-pt layup from 1 ft (assist by T. Harris),,13,14
31,1,7:01.0,,C. Sexton misses 2-pt jump shot from 10 ft,13,14
32,1,6:59.0,Defensive rebound by Team,,13,14
33,1,6:59.0,,Cleveland full timeout,13,14
34,1,6:59.0,J. Ennis enters the game for J. Embiid,,13,14
35,1,6:59.0,F. Korkmaz enters the game for J. Richardson,,13,14
36,1,6:59.0,,K. Porter enters the game for C. Osman,13,14
37,1,6:45.0,F. Korkmaz misses 3-pt jump shot from 25 ft,,13,14
38,1,6:42.0,,Defensive rebound by K. Love,13,14
39,1,6:34.0,,C. Sexton misses 2-pt jump shot from 1 ft (block by T. Harris),13,14
40,1,6:30.0,,Offensive rebound by T. Thompson,13,14
41,1,6:28.0,,T. Thompson misses 2-pt hook shot from 5 ft,13,14
42,1,6:26.0,Defensive rebound by T. Harris,,13,14
43,1,6:24.0,J. Ennis makes 3-pt jump shot from 24 ft (assist by B. Simmons),,16,14
44,1,5:54.0,,D. Garland misses 2-pt jump shot from 20 ft,16,14
45,1,5:53.0,Defensive rebound by A. Horford,,16,14
46,1,5:46.0,Turnover by A. Horford (bad pass; steal by C. Sexton),,16,14
47,1,5:36.0,,C. Sexton makes 2-pt layup from 2 ft,16,16
48,1,5:30.0,Turnover by J. Ennis (out of bounds lost ball),,16,16
49,1,5:30.0,,M. Dellavedova enters the game for D. Garland,16,16
50,1,5:30.0,,A. Žižić enters the game for T. Thompson,16,16
51,1,5:14.0,,K. Love misses 3-pt jump shot from 23 ft,16,16
52,1,5:12.0,Defensive rebound by F. Korkmaz,,16,16
53,1,5:05.0,J. Ennis misses 3-pt jump shot from 24 ft,,16,16
54,1,5:01.0,,Defensive rebound by M. Dellavedova,16,16
55,1,4:56.0,,Shooting foul by F. Korkmaz (drawn by K. Love),16,16
56,1,4:56.0,,Cleveland full timeout,16,16
57,1,4:56.0,,K. Love makes free throw 1 of 2,16,17
58,1,4:56.0,,K. Love makes free throw 2 of 2,16,18
59,1,4:41.0,J. Ennis makes 3-pt jump shot from 23 ft (assist by A. Horford),,19,18
60,1,4:22.0,,Turnover by M. Dellavedova (traveling),19,18
61,1,4:22.0,,J. Clarkson enters the game for C. Sexton,19,18
62,1,4:09.0,B. Simmons makes 2-pt hook shot from 4 ft (assist by A. Horford),,21,18
63,1,3:57.0,,M. Dellavedova misses 2-pt jump shot from 11 ft (block by J. Ennis),21,18
64,1,3:53.0,Defensive rebound by B. Simmons,,21,18
65,1,3:52.0,J. Ennis makes 2-pt layup at rim (assist by B. Simmons),,23,18
66,1,3:39.0,,A. Žižić misses 2-pt jump shot from 3 ft (block by F. Korkmaz),23,18
67,1,3:35.0,Defensive rebound by T. Harris,,23,18
68,1,3:35.0,Personal foul by M. Dellavedova (drawn by F. Korkmaz),,23,18
69,1,3:35.0,M. Scott enters the game for T. Harris,,23,18
70,1,3:31.0,Personal foul by K. Porter (drawn by B. Simmons),,23,18
71,1,3:31.0,,C. Osman enters the game for K. Love,23,18
72,1,3:31.0,,T. Thompson enters the game for A. Žižić,23,18
73,1,3:24.0,A. Horford makes 2-pt jump shot from 18 ft (assist by B. Simmons),,25,18
74,1,3:07.0,,M. Dellavedova misses 2-pt jump shot from 9 ft,25,18
75,1,3:06.0,Defensive rebound by J. Ennis,,25,18
76,1,2:54.0,F. Korkmaz makes 2-pt jump shot from 9 ft (assist by A. Horford),,27,18
77,1,2:28.0,,Turnover by Team (shot clock),27,18
78,1,2:28.0,Philadelphia full timeout,,27,18
79,1,2:28.0,T. Burke enters the game for J. Ennis,,27,18
80,1,2:28.0,J. Embiid enters the game for A. Horford,,27,18
81,1,2:28.0,J. Richardson enters the game for B. Simmons,,27,18
82,1,2:11.0,Personal foul by K. Porter (drawn by T. Burke),,27,18
83,1,2:11.0,,A. McKinnie enters the game for K. Porter,27,18
84,1,2:02.0,J. Richardson misses 2-pt jump shot from 8 ft (block by T. Thompson),,27,18
85,1,1:59.0,,Defensive rebound by M. Dellavedova,27,18
86,1,1:58.0,,Shooting foul by F. Korkmaz (drawn by A. McKinnie),27,18
87,1,1:58.0,,A. McKinnie makes free throw 1 of 2,27,19
88,1,1:58.0,,A. McKinnie makes free throw 2 of 2,27,20
89,1,1:48.0,J. Embiid makes 2-pt hook shot from 6 ft (assist by T. Burke),,29,20
90,1,1:31.0,,C. Osman misses 3-pt jump shot from 26 ft,29,20
91,1,1:29.0,Defensive rebound by M. Scott,,29,20
92,1,1:20.0,T. Burke makes 2-pt jump shot from 16 ft (assist by J. Embiid),,31,20
93,1,0:59.0,,Turnover by M. Dellavedova (bad pass),31,20
