,QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,SAN ANTONIO_ACTION,SACRAMENTO_SCORE,SAN ANTONIO_SCORE
0,1,11:46.0,B. Hield misses 3-pt jump shot from 26 ft,,0,0
1,1,11:43.0,,Defensive rebound by D. DeRozan,0,0
2,1,11:34.0,,D. DeRozan makes 2-pt jump shot from 7 ft,0,2
3,1,11:19.0,H. Barnes misses 2-pt jump shot from 12 ft,,0,2
4,1,11:17.0,,Defensive rebound by B. Forbes,0,2
5,1,11:06.0,,L. Aldridge misses 2-pt jump shot from 19 ft,0,2
6,1,11:02.0,Defensive rebound by N. Bjelica,,0,2
7,1,10:56.0,C. Joseph makes 2-pt jump shot from 20 ft,,2,2
8,1,10:31.0,,B. Forbes misses 3-pt jump shot from 26 ft,2,2
9,1,10:31.0,Defensive rebound by R. Holmes,,2,2
10,1,10:21.0,C. Joseph misses 2-pt jump shot from 8 ft,,2,2
11,1,10:20.0,Offensive rebound by R. Holmes,,2,2
12,1,10:20.0,R. Holmes makes 2-pt dunk at rim,,4,2
13,1,10:01.0,,D. White misses 3-pt jump shot from 25 ft,4,2
14,1,10:01.0,Defensive rebound by B. Hield,,4,2
15,1,9:42.0,N. Bjelica misses 3-pt jump shot from 27 ft,,4,2
16,1,9:39.0,,Defensive rebound by L. Aldridge,4,2
17,1,9:25.0,,Offensive foul by L. Aldridge (drawn by B. Hield),4,2
18,1,9:25.0,,Turnover by L. Aldridge (offensive foul),4,2
19,1,9:13.0,R. Holmes makes 2-pt jump shot from 12 ft (assist by C. Joseph),,6,2
20,1,8:51.0,,R. Gay makes 2-pt jump shot from 9 ft,6,4
21,1,8:40.0,B. Hield misses 3-pt jump shot from 26 ft,,6,4
22,1,8:34.0,,Defensive rebound by R. Gay,6,4
23,1,8:29.0,,R. Gay makes 2-pt jump shot from 7 ft,6,6
24,1,8:06.0,B. Hield misses 3-pt jump shot from 26 ft,,6,6
25,1,8:01.0,,Defensive rebound by L. Aldridge,6,6
26,1,7:55.0,,Personal foul by N. Bjelica (drawn by L. Aldridge),6,6
27,1,7:39.0,,R. Gay misses 2-pt dunk from 1 ft (block by R. Holmes),6,6
28,1,7:35.0,Defensive rebound by B. Hield,,6,6
29,1,7:31.0,Turnover by N. Bjelica (bad pass; steal by D. DeRozan),,6,6
30,1,7:22.0,,R. Gay makes 3-pt jump shot from 25 ft (assist by B. Forbes),6,9
31,1,7:07.0,H. Barnes makes 2-pt hook shot from 7 ft,,8,9
32,1,6:57.0,,D. DeRozan misses 2-pt jump shot from 14 ft,8,9
33,1,6:53.0,Defensive rebound by R. Holmes,,8,9
34,1,6:44.0,N. Bjelica misses 3-pt jump shot from 23 ft,,8,9
35,1,6:41.0,,Defensive rebound by D. DeRozan,8,9
36,1,6:33.0,,B. Forbes misses 3-pt jump shot from 26 ft,8,9
37,1,6:29.0,Defensive rebound by R. Holmes,,8,9
38,1,6:16.0,B. Hield misses 3-pt jump shot from 23 ft,,8,9
39,1,6:13.0,,Defensive rebound by B. Forbes,8,9
40,1,6:10.0,,Personal foul by N. Bjelica (drawn by L. Aldridge),8,9
41,1,6:10.0,,San Antonio full timeout,8,9
42,1,6:10.0,B. Bogdanović enters the game for H. Barnes,,8,9
43,1,6:10.0,,P. Mills enters the game for B. Forbes,8,9
44,1,6:10.0,,D. Murray enters the game for D. White,8,9
45,1,6:02.0,,L. Aldridge misses 2-pt jump shot from 17 ft,8,9
46,1,5:58.0,Defensive rebound by N. Bjelica,,8,9
47,1,5:44.0,B. Hield misses 2-pt layup from 5 ft (block by L. Aldridge),,8,9
48,1,5:42.0,,Defensive rebound by L. Aldridge,8,9
49,1,5:36.0,,L. Aldridge misses 3-pt jump shot from 25 ft,8,9
50,1,5:34.0,Defensive rebound by B. Bogdanović,,8,9
51,1,5:21.0,B. Bogdanović makes 2-pt jump shot from 9 ft (assist by R. Holmes),,10,9
52,1,4:58.0,,P. Mills misses 2-pt jump shot from 17 ft,10,9
53,1,4:56.0,Defensive rebound by N. Bjelica,,10,9
54,1,4:51.0,N. Bjelica misses 3-pt jump shot from 25 ft,,10,9
55,1,4:49.0,,Defensive rebound by D. DeRozan,10,9
56,1,4:39.0,,P. Mills misses 3-pt jump shot from 23 ft,10,9
57,1,4:34.0,Defensive rebound by B. Bogdanović,,10,9
58,1,4:28.0,B. Bogdanović makes 2-pt jump shot from 19 ft,,12,9
59,1,4:10.0,,D. DeRozan makes 2-pt jump shot from 22 ft (assist by P. Mills),12,11
60,1,4:10.0,,Instant Replay (Request: Ruling Stands),12,11
61,1,3:49.0,B. Bogdanović misses 3-pt jump shot from 25 ft,,12,11
62,1,3:47.0,,Defensive rebound by Team,12,11
63,1,3:47.0,T. Ariza enters the game for N. Bjelica,,12,11
64,1,3:47.0,,T. Lyles enters the game for L. Aldridge,12,11
65,1,3:47.0,,J. Poeltl enters the game for R. Gay,12,11
66,1,3:27.0,,J. Poeltl makes 2-pt layup from 1 ft (assist by D. Murray),12,13
67,1,3:04.0,Turnover by B. Bogdanović (bad pass; steal by D. Murray),,12,13
68,1,2:44.0,,D. Murray misses 2-pt jump shot from 19 ft,12,13
69,1,2:44.0,Defensive rebound by Team,,12,13
70,1,2:44.0,,L. Walker enters the game for D. DeRozan,12,13
71,1,2:44.0,Sacramento full timeout,,12,13
72,1,2:44.0,H. Barnes enters the game for B. Hield,,12,13
73,1,2:44.0,D. Dedmon enters the game for R. Holmes,,12,13
74,1,2:44.0,Y. Ferrell enters the game for C. Joseph,,12,13
75,1,2:25.0,B. Bogdanović misses 3-pt jump shot from 25 ft,,12,13
76,1,2:21.0,,Defensive rebound by D. Murray,12,13
77,1,2:14.0,,L. Walker misses 2-pt jump shot from 9 ft,12,13
78,1,2:12.0,,Offensive rebound by L. Walker,12,13
79,1,2:03.0,,Shooting foul by B. Bogdanović (drawn by J. Poeltl),12,13
80,1,2:03.0,,J. Poeltl makes free throw 1 of 2,12,14
81,1,2:03.0,,J. Poeltl makes free throw 2 of 2,12,15
82,1,1:49.0,T. Ariza makes 3-pt jump shot from 26 ft (assist by H. Barnes),,15,15
83,1,1:48.0,Violation by Team (delay of game),,15,15
84,1,1:37.0,,J. Poeltl makes 2-pt layup from 2 ft (assist by T. Lyles),15,17
85,1,1:24.0,D. Dedmon misses 3-pt jump shot from 26 ft,,15,17
86,1,1:20.0,,Defensive rebound by D. Murray,15,17
87,1,1:08.0,,D. Murray makes 2-pt jump shot from 17 ft,15,19
88,1,0:55.0,Shooting foul by J. Poeltl (drawn by Y. Ferrell),,15,19
89,1,0:55.0,Y. Ferrell makes free throw 1 of 2,,16,19
90,1,0:55.0,Y. Ferrell makes free throw 2 of 2,,17,19
91,1,0:48.0,,J. Poeltl makes 2-pt layup from 1 ft,17,21
92,1,0:48.0,,Shooting foul by D. Dedmon (drawn by J. Poeltl),17,21
93,1,0:48.0,,J. Poeltl misses free throw 1 of 1,17,21
94,1,0:45.0,Defensive rebound by T. Ariza,,17,21
95,1,0:32.0,D. Dedmon misses 2-pt layup from 2 ft,,17,21
96,1,0:30.0,,Defensive rebound by L. Walker,17,21
97,1,0:26.0,,T. Lyles misses 3-pt jump shot from 25 ft,17,21
98,1,0:22.0,Defensive rebound by T. Ariza,,17,21
99,1,0:07.0,Y. Ferrell misses 3-pt jump shot from 25 ft,,17,21
100,1,0:03.0,,Defensive rebound by T. Lyles,17,21
101,1,0:00.0,,L. Walker misses 3-pt jump shot from 29 ft,17,21
102,1,0:00.0,,Offensive rebound by Team,17,21
103,2,11:50.0,,Personal foul by Y. Ferrell (drawn by P. Mills),17,21
104,2,11:41.0,,P. Mills makes 3-pt jump shot from 25 ft (assist by L. Walker),17,24
105,2,11:28.0,Y. Ferrell makes 2-pt layup from 2 ft,,19,24
106,2,11:20.0,,P. Mills makes 2-pt layup from 2 ft,19,26
107,2,11:06.0,Turnover by D. Dedmon (bad pass; steal by D. Murray),,19,26
108,2,11:01.0,,Shooting foul by D. Dedmon (drawn by D. Murray),19,26
109,2,11:01.0,,D. Murray makes free throw 1 of 2,19,27
