,QUARTER,TIME_REMAINING,ORLANDO_ACTION,MIAMI_ACTION,ORLANDO_SCORE,MIAMI_SCORE
0,1,11:36.0,,K. Nunn misses 2-pt jump shot from 16 ft (block by J. Ennis),0,0
1,1,11:34.0,,Offensive rebound by J. Butler,0,0
2,1,11:34.0,,Turnover by Team (shot clock),0,0
3,1,11:21.0,Turnover by M. Fultz (bad pass; steal by K. Nunn),,0,0
4,1,11:03.0,,D. Robinson misses 3-pt jump shot from 23 ft,0,0
5,1,11:01.0,Defensive rebound by A. Gordon,,0,0
6,1,10:56.0,J. Ennis makes 2-pt layup from 1 ft (assist by A. Gordon),,2,0
7,1,10:37.0,,D. Jones misses 3-pt jump shot from 23 ft,2,0
8,1,10:34.0,Defensive rebound by N. Vučević,,2,0
9,1,10:29.0,M. Fultz makes 2-pt layup from 1 ft,,4,0
10,1,10:16.0,,Turnover by D. Robinson (lost ball; steal by E. Fournier),4,0
11,1,10:12.0,Shooting foul by D. Robinson (drawn by E. Fournier),,4,0
12,1,10:12.0,E. Fournier makes free throw 1 of 2,,5,0
13,1,10:12.0,E. Fournier makes free throw 2 of 2,,6,0
14,1,9:58.0,,J. Butler makes 2-pt dunk from 1 ft (assist by B. Adebayo),6,2
15,1,9:42.0,Turnover by N. Vučević (bad pass; steal by D. Jones),,6,2
16,1,9:40.0,,D. Jones makes 2-pt dunk from 1 ft,6,4
17,1,9:37.0,Orlando full timeout,,6,4
18,1,9:16.0,N. Vučević makes 2-pt hook shot from 5 ft (assist by A. Gordon),,8,4
19,1,8:56.0,,B. Adebayo makes 2-pt jump shot from 8 ft (assist by J. Butler),8,6
20,1,8:36.0,M. Fultz misses 3-pt jump shot from 25 ft,,8,6
21,1,8:33.0,,Defensive rebound by D. Jones,8,6
22,1,8:29.0,,B. Adebayo misses 2-pt layup from 1 ft (block by E. Fournier),8,6
23,1,8:28.0,,Offensive rebound by B. Adebayo,8,6
24,1,8:26.0,,B. Adebayo makes 2-pt layup from 2 ft,8,8
25,1,8:05.0,N. Vučević misses 2-pt jump shot from 15 ft,,8,8
26,1,8:03.0,Offensive rebound by Team,,8,8
27,1,7:58.0,M. Fultz misses 2-pt jump shot from 7 ft,,8,8
28,1,7:57.0,,Defensive rebound by B. Adebayo,8,8
29,1,7:53.0,,K. Nunn makes 3-pt jump shot from 24 ft,8,11
30,1,7:36.0,A. Gordon makes 2-pt jump shot from 10 ft (assist by N. Vučević),,10,11
31,1,7:21.0,,B. Adebayo misses 2-pt jump shot from 11 ft (block by N. Vučević),10,11
32,1,7:20.0,Defensive rebound by N. Vučević,,10,11
33,1,7:15.0,J. Ennis misses 3-pt jump shot from 24 ft,,10,11
34,1,7:13.0,,Defensive rebound by B. Adebayo,10,11
35,1,7:04.0,,D. Jones makes 2-pt layup from 2 ft (assist by K. Nunn),10,13
36,1,6:50.0,M. Fultz makes 2-pt jump shot from 12 ft,,12,13
37,1,6:34.0,,K. Nunn misses 3-pt jump shot from 26 ft,12,13
38,1,6:31.0,Defensive rebound by N. Vučević,,12,13
39,1,6:26.0,A. Gordon misses 2-pt layup from 1 ft,,12,13
40,1,6:24.0,,Defensive rebound by J. Butler,12,13
41,1,6:16.0,,D. Robinson makes 3-pt jump shot from 23 ft (assist by D. Jones),12,16
42,1,6:00.0,Shooting foul by D. Jones (drawn by N. Vučević),,12,16
43,1,6:00.0,N. Vučević makes free throw 1 of 2,,13,16
44,1,6:00.0,T. Ross enters the game for J. Ennis,,13,16
45,1,6:00.0,,G. Dragić enters the game for D. Robinson,13,16
46,1,6:00.0,N. Vučević makes free throw 2 of 2,,14,16
47,1,5:41.0,,Shooting foul by E. Fournier (drawn by D. Jones),14,16
48,1,5:41.0,,D. Jones makes free throw 1 of 2,14,17
49,1,5:41.0,,D. Jones misses free throw 2 of 2,14,17
50,1,5:38.0,Defensive rebound by A. Gordon,,14,17
51,1,5:24.0,Personal foul by G. Dragić (drawn by M. Fultz),,14,17
52,1,5:10.0,N. Vučević makes 2-pt jump shot from 7 ft (assist by A. Gordon),,16,17
53,1,5:03.0,,K. Nunn makes 3-pt jump shot from 23 ft,16,20
54,1,4:47.0,M. Fultz makes 2-pt jump shot from 13 ft,,18,20
55,1,4:28.0,,J. Butler makes 2-pt jump shot from 14 ft,18,22
56,1,4:16.0,A. Gordon misses 3-pt jump shot from 25 ft,,18,22
57,1,4:14.0,,Defensive rebound by B. Adebayo,18,22
58,1,3:54.0,,D. Jones misses 3-pt jump shot from 24 ft,18,22
59,1,3:51.0,Defensive rebound by N. Vučević,,18,22
60,1,3:43.0,E. Fournier makes 3-pt jump shot from 24 ft (assist by A. Gordon),,21,22
61,1,3:41.0,,Miami full timeout,21,22
62,1,3:41.0,D. Augustin enters the game for E. Fournier,,21,22
63,1,3:41.0,M. Carter-Williams enters the game for M. Fultz,,21,22
64,1,3:41.0,,J. Crowder enters the game for D. Jones,21,22
65,1,3:28.0,,J. Crowder misses 3-pt jump shot from 24 ft,21,22
66,1,3:26.0,Defensive rebound by N. Vučević,,21,22
67,1,3:10.0,N. Vučević makes 2-pt hook shot from 6 ft,,23,22
68,1,3:00.0,,K. Nunn misses 2-pt jump shot from 3 ft,23,22
69,1,2:55.0,,Offensive rebound by Team,23,22
70,1,2:55.0,J. Ennis enters the game for N. Vučević,,23,22
71,1,2:55.0,,A. Iguodala enters the game for B. Adebayo,23,22
72,1,2:42.0,,Turnover by J. Butler (bad pass; steal by M. Carter-Williams),23,22
73,1,2:40.0,Turnover by M. Carter-Williams (bad pass; steal by J. Butler),,23,22
74,1,2:37.0,,G. Dragić makes 2-pt jump shot from 3 ft,23,24
75,1,2:13.0,D. Augustin misses 3-pt jump shot from 26 ft,,23,24
76,1,2:13.0,,Defensive rebound by Team,23,24
77,1,2:13.0,Loose ball foul by A. Gordon (drawn by K. Nunn),,23,24
78,1,2:06.0,,Offensive foul by A. Iguodala (drawn by M. Carter-Williams),23,24
79,1,2:06.0,,Turnover by A. Iguodala (offensive foul),23,24
80,1,2:06.0,M. Bamba enters the game for A. Gordon,,23,24
81,1,2:06.0,,K. Olynyk enters the game for J. Butler,23,24
82,1,1:51.0,T. Ross makes 3-pt jump shot from 25 ft (assist by J. Ennis),,26,24
83,1,1:43.0,,K. Nunn misses 3-pt jump shot from 26 ft,26,24
84,1,1:40.0,Defensive rebound by M. Bamba,,26,24
85,1,1:30.0,M. Carter-Williams misses 3-pt jump shot from 25 ft,,26,24
86,1,1:26.0,,Defensive rebound by G. Dragić,26,24
87,1,1:19.0,,G. Dragić makes 3-pt jump shot from 27 ft (assist by K. Olynyk),26,27
88,1,1:03.0,M. Bamba misses 3-pt jump shot from 25 ft,,26,27
89,1,1:01.0,,Defensive rebound by K. Olynyk,26,27
