,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,MILWAUKEE_ACTION,MINNESOTA_SCORE,MILWAUKEE_SCORE
0,1,11:43.0,,G. Antetokounmpo misses 2-pt hook shot from 9 ft,0,0
1,1,11:41.0,Defensive rebound by J. Culver,,0,0
2,1,11:26.0,G. Dieng misses 3-pt jump shot from 28 ft,,0,0
3,1,11:25.0,Offensive rebound by Team,,0,0
4,1,11:14.0,S. Napier makes 2-pt jump shot from 15 ft,,2,0
5,1,11:02.0,,G. Antetokounmpo misses 2-pt layup from 2 ft,2,0
6,1,11:00.0,Defensive rebound by K. Martin,,2,0
7,1,10:51.0,Turnover by G. Dieng (bad pass; steal by K. Middleton),,2,0
8,1,10:46.0,,E. Bledsoe misses 3-pt jump shot from 26 ft,2,0
9,1,10:42.0,Defensive rebound by K. Martin,,2,0
10,1,10:26.0,S. Napier makes 3-pt jump shot from 27 ft,,5,0
11,1,10:09.0,,K. Middleton misses 2-pt jump shot from 15 ft (block by J. Culver),5,0
12,1,10:07.0,Defensive rebound by R. Covington,,5,0
13,1,9:50.0,R. Covington makes 2-pt layup from 1 ft (assist by S. Napier),,7,0
14,1,9:31.0,,Turnover by B. Lopez (traveling),7,0
15,1,9:20.0,S. Napier misses 2-pt layup from 7 ft (block by B. Lopez),,7,0
16,1,9:18.0,,Defensive rebound by B. Lopez,7,0
17,1,9:11.0,,B. Lopez misses 3-pt jump shot from 26 ft,7,0
18,1,9:06.0,Defensive rebound by J. Culver,,7,0
19,1,8:55.0,Turnover by J. Culver (traveling),,7,0
20,1,8:42.0,,G. Antetokounmpo misses 2-pt jump shot from 7 ft,7,0
21,1,8:40.0,Defensive rebound by S. Napier,,7,0
22,1,8:33.0,K. Martin misses 3-pt jump shot from 24 ft,,7,0
23,1,8:31.0,,Defensive rebound by G. Antetokounmpo,7,0
24,1,8:26.0,,G. Antetokounmpo makes 2-pt dunk from 1 ft (assist by D. DiVincenzo),7,2
25,1,8:06.0,Turnover by S. Napier (bad pass; steal by B. Lopez),,7,2
26,1,8:00.0,,K. Middleton misses 2-pt layup from 5 ft,7,2
27,1,7:57.0,Defensive rebound by K. Martin,,7,2
28,1,7:46.0,G. Dieng misses 2-pt jump shot from 13 ft (block by B. Lopez),,7,2
29,1,7:44.0,Offensive rebound by G. Dieng,,7,2
30,1,7:43.0,G. Dieng misses 2-pt hook shot from 6 ft,,7,2
31,1,7:43.0,,Defensive rebound by G. Antetokounmpo,7,2
32,1,7:36.0,,Milwaukee full timeout,7,2
33,1,7:36.0,J. Okogie enters the game for J. Culver,,7,2
34,1,7:36.0,,P. Connaughton enters the game for E. Bledsoe,7,2
35,1,7:25.0,,K. Middleton misses 2-pt jump shot from 11 ft,7,2
36,1,7:24.0,,Offensive rebound by G. Antetokounmpo,7,2
37,1,7:24.0,,Personal foul by R. Covington (drawn by G. Antetokounmpo),7,2
38,1,7:17.0,,Offensive foul by G. Antetokounmpo (drawn by G. Dieng),7,2
39,1,7:17.0,,Turnover by G. Antetokounmpo (offensive foul),7,2
40,1,6:57.0,J. Okogie makes 2-pt jump shot from 9 ft (assist by R. Covington),,9,2
41,1,6:49.0,,P. Connaughton misses 3-pt jump shot from 28 ft,9,2
42,1,6:46.0,Defensive rebound by G. Dieng,,9,2
43,1,6:36.0,Shooting foul by D. DiVincenzo (drawn by S. Napier),,9,2
44,1,6:36.0,S. Napier makes free throw 1 of 2,,10,2
45,1,6:36.0,,E. İlyasova enters the game for G. Antetokounmpo,10,2
46,1,6:36.0,S. Napier makes free throw 2 of 2,,11,2
47,1,6:25.0,,B. Lopez makes 2-pt jump shot from 8 ft (assist by P. Connaughton),11,4
48,1,6:25.0,N. Reid enters the game for G. Dieng,,11,4
49,1,6:05.0,S. Napier makes 2-pt layup from 2 ft,,13,4
