,QUARTER,TIME_REMAINING,HOUSTON_ACTION,UTAH_ACTION,HOUSTON_SCORE,UTAH_SCORE
0,1,11:45.0,,R. Gobert makes 2-pt layup from 2 ft (assist by M. Conley),0,2
1,1,11:24.0,R. Westbrook misses 2-pt jump shot from 13 ft,,0,2
2,1,11:22.0,,Defensive rebound by D. Mitchell,0,2
3,1,11:04.0,,J. Ingles makes 2-pt layup from 2 ft (assist by D. Mitchell),0,4
4,1,10:45.0,P. Tucker misses 3-pt jump shot from 23 ft,,0,4
5,1,10:42.0,,Defensive rebound by Team,0,4
6,1,10:31.0,,M. Conley misses 3-pt jump shot from 27 ft,0,4
7,1,10:27.0,Defensive rebound by R. Covington,,0,4
8,1,10:23.0,R. Covington makes 3-pt jump shot from 25 ft (assist by R. Westbrook),,3,4
9,1,10:00.0,,R. Gobert makes 2-pt layup from 2 ft (assist by J. Ingles),3,6
10,1,10:00.0,,Shooting foul by J. Harden (drawn by R. Gobert),3,6
11,1,10:00.0,,R. Gobert makes free throw 1 of 1,3,7
12,1,9:41.0,J. Harden misses 2-pt layup from 3 ft,,3,7
13,1,9:40.0,Offensive rebound by R. Westbrook,,3,7
14,1,9:38.0,R. Westbrook makes 2-pt layup from 2 ft,,5,7
15,1,9:09.0,,Personal foul by P. Tucker (drawn by M. Conley),5,7
16,1,9:04.0,,M. Conley misses 2-pt layup from 3 ft,5,7
17,1,9:03.0,Defensive rebound by R. Covington,,5,7
18,1,8:48.0,R. Covington misses 2-pt layup from 3 ft,,5,7
19,1,8:46.0,,Defensive rebound by R. Gobert,5,7
20,1,8:36.0,,J. Ingles makes 3-pt jump shot from 24 ft,5,10
21,1,8:24.0,R. Westbrook makes 3-pt jump shot from 26 ft (assist by J. Harden),,8,10
22,1,8:12.0,,M. Conley makes 2-pt jump shot from 22 ft,8,12
23,1,7:56.0,J. Harden misses 2-pt layup from 4 ft,,8,12
24,1,7:53.0,Offensive rebound by J. Harden,,8,12
25,1,7:53.0,J. Harden makes 2-pt layup at rim,,10,12
26,1,7:33.0,,Turnover by B. Bogdanović (bad pass; steal by D. House),10,12
27,1,7:29.0,Turnover by D. House (out of bounds lost ball),,10,12
28,1,7:20.0,,B. Bogdanović misses 3-pt jump shot from 23 ft,10,12
29,1,7:17.0,Defensive rebound by J. Harden,,10,12
30,1,7:11.0,J. Harden makes 3-pt jump shot from 26 ft,,13,12
31,1,7:08.0,,Utah full timeout,13,12
32,1,7:08.0,E. Gordon enters the game for D. House,,13,12
33,1,7:08.0,,J. Clarkson enters the game for M. Conley,13,12
34,1,7:08.0,,R. O'Neale enters the game for J. Ingles,13,12
35,1,6:58.0,,Turnover by D. Mitchell (lost ball; steal by E. Gordon),13,12
36,1,6:52.0,J. Harden misses 2-pt layup from 3 ft,,13,12
37,1,6:49.0,,Defensive rebound by J. Clarkson,13,12
38,1,6:45.0,,R. O'Neale misses 3-pt jump shot from 24 ft,13,12
39,1,6:43.0,,Offensive rebound by Team,13,12
40,1,6:42.0,,Shooting foul by R. Westbrook (drawn by R. Gobert),13,12
41,1,6:42.0,,R. Gobert makes free throw 1 of 2,13,13
42,1,6:42.0,,R. Gobert makes free throw 2 of 2,13,14
43,1,6:32.0,Shooting foul by B. Bogdanović (drawn by J. Harden),,13,14
44,1,6:32.0,J. Harden makes free throw 1 of 2,,14,14
45,1,6:32.0,J. Harden makes free throw 2 of 2,,15,14
46,1,6:23.0,,D. Mitchell misses 3-pt jump shot from 26 ft,15,14
47,1,6:18.0,Defensive rebound by J. Harden,,15,14
48,1,6:15.0,E. Gordon makes 2-pt dunk from 3 ft (assist by J. Harden),,17,14
49,1,5:56.0,,B. Bogdanović misses 2-pt jump shot from 5 ft,17,14
50,1,5:54.0,,Offensive rebound by B. Bogdanović,17,14
51,1,5:54.0,,B. Bogdanović makes 2-pt layup from 1 ft,17,16
52,1,5:45.0,R. Westbrook misses 2-pt jump shot from 10 ft,,17,16
53,1,5:43.0,,Defensive rebound by J. Clarkson,17,16
54,1,5:30.0,,Personal foul by E. Gordon (drawn by D. Mitchell),17,16
55,1,5:30.0,B. McLemore enters the game for R. Covington,,17,16
56,1,5:30.0,A. Rivers enters the game for R. Westbrook,,17,16
57,1,5:19.0,,Shooting foul by E. Gordon (drawn by D. Mitchell),17,16
58,1,5:19.0,,D. Mitchell makes free throw 1 of 3,17,17
59,1,5:19.0,,D. Mitchell makes free throw 2 of 3,17,18
60,1,5:19.0,,D. Mitchell misses free throw 3 of 3,17,18
61,1,5:17.0,Defensive rebound by E. Gordon,,17,18
62,1,5:04.0,B. McLemore makes 3-pt jump shot from 26 ft (assist by E. Gordon),,20,18
63,1,4:45.0,,J. Clarkson makes 2-pt jump shot from 8 ft,20,20
64,1,4:31.0,E. Gordon makes 3-pt jump shot from 26 ft,,23,20
65,1,4:16.0,,D. Mitchell makes 2-pt jump shot from 9 ft,23,22
66,1,4:06.0,A. Rivers makes 3-pt jump shot from 26 ft (assist by J. Harden),,26,22
67,1,3:52.0,,Shooting foul by B. McLemore (drawn by B. Bogdanović),26,22
68,1,3:52.0,,B. Bogdanović makes free throw 1 of 2,26,23
69,1,3:52.0,J. Green enters the game for P. Tucker,,26,23
70,1,3:52.0,,B. Bogdanović makes free throw 2 of 2,26,24
71,1,3:41.0,J. Harden makes 3-pt jump shot from 25 ft,,29,24
72,1,3:31.0,,D. Mitchell misses 2-pt jump shot from 6 ft,29,24
73,1,3:27.0,Defensive rebound by J. Green,,29,24
74,1,3:19.0,J. Harden makes 2-pt layup from 2 ft,,31,24
75,1,3:05.0,,Personal foul by B. McLemore (drawn by B. Bogdanović),31,24
76,1,3:05.0,,B. Bogdanović makes free throw 1 of 2,31,25
77,1,3:05.0,,M. Conley enters the game for R. Gobert,31,25
78,1,3:05.0,,J. Morgan enters the game for D. Mitchell,31,25
79,1,3:05.0,,B. Bogdanović makes free throw 2 of 2,31,26
80,1,2:53.0,B. McLemore makes 3-pt jump shot from 25 ft (assist by E. Gordon),,34,26
81,1,2:45.0,,Utah full timeout,34,26
82,1,2:45.0,R. Westbrook enters the game for J. Harden,,34,26
83,1,2:45.0,,G. Niang enters the game for B. Bogdanović,34,26
84,1,2:34.0,,R. O'Neale makes 2-pt jump shot from 4 ft (assist by M. Conley),34,28
85,1,2:23.0,R. Westbrook makes 2-pt jump shot from 2 ft,,36,28
86,1,2:09.0,,R. O'Neale makes 2-pt layup from 2 ft (assist by M. Conley),36,30
87,1,1:57.0,E. Gordon misses 3-pt jump shot from 27 ft,,36,30
88,1,1:53.0,,Defensive rebound by J. Morgan,36,30
89,1,1:45.0,,M. Conley makes 2-pt layup from 2 ft,36,32
90,1,1:22.0,R. Westbrook misses 3-pt jump shot from 25 ft,,36,32
91,1,1:19.0,,Defensive rebound by G. Niang,36,32
