,QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,MINNESOTA_ACTION,OKLAHOMA CITY_SCORE,MINNESOTA_SCORE
0,1,11:40.0,Turnover by S. Adams (bad pass),,0,0
1,1,11:26.0,,J. Culver makes 2-pt layup from 2 ft (assist by A. Wiggins),0,2
2,1,11:12.0,C. Paul misses 2-pt jump shot from 11 ft,,0,2
3,1,11:09.0,,Defensive rebound by S. Napier,0,2
4,1,11:05.0,,S. Napier misses 2-pt layup from 1 ft,0,2
5,1,11:02.0,,Offensive rebound by R. Covington,0,2
6,1,10:54.0,,G. Dieng misses 3-pt jump shot from 24 ft,0,2
7,1,10:51.0,Defensive rebound by S. Gilgeous-Alexander,,0,2
8,1,10:39.0,S. Adams makes 2-pt jump shot from 11 ft (assist by D. Gallinari),,2,2
9,1,10:18.0,,G. Dieng misses 2-pt layup from 1 ft,2,2
10,1,10:16.0,Defensive rebound by S. Adams,,2,2
11,1,10:01.0,Turnover by D. Gallinari (bad pass; steal by G. Dieng),,2,2
12,1,9:56.0,,R. Covington makes 3-pt jump shot from 25 ft (assist by S. Napier),2,5
13,1,9:37.0,D. Gallinari makes 2-pt jump shot from 3 ft (assist by S. Gilgeous-Alexander),,4,5
14,1,9:26.0,,G. Dieng misses 2-pt jump shot from 21 ft,4,5
15,1,9:24.0,Defensive rebound by S. Gilgeous-Alexander,,4,5
16,1,9:22.0,Personal foul by G. Dieng (drawn by S. Adams),,4,5
17,1,9:15.0,D. Gallinari misses 2-pt jump shot from 16 ft,,4,5
18,1,9:12.0,,Defensive rebound by S. Napier,4,5
19,1,8:58.0,,Def 3 sec tech foul by Team,4,5
20,1,8:58.0,,S. Napier makes technical free throw,4,6
21,1,8:53.0,,A. Wiggins makes 2-pt jump shot from 9 ft (assist by G. Dieng),4,8
22,1,8:47.0,Shooting foul by A. Wiggins (drawn by T. Ferguson),,4,8
23,1,8:47.0,T. Ferguson makes free throw 1 of 2,,5,8
24,1,8:47.0,T. Ferguson makes free throw 2 of 2,,6,8
25,1,8:37.0,,G. Dieng makes 2-pt jump shot from 17 ft (assist by S. Napier),6,10
26,1,8:25.0,D. Gallinari misses 3-pt jump shot from 26 ft,,6,10
27,1,8:23.0,,Defensive rebound by J. Culver,6,10
28,1,8:07.0,,S. Napier misses 2-pt jump shot from 8 ft (block by S. Gilgeous-Alexander),6,10
29,1,8:05.0,Defensive rebound by S. Gilgeous-Alexander,,6,10
30,1,7:57.0,C. Paul misses 2-pt jump shot from 16 ft,,6,10
31,1,7:57.0,,Defensive rebound by G. Dieng,6,10
32,1,7:55.0,,Technical foul by C. Paul,6,10
33,1,7:55.0,,S. Napier misses technical free throw,6,10
34,1,7:55.0,,Offensive rebound by Team,6,10
35,1,7:43.0,,Shooting foul by T. Ferguson (drawn by A. Wiggins),6,10
36,1,7:43.0,,A. Wiggins makes free throw 1 of 2,6,11
37,1,7:43.0,Oklahoma City full timeout,,6,11
38,1,7:43.0,,A. Wiggins makes free throw 2 of 2,6,12
