,QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,DALLAS_ACTION,NEW ORLEANS_SCORE,DALLAS_SCORE
0,1,11:42.0,,T. Hardaway makes 2-pt jump shot from 10 ft (assist by L. Dončić),0,2
1,1,11:26.0,L. Ball misses 3-pt jump shot from 25 ft,,0,2
2,1,11:22.0,,Defensive rebound by K. Porziņģis,0,2
3,1,11:10.0,,L. Dončić misses 3-pt jump shot from 26 ft,0,2
4,1,11:08.0,Defensive rebound by J. Hayes,,0,2
5,1,10:59.0,J. Redick misses 2-pt jump shot from 21 ft,,0,2
6,1,10:56.0,Offensive rebound by J. Hayes,,0,2
7,1,10:48.0,Turnover by L. Ball (bad pass; steal by L. Dončić),,0,2
8,1,10:43.0,,T. Hardaway makes 2-pt dunk from 1 ft (assist by L. Dončić),0,4
9,1,10:25.0,J. Holiday misses 3-pt jump shot from 22 ft,,0,4
10,1,10:22.0,,Defensive rebound by K. Porziņģis,0,4
11,1,10:12.0,,T. Hardaway misses 3-pt jump shot from 23 ft,0,4
12,1,10:10.0,,Offensive rebound by D. Finney-Smith,0,4
13,1,10:09.0,,D. Finney-Smith makes 2-pt layup from 1 ft,0,6
14,1,9:58.0,J. Redick makes 2-pt jump shot from 20 ft,,2,6
15,1,9:36.0,,L. Dončić makes 2-pt jump shot from 11 ft,2,8
16,1,9:17.0,J. Hayes misses 2-pt layup from 1 ft,,2,8
17,1,9:15.0,Offensive rebound by J. Hayes,,2,8
18,1,9:03.0,J. Holiday makes 2-pt jump shot from 6 ft,,4,8
19,1,8:44.0,,K. Porziņģis misses 2-pt jump shot from 16 ft,4,8
20,1,8:43.0,,Offensive rebound by T. Hardaway,4,8
21,1,8:41.0,,D. Finney-Smith makes 3-pt jump shot from 26 ft (assist by T. Hardaway),4,11
22,1,8:33.0,J. Redick makes 3-pt jump shot from 25 ft (assist by B. Ingram),,7,11
23,1,8:33.0,Shooting foul by K. Porziņģis (drawn by J. Redick),,7,11
24,1,8:33.0,J. Redick makes free throw 1 of 1,,8,11
25,1,8:33.0,Instant Replay (Request: Ruling Stands),,8,11
26,1,8:20.0,,K. Porziņģis misses 2-pt jump shot from 4 ft,8,11
27,1,8:18.0,Defensive rebound by B. Ingram,,8,11
28,1,8:13.0,B. Ingram makes 2-pt layup from 2 ft,,10,11
29,1,8:12.0,,Dallas full timeout,10,11
30,1,8:02.0,,L. Dončić makes 2-pt layup from 5 ft,10,13
31,1,8:02.0,,Shooting foul by J. Hayes (drawn by L. Dončić),10,13
32,1,8:02.0,,L. Dončić makes free throw 1 of 1,10,14
33,1,7:43.0,L. Ball misses 3-pt jump shot from 24 ft,,10,14
34,1,7:37.0,Offensive rebound by J. Holiday,,10,14
35,1,7:37.0,J. Holiday makes 2-pt layup at rim,,12,14
36,1,7:27.0,,K. Porziņģis misses 3-pt jump shot from 25 ft,12,14
37,1,7:22.0,Defensive rebound by J. Redick,,12,14
38,1,7:04.0,J. Holiday misses 2-pt jump shot from 13 ft,,12,14
39,1,7:02.0,,Defensive rebound by L. Dončić,12,14
40,1,6:59.0,,Turnover by D. Finney-Smith (bad pass),12,14
41,1,6:49.0,J. Redick makes 2-pt jump shot from 14 ft (assist by J. Holiday),,14,14
42,1,6:29.0,,T. Hardaway misses 3-pt jump shot from 26 ft,14,14
43,1,6:29.0,,Offensive rebound by K. Porziņģis,14,14
44,1,6:29.0,,Shooting foul by B. Ingram (drawn by K. Porziņģis),14,14
45,1,6:29.0,,K. Porziņģis misses free throw 1 of 2,14,14
46,1,6:29.0,,Offensive rebound by Team,14,14
47,1,6:29.0,,K. Porziņģis makes free throw 2 of 2,14,15
48,1,6:13.0,J. Hayes makes 2-pt layup from 3 ft (assist by B. Ingram),,16,15
49,1,6:02.0,,L. Dončić makes 3-pt jump shot from 25 ft (assist by K. Porziņģis),16,18
50,1,5:53.0,B. Ingram misses 3-pt jump shot from 24 ft,,16,18
51,1,5:51.0,,Defensive rebound by T. Hardaway,16,18
52,1,5:44.0,,D. Powell makes 2-pt dunk from 1 ft (assist by L. Dončić),16,20
53,1,5:32.0,J. Redick misses 3-pt jump shot from 26 ft,,16,20
54,1,5:30.0,,Defensive rebound by D. Powell,16,20
55,1,5:22.0,,K. Porziņģis makes 2-pt layup from 1 ft (assist by D. Finney-Smith),16,22
56,1,5:17.0,New Orleans full timeout,,16,22
57,1,5:17.0,K. Williams enters the game for J. Holiday,,16,22
58,1,5:02.0,B. Ingram misses 2-pt jump shot from 13 ft,,16,22
59,1,5:00.0,,Defensive rebound by D. Powell,16,22
60,1,4:47.0,,D. Powell makes 2-pt dunk from 1 ft (assist by L. Dončić),16,24
61,1,4:34.0,Shooting foul by K. Porziņģis (drawn by J. Hayes),,16,24
62,1,4:34.0,J. Hayes makes free throw 1 of 2,,17,24
63,1,4:34.0,,M. Kleber enters the game for T. Hardaway,17,24
64,1,4:34.0,,D. Wright enters the game for K. Porziņģis,17,24
65,1,4:34.0,J. Hayes makes free throw 2 of 2,,18,24
66,1,4:15.0,,D. Finney-Smith misses 3-pt jump shot from 26 ft,18,24
67,1,4:10.0,Defensive rebound by K. Williams,,18,24
68,1,3:50.0,L. Ball misses 3-pt jump shot from 26 ft,,18,24
69,1,3:48.0,,Defensive rebound by D. Powell,18,24
70,1,3:43.0,,L. Dončić makes 3-pt jump shot from 28 ft,18,27
71,1,3:37.0,,Violation by Team (kicked ball),18,27
72,1,3:37.0,J. Okafor enters the game for J. Hayes,,18,27
73,1,3:37.0,,J. Jackson enters the game for D. Finney-Smith,18,27
74,1,3:29.0,B. Ingram makes 2-pt jump shot from 11 ft,,20,27
75,1,3:14.0,,L. Dončić misses 2-pt jump shot from 4 ft,20,27
76,1,3:11.0,Defensive rebound by K. Williams,,20,27
77,1,2:57.0,J. Okafor makes 2-pt jump shot from 3 ft,,22,27
78,1,2:36.0,,Turnover by M. Kleber (step out of bounds),22,27
79,1,2:36.0,,B. Marjanović enters the game for D. Powell,22,27
80,1,2:29.0,K. Williams misses 3-pt jump shot from 25 ft,,22,27
81,1,2:26.0,,Defensive rebound by B. Marjanović,22,27
82,1,2:13.0,,B. Marjanović makes 2-pt dunk from 1 ft (assist by L. Dončić),22,29
83,1,1:51.0,J. Okafor misses 2-pt hook shot from 8 ft,,22,29
84,1,1:48.0,,Defensive rebound by B. Marjanović,22,29
85,1,1:41.0,,L. Dončić misses 3-pt jump shot from 26 ft,22,29
86,1,1:38.0,Defensive rebound by J. Redick,,22,29
87,1,1:32.0,B. Ingram makes 2-pt layup from 1 ft (assist by J. Redick),,24,29
88,1,1:11.0,,Turnover by B. Marjanović (bad pass; steal by K. Williams),24,29
89,1,1:09.0,K. Williams makes 2-pt layup from 3 ft,,26,29
90,1,1:09.0,Shooting foul by D. Wright (drawn by K. Williams),,26,29
91,1,1:09.0,J. Hart enters the game for J. Redick,,26,29
92,1,1:09.0,,J. Brunson enters the game for L. Dončić,26,29
93,1,1:09.0,,S. Curry enters the game for B. Marjanović,26,29
94,1,1:09.0,,Violation by Team (delay of game),26,29
95,1,1:09.0,K. Williams misses free throw 1 of 1,,26,29
96,1,1:06.0,,Defensive rebound by J. Jackson,26,29
97,1,0:55.0,,J. Jackson misses 2-pt layup from 2 ft (block by J. Okafor),26,29
98,1,0:53.0,Defensive rebound by K. Williams,,26,29
99,1,0:49.0,B. Ingram makes 2-pt dunk from 1 ft (assist by K. Williams),,28,29
100,1,0:45.0,,Dallas full timeout,28,29
101,1,0:45.0,,B. Marjanović enters the game for D. Wright,28,29
102,1,0:37.0,,J. Brunson makes 2-pt jump shot from 11 ft,28,31
103,1,0:22.0,Turnover by J. Okafor (traveling),,28,31
104,1,0:02.0,,M. Kleber misses 2-pt jump shot from 11 ft,28,31
105,1,0:02.0,Defensive rebound by B. Ingram,,28,31
106,2,11:47.0,J. Holiday misses 2-pt jump shot from 10 ft,,28,31
107,2,11:45.0,Offensive rebound by J. Okafor,,28,31
108,2,11:32.0,K. Williams makes 2-pt jump shot from 10 ft (assist by J. Holiday),,30,31
109,2,11:14.0,,J. Jackson misses 3-pt jump shot from 26 ft,30,31
110,2,11:10.0,Defensive rebound by N. Alexander-Walker,,30,31
111,2,11:01.0,N. Alexander-Walker misses 3-pt jump shot from 26 ft,,30,31
112,2,11:01.0,,Defensive rebound by J. Jackson,30,31
113,2,10:43.0,,Shooting foul by J. Hart (drawn by B. Marjanović),30,31
114,2,10:43.0,,B. Marjanović misses free throw 1 of 2,30,31
115,2,10:43.0,,Offensive rebound by Team,30,31
116,2,10:43.0,,B. Marjanović makes free throw 2 of 2,30,32
117,2,10:33.0,J. Holiday makes 2-pt jump shot from 8 ft (assist by J. Okafor),,32,32
118,2,10:22.0,,J. Jackson makes 2-pt layup from 2 ft (assist by J. Brunson),32,34
119,2,10:08.0,J. Holiday makes 2-pt jump shot from 4 ft (assist by J. Okafor),,34,34
120,2,9:48.0,,B. Marjanović makes 2-pt dunk from 1 ft (assist by J. Jackson),34,36
121,2,9:37.0,J. Okafor makes 2-pt dunk from 1 ft (assist by J. Holiday),,36,36
122,2,9:23.0,,Turnover by J. Brunson (bad pass),36,36
123,2,9:09.0,N. Alexander-Walker misses 3-pt jump shot from 25 ft,,36,36
124,2,9:06.0,,Defensive rebound by M. Kleber,36,36
125,2,8:50.0,,M. Kleber misses 3-pt jump shot from 26 ft,36,36
126,2,8:50.0,Defensive rebound by Team,,36,36
127,2,8:40.0,J. Holiday makes 2-pt layup from 2 ft,,38,36
128,2,8:17.0,,M. Kleber misses 3-pt jump shot from 22 ft,38,36
129,2,8:17.0,,Offensive rebound by M. Kleber,38,36
130,2,8:17.0,,Shooting foul by J. Okafor (drawn by M. Kleber),38,36
131,2,8:17.0,,M. Kleber makes free throw 1 of 2,38,37
132,2,8:17.0,,M. Kleber makes free throw 2 of 2,38,38
133,2,8:01.0,N. Alexander-Walker misses 2-pt layup from 6 ft,,38,38
134,2,8:00.0,,Defensive rebound by B. Marjanović,38,38
135,2,7:51.0,,J. Jackson makes 2-pt jump shot from 5 ft,38,40
136,2,7:44.0,J. Okafor misses 2-pt layup from 3 ft (block by B. Marjanović),,38,40
137,2,7:41.0,,Defensive rebound by B. Marjanović,38,40
138,2,7:23.0,,Shooting foul by J. Okafor (drawn by B. Marjanović),38,40
139,2,7:23.0,,B. Marjanović makes free throw 1 of 2,38,41
140,2,7:23.0,J. Hayes enters the game for N. Alexander-Walker,,38,41
141,2,7:23.0,J. Redick enters the game for J. Okafor,,38,41
142,2,7:23.0,,B. Marjanović makes free throw 2 of 2,38,42
143,2,7:09.0,J. Holiday misses 3-pt jump shot from 25 ft,,38,42
144,2,7:07.0,,Defensive rebound by B. Marjanović,38,42
145,2,6:58.0,,J. Brunson makes 2-pt jump shot from 3 ft,38,44
146,2,6:51.0,J. Hart misses 3-pt jump shot from 25 ft,,38,44
147,2,6:49.0,,Defensive rebound by J. Brunson,38,44
148,2,6:38.0,,B. Marjanović makes 2-pt jump shot from 6 ft (assist by J. Brunson),38,46
149,2,6:20.0,Shooting foul by M. Kleber (drawn by J. Hayes),,38,46
150,2,6:20.0,,Dallas full timeout,38,46
151,2,6:20.0,B. Ingram enters the game for K. Williams,,38,46
152,2,6:20.0,J. Hayes makes free throw 1 of 2,,39,46
153,2,6:20.0,J. Hayes misses free throw 2 of 2,,39,46
154,2,6:17.0,,Defensive rebound by B. Marjanović,39,46
155,2,6:03.0,,J. Jackson misses 2-pt jump shot from 10 ft,39,46
156,2,5:59.0,,Offensive rebound by B. Marjanović,39,46
157,2,5:59.0,,B. Marjanović makes 2-pt layup from 1 ft,39,48
158,2,5:42.0,J. Hayes misses 2-pt layup from 3 ft,,39,48
159,2,5:40.0,,Defensive rebound by J. Brunson,39,48
160,2,5:40.0,,Personal foul by J. Hart (drawn by S. Curry),39,48
161,2,5:40.0,L. Ball enters the game for J. Hart,,39,48
162,2,5:40.0,,L. Dončić enters the game for J. Brunson,39,48
163,2,5:40.0,,K. Porziņģis enters the game for B. Marjanović,39,48
164,2,5:32.0,,S. Curry makes 3-pt jump shot from 26 ft,39,51
165,2,5:12.0,J. Holiday misses 2-pt jump shot from 7 ft,,39,51
166,2,5:08.0,Offensive rebound by J. Hayes,,39,51
167,2,5:08.0,J. Hayes misses 2-pt layup at rim,,39,51
168,2,5:08.0,,Defensive rebound by L. Dončić,39,51
