,QUARTER,TIME_REMAINING,NEW YORK_ACTION,GOLDEN STATE_ACTION,NEW YORK_SCORE,GOLDEN STATE_SCORE
0,1,11:47.0,,D. Russell misses 2-pt layup from 4 ft,0,0
1,1,11:46.0,,Offensive rebound by W. Cauley-Stein,0,0
2,1,11:42.0,,W. Cauley-Stein misses 2-pt hook shot from 6 ft,0,0
3,1,11:41.0,Defensive rebound by R. Barrett,,0,0
4,1,11:22.0,M. Morris makes 2-pt jump shot from 10 ft,,2,0
5,1,11:04.0,,D. Russell misses 3-pt jump shot from 27 ft,2,0
6,1,11:02.0,Defensive rebound by T. Gibson,,2,0
7,1,10:49.0,T. Gibson misses 2-pt jump shot from 7 ft (block by W. Cauley-Stein),,2,0
8,1,10:48.0,Offensive rebound by Team,,2,0
9,1,10:45.0,R. Barrett misses 2-pt jump shot from 6 ft (block by W. Cauley-Stein),,2,0
10,1,10:43.0,,Defensive rebound by D. Green,2,0
11,1,10:38.0,,E. Paschall misses 2-pt jump shot from 18 ft,2,0
12,1,10:37.0,Defensive rebound by M. Morris,,2,0
13,1,10:22.0,R. Barrett makes 2-pt layup from 3 ft,,4,0
14,1,10:09.0,,G. Robinson misses 3-pt jump shot from 27 ft,4,0
15,1,10:07.0,Defensive rebound by T. Gibson,,4,0
16,1,9:50.0,Shooting foul by W. Cauley-Stein (drawn by M. Morris),,4,0
17,1,9:50.0,M. Morris makes free throw 1 of 2,,5,0
18,1,9:50.0,M. Morris makes free throw 2 of 2,,6,0
19,1,9:40.0,,D. Russell makes 3-pt jump shot from 27 ft (assist by D. Green),6,3
20,1,9:24.0,M. Morris misses 3-pt jump shot from 23 ft,,6,3
21,1,9:22.0,,Defensive rebound by D. Russell,6,3
22,1,9:10.0,,D. Russell misses 2-pt jump shot from 18 ft,6,3
23,1,9:08.0,Defensive rebound by J. Randle,,6,3
24,1,9:03.0,J. Randle makes 2-pt dunk from 1 ft (assist by T. Gibson),,8,3
25,1,8:51.0,,Personal foul by F. Ntilikina (drawn by D. Russell),8,3
26,1,8:47.0,,G. Robinson misses 2-pt jump shot from 13 ft,8,3
