,QUARTER,TIME_REMAINING,MIAMI_ACTION,CHICAGO_ACTION,MIAMI_SCORE,CHICAGO_SCORE
0,1,11:46.0,,Z. LaVine misses 3-pt jump shot from 25 ft,0,0
1,1,11:40.0,Defensive rebound by M. Leonard,,0,0
2,1,11:26.0,K. Nunn makes 3-pt jump shot from 25 ft (assist by J. Butler),,3,0
3,1,11:11.0,,T. Satoranský misses 2-pt jump shot from 5 ft,3,0
4,1,11:10.0,Defensive rebound by K. Nunn,,3,0
5,1,10:49.0,M. Leonard makes 2-pt jump shot from 19 ft (assist by D. Robinson),,5,0
6,1,10:35.0,,Turnover by Z. LaVine (step out of bounds),5,0
7,1,10:13.0,K. Nunn misses 3-pt jump shot from 27 ft,,5,0
8,1,10:09.0,Offensive rebound by Team,,5,0
9,1,9:57.0,K. Nunn makes 2-pt layup from 3 ft,,7,0
10,1,9:50.0,,S. Harrison misses 2-pt layup from 3 ft,7,0
11,1,9:48.0,Defensive rebound by B. Adebayo,,7,0
12,1,9:30.0,D. Robinson makes 3-pt jump shot from 25 ft (assist by B. Adebayo),,10,0
13,1,9:15.0,,T. Satoranský misses 2-pt jump shot from 5 ft,10,0
14,1,9:13.0,Defensive rebound by K. Nunn,,10,0
15,1,8:59.0,J. Butler misses 3-pt jump shot from 23 ft,,10,0
16,1,8:56.0,,Defensive rebound by S. Harrison,10,0
17,1,8:41.0,,L. Markkanen misses 2-pt layup from 2 ft,10,0
18,1,8:37.0,,Offensive rebound by L. Markkanen,10,0
19,1,8:37.0,,L. Markkanen misses 2-pt layup at rim,10,0
20,1,8:36.0,Defensive rebound by M. Leonard,,10,0
21,1,8:33.0,K. Nunn makes 3-pt jump shot from 25 ft (assist by B. Adebayo),,13,0
22,1,8:33.0,,Chicago full timeout,13,0
23,1,8:33.0,,R. Arcidiacono enters the game for Z. LaVine,13,0
24,1,8:12.0,,R. Arcidiacono misses 3-pt jump shot from 25 ft,13,0
25,1,8:08.0,Defensive rebound by K. Nunn,,13,0
26,1,7:48.0,K. Nunn makes 2-pt layup from 1 ft (assist by J. Butler),,15,0
27,1,7:36.0,,L. Markkanen misses 3-pt jump shot from 25 ft,15,0
28,1,7:33.0,Defensive rebound by J. Butler,,15,0
29,1,7:15.0,B. Adebayo misses 2-pt jump shot from 16 ft,,15,0
30,1,7:13.0,,Defensive rebound by T. Satoranský,15,0
31,1,6:56.0,,L. Markkanen makes 2-pt jump shot from 6 ft (assist by S. Harrison),15,2
32,1,6:40.0,M. Leonard makes 3-pt jump shot from 25 ft (assist by J. Butler),,18,2
33,1,6:29.0,,R. Arcidiacono makes 3-pt jump shot from 24 ft (assist by T. Satoranský),18,5
34,1,6:12.0,Turnover by J. Butler (bad pass; steal by W. Carter),,18,5
35,1,6:03.0,,W. Carter makes 2-pt dunk at rim (assist by S. Harrison),18,7
36,1,5:52.0,Personal foul by W. Carter (drawn by B. Adebayo),,18,7
