,QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,PHILADELPHIA_ACTION,NEW ORLEANS_SCORE,PHILADELPHIA_SCORE
0,1,11:42.0,,B. Simmons misses 2-pt hook shot from 9 ft,0,0
1,1,11:40.0,,Offensive rebound by B. Simmons,0,0
2,1,11:38.0,,M. Scott misses 3-pt jump shot from 26 ft,0,0
3,1,11:38.0,Defensive rebound by Team,,0,0
4,1,11:16.0,Turnover by J. Redick (bad pass; steal by J. Embiid),,0,0
5,1,11:10.0,,Turnover by B. Simmons (bad pass; steal by J. Redick),0,0
6,1,11:01.0,J. Holiday misses 3-pt jump shot from 25 ft,,0,0
7,1,10:56.0,,Defensive rebound by B. Simmons,0,0
8,1,10:50.0,,J. Embiid misses 3-pt jump shot from 26 ft,0,0
9,1,10:47.0,Defensive rebound by B. Ingram,,0,0
10,1,10:36.0,D. Favors misses 2-pt jump shot from 8 ft,,0,0
11,1,10:34.0,,Defensive rebound by J. Embiid,0,0
12,1,10:28.0,,B. Simmons makes 2-pt layup from 1 ft,0,2
13,1,10:19.0,J. Holiday misses 2-pt jump shot from 6 ft,,0,2
14,1,10:17.0,,Defensive rebound by J. Embiid,0,2
15,1,10:06.0,,Shooting foul by D. Favors (drawn by J. Embiid),0,2
16,1,10:06.0,,J. Embiid makes free throw 1 of 2,0,3
17,1,10:06.0,,J. Embiid makes free throw 2 of 2,0,4
18,1,9:56.0,J. Redick misses 2-pt jump shot from 17 ft,,0,4
19,1,9:52.0,,Defensive rebound by M. Scott,0,4
20,1,9:46.0,,M. Scott misses 3-pt jump shot from 27 ft,0,4
21,1,9:43.0,,Offensive rebound by J. Richardson,0,4
22,1,9:33.0,,J. Embiid misses 2-pt hook shot from 5 ft,0,4
23,1,9:31.0,Defensive rebound by D. Favors,,0,4
24,1,9:27.0,J. Holiday makes 2-pt layup from 2 ft,,2,4
25,1,9:27.0,,Violation by Team (def goaltending),2,4
26,1,9:05.0,,J. Richardson makes 2-pt jump shot from 14 ft (assist by J. Embiid),2,6
27,1,8:52.0,J. Redick makes 2-pt jump shot from 9 ft (assist by J. Holiday),,4,6
28,1,8:38.0,,M. Scott makes 3-pt jump shot from 23 ft (assist by B. Simmons),4,9
29,1,8:24.0,J. Redick misses 2-pt jump shot from 18 ft,,4,9
30,1,8:21.0,,Defensive rebound by J. Richardson,4,9
31,1,8:13.0,,B. Simmons misses 2-pt layup from 3 ft,4,9
32,1,8:10.0,Defensive rebound by D. Favors,,4,9
33,1,8:05.0,K. Williams misses 3-pt jump shot from 23 ft,,4,9
34,1,8:03.0,,Defensive rebound by M. Scott,4,9
35,1,7:52.0,,Personal foul by K. Williams (drawn by T. Harris),4,9
36,1,7:42.0,,J. Richardson makes 2-pt jump shot from 12 ft,4,11
37,1,7:30.0,J. Holiday misses 2-pt layup from 2 ft,,4,11
38,1,7:24.0,Offensive rebound by D. Favors,,4,11
39,1,7:24.0,D. Favors makes 2-pt layup from 1 ft,,6,11
40,1,7:18.0,,J. Embiid makes 3-pt jump shot from 26 ft (assist by B. Simmons),6,14
41,1,7:03.0,K. Williams misses 3-pt jump shot from 25 ft,,6,14
42,1,7:00.0,Offensive rebound by J. Holiday,,6,14
43,1,6:58.0,J. Holiday makes 2-pt layup from 2 ft,,8,14
44,1,6:44.0,,J. Richardson misses 2-pt layup from 3 ft,8,14
45,1,6:43.0,,Offensive rebound by M. Scott,8,14
46,1,6:42.0,,M. Scott makes 2-pt layup at rim,8,16
47,1,6:33.0,B. Ingram makes 2-pt jump shot from 13 ft,,10,16
48,1,6:10.0,,J. Embiid makes 2-pt jump shot from 11 ft,10,18
49,1,6:05.0,New Orleans full timeout,,10,18
50,1,6:05.0,J. Okafor enters the game for D. Favors,,10,18
51,1,6:05.0,,J. Ennis enters the game for J. Embiid,10,18
52,1,6:05.0,,N. Pelle enters the game for J. Richardson,10,18
53,1,6:05.0,,M. Thybulle enters the game for M. Scott,10,18
54,1,5:53.0,J. Okafor makes 2-pt hook shot from 3 ft,,12,18
55,1,5:53.0,Shooting foul by N. Pelle (drawn by J. Okafor),,12,18
56,1,5:53.0,J. Okafor misses free throw 1 of 1,,12,18
57,1,5:51.0,,Defensive rebound by N. Pelle,12,18
58,1,5:36.0,,B. Simmons makes 2-pt hook shot from 5 ft (assist by N. Pelle),12,20
59,1,5:30.0,B. Ingram makes 3-pt jump shot from 26 ft,,15,20
60,1,5:06.0,,T. Harris misses 3-pt jump shot from 24 ft,15,20
61,1,5:04.0,Defensive rebound by B. Ingram,,15,20
62,1,4:56.0,Personal foul by J. Ennis (drawn by B. Ingram),,15,20
63,1,4:54.0,Turnover by B. Ingram (bad pass; steal by B. Simmons),,15,20
64,1,4:49.0,,T. Harris makes 2-pt dunk from 1 ft (assist by J. Ennis),15,22
65,1,4:36.0,Shooting foul by N. Pelle (drawn by B. Ingram),,15,22
66,1,4:36.0,B. Ingram makes free throw 1 of 2,,16,22
67,1,4:36.0,N. Alexander-Walker enters the game for J. Redick,,16,22
68,1,4:36.0,J. Hart enters the game for K. Williams,,16,22
69,1,4:36.0,B. Ingram makes free throw 2 of 2,,17,22
70,1,4:13.0,,T. Harris misses 2-pt jump shot from 5 ft,17,22
71,1,4:09.0,,Offensive rebound by N. Pelle,17,22
72,1,4:09.0,,N. Pelle makes 2-pt layup at rim,17,24
73,1,3:56.0,N. Alexander-Walker makes 3-pt jump shot from 26 ft (assist by J. Okafor),,20,24
74,1,3:44.0,,Turnover by J. Ennis (bad pass),20,24
75,1,3:44.0,,M. Scott enters the game for T. Harris,20,24
76,1,3:31.0,J. Okafor misses 2-pt hook shot from 5 ft (block by N. Pelle),,20,24
77,1,3:27.0,,Defensive rebound by J. Ennis,20,24
78,1,3:25.0,,B. Simmons makes 2-pt dunk from 1 ft (assist by J. Ennis),20,26
79,1,3:10.0,B. Ingram misses 2-pt dunk from 2 ft (block by N. Pelle),,20,26
80,1,3:07.0,,Defensive rebound by M. Scott,20,26
81,1,3:04.0,,J. Ennis makes 3-pt jump shot from 24 ft (assist by B. Simmons),20,29
82,1,3:04.0,,Shooting foul by N. Alexander-Walker (drawn by J. Ennis),20,29
83,1,3:04.0,,Instant Replay (Request: Ruling Stands),20,29
84,1,3:04.0,,J. Ennis misses free throw 1 of 1,20,29
85,1,3:02.0,Defensive rebound by J. Okafor,,20,29
86,1,2:47.0,J. Okafor makes 2-pt dunk from 1 ft (assist by J. Holiday),,22,29
87,1,2:24.0,,B. Simmons makes 2-pt dunk from 1 ft,22,31
88,1,2:20.0,,Philadelphia full timeout,22,31
89,1,2:20.0,L. Ball enters the game for J. Holiday,,22,31
90,1,2:20.0,,J. Embiid enters the game for J. Ennis,22,31
91,1,2:20.0,,F. Korkmaz enters the game for N. Pelle,22,31
92,1,2:20.0,,R. Neto enters the game for B. Simmons,22,31
93,1,2:20.0,,J. Richardson enters the game for M. Thybulle,22,31
94,1,2:02.0,J. Okafor misses 2-pt jump shot from 7 ft,,22,31
95,1,1:59.0,,Defensive rebound by J. Embiid,22,31
96,1,1:40.0,,J. Embiid makes 2-pt jump shot from 8 ft,22,33
97,1,1:40.0,,Shooting foul by J. Okafor (drawn by J. Embiid),22,33
98,1,1:40.0,,J. Embiid makes free throw 1 of 1,22,34
