,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,WASHINGTON_ACTION,CLEVELAND_SCORE,WASHINGTON_SCORE
0,1,11:44.0,Turnover by K. Love (bad pass; steal by I. Mahinmi),,0,0
1,1,11:41.0,,I. Bonga makes 2-pt layup from 2 ft,0,2
2,1,11:41.0,,Shooting foul by C. Osman (drawn by I. Mahinmi),0,2
3,1,11:41.0,,I. Bonga makes free throw 1 of 1,0,3
4,1,11:30.0,A. Drummond makes 2-pt dunk from 1 ft (assist by C. Osman),,2,3
5,1,11:10.0,,R. Hachimura makes 2-pt jump shot from 13 ft (assist by I. Mahinmi),2,5
6,1,10:54.0,K. Love makes 3-pt jump shot from 27 ft (assist by A. Drummond),,5,5
7,1,10:30.0,,I. Smith misses 2-pt jump shot from 16 ft,5,5
8,1,10:27.0,Defensive rebound by A. Drummond,,5,5
9,1,10:25.0,Turnover by A. Drummond (bad pass; steal by B. Beal),,5,5
10,1,10:20.0,,B. Beal misses 2-pt jump shot from 13 ft,5,5
11,1,10:12.0,,Offensive rebound by I. Bonga,5,5
12,1,10:12.0,,I. Bonga makes 2-pt layup at rim,5,7
13,1,9:54.0,A. Drummond misses 2-pt layup from 4 ft,,5,7
14,1,9:50.0,Offensive rebound by A. Drummond,,5,7
15,1,9:50.0,A. Drummond makes 2-pt layup from 1 ft,,7,7
16,1,9:33.0,,R. Hachimura makes 2-pt layup from 2 ft (assist by I. Mahinmi),7,9
17,1,9:18.0,Turnover by C. Osman (out of bounds lost ball),,7,9
18,1,9:03.0,,I. Mahinmi misses 2-pt layup from 3 ft,7,9
19,1,8:57.0,,Offensive rebound by R. Hachimura,7,9
20,1,8:57.0,,R. Hachimura makes 2-pt dunk at rim,7,11
21,1,8:51.0,D. Garland makes 2-pt layup from 10 ft,,9,11
22,1,8:51.0,Shooting foul by I. Mahinmi (drawn by D. Garland),,9,11
23,1,8:51.0,D. Garland makes free throw 1 of 1,,10,11
24,1,8:42.0,,Offensive foul by B. Beal (drawn by C. Sexton),10,11
25,1,8:42.0,,Turnover by B. Beal (offensive foul),10,11
26,1,8:28.0,K. Love misses 3-pt jump shot from 23 ft,,10,11
27,1,8:25.0,,Defensive rebound by I. Smith,10,11
28,1,8:23.0,,Shooting foul by D. Garland (drawn by B. Beal),10,11
29,1,8:23.0,,B. Beal makes free throw 1 of 2,10,12
30,1,8:23.0,,B. Beal makes free throw 2 of 2,10,13
31,1,8:15.0,Offensive foul by A. Drummond (drawn by I. Mahinmi),,10,13
