,QUARTER,TIME_REMAINING,INDIANA_ACTION,PORTLAND_ACTION,INDIANA_SCORE,PORTLAND_SCORE
0,1,11:35.0,,Turnover by Team (shot clock),0,0
1,1,11:26.0,Turnover by (8 sec),,0,0
2,1,11:18.0,,Turnover by T. Ariza (bad pass),0,0
3,1,11:04.0,D. Sabonis makes 2-pt hook shot from 4 ft (assist by T. McConnell),,2,0
4,1,10:49.0,,Shooting foul by J. Sampson (drawn by H. Whiteside),2,0
5,1,10:49.0,,H. Whiteside makes free throw 1 of 2,2,1
6,1,10:49.0,,H. Whiteside misses free throw 2 of 2,2,1
7,1,10:46.0,Defensive rebound by J. Sampson,,2,1
8,1,10:35.0,D. Sabonis misses 2-pt jump shot from 15 ft,,2,1
9,1,10:32.0,,Defensive rebound by C. Anthony,2,1
10,1,10:21.0,,C. McCollum makes 3-pt jump shot from 25 ft (assist by D. Lillard),2,4
11,1,10:07.0,J. Lamb makes 2-pt layup from 2 ft,,4,4
12,1,10:07.0,Shooting foul by C. McCollum (drawn by J. Lamb),,4,4
13,1,10:07.0,J. Lamb makes free throw 1 of 1,,5,4
14,1,9:57.0,,D. Lillard makes 3-pt jump shot from 29 ft (assist by C. McCollum),5,7
15,1,9:45.0,T. Warren misses 2-pt jump shot from 12 ft,,5,7
16,1,9:44.0,,Defensive rebound by Team,5,7
17,1,9:36.0,,C. McCollum misses 2-pt jump shot from 11 ft,5,7
18,1,9:34.0,Defensive rebound by T. Warren,,5,7
19,1,9:17.0,T. Warren misses 3-pt jump shot from 25 ft,,5,7
20,1,9:13.0,,Defensive rebound by C. Anthony,5,7
21,1,9:02.0,,C. Anthony makes 2-pt jump shot from 17 ft,5,9
22,1,8:48.0,T. Warren misses 2-pt jump shot from 14 ft,,5,9
23,1,8:46.0,,Defensive rebound by H. Whiteside,5,9
24,1,8:39.0,,D. Lillard makes 2-pt jump shot from 4 ft,5,11
25,1,8:39.0,,Shooting foul by T. Warren (drawn by D. Lillard),5,11
26,1,8:39.0,,D. Lillard makes free throw 1 of 1,5,12
27,1,8:28.0,T. McConnell misses 2-pt layup from 2 ft (block by H. Whiteside),,5,12
28,1,8:27.0,,Defensive rebound by T. Ariza,5,12
29,1,8:22.0,,C. McCollum misses 2-pt layup from 1 ft,5,12
30,1,8:21.0,Defensive rebound by J. Sampson,,5,12
31,1,8:12.0,T. McConnell misses 2-pt layup from 1 ft,,5,12
32,1,8:10.0,,Defensive rebound by D. Lillard,5,12
33,1,8:04.0,,Turnover by C. McCollum (lost ball; steal by T. McConnell),5,12
34,1,7:57.0,J. Sampson misses 2-pt layup from 1 ft,,5,12
35,1,7:54.0,,Defensive rebound by T. Ariza,5,12
36,1,7:48.0,,T. Ariza makes 2-pt layup from 1 ft (assist by D. Lillard),5,14
37,1,7:40.0,Indiana full timeout,,5,14
38,1,7:32.0,J. Lamb misses 2-pt jump shot from 19 ft,,5,14
39,1,7:31.0,,Defensive rebound by D. Lillard,5,14
40,1,7:25.0,,C. McCollum misses 3-pt jump shot from 25 ft (block by J. Lamb),5,14
41,1,7:24.0,Defensive rebound by Team,,5,14
42,1,7:12.0,D. Sabonis makes 2-pt jump shot from 19 ft (assist by T. McConnell),,7,14
43,1,6:48.0,,C. McCollum makes 3-pt jump shot from 28 ft (assist by D. Lillard),7,17
44,1,6:28.0,J. Lamb misses 3-pt jump shot from 26 ft,,7,17
45,1,6:27.0,,Defensive rebound by D. Lillard,7,17
46,1,6:23.0,,C. McCollum misses 2-pt layup from 1 ft,7,17
47,1,6:21.0,Defensive rebound by J. Sampson,,7,17
48,1,6:13.0,T. McConnell makes 2-pt layup from 1 ft (assist by T. Warren),,9,17
49,1,6:00.0,,H. Whiteside makes 2-pt layup from 2 ft (assist by D. Lillard),9,19
50,1,5:39.0,Shooting foul by H. Whiteside (drawn by D. Sabonis),,9,19
51,1,5:39.0,D. Sabonis makes free throw 1 of 2,,10,19
52,1,5:39.0,J. Holiday enters the game for J. Sampson,,10,19
53,1,5:39.0,D. Sabonis makes free throw 2 of 2,,11,19
54,1,5:24.0,,T. Ariza misses 3-pt jump shot from 25 ft,11,19
55,1,5:20.0,Defensive rebound by J. Holiday,,11,19
56,1,5:15.0,J. Holiday misses 3-pt jump shot from 26 ft,,11,19
57,1,5:13.0,,Defensive rebound by H. Whiteside,11,19
58,1,5:00.0,,C. Anthony misses 2-pt layup from 1 ft,11,19
59,1,4:59.0,,Offensive rebound by C. Anthony,11,19
60,1,4:58.0,,C. Anthony makes 2-pt layup from 1 ft,11,21
61,1,4:48.0,T. Warren makes 2-pt jump shot from 17 ft (assist by D. Sabonis),,13,21
62,1,4:28.0,,C. Anthony misses 2-pt jump shot from 11 ft,13,21
63,1,4:25.0,,Offensive rebound by H. Whiteside,13,21
64,1,4:25.0,,H. Whiteside makes 2-pt layup from 1 ft,13,23
65,1,4:11.0,D. Sabonis misses 3-pt jump shot from 25 ft,,13,23
66,1,4:08.0,,Defensive rebound by H. Whiteside,13,23
67,1,4:00.0,,Offensive foul by H. Whiteside (drawn by T. Warren),13,23
68,1,4:00.0,,Turnover by H. Whiteside (offensive foul),13,23
69,1,4:00.0,A. Holiday enters the game for T. McConnell,,13,23
70,1,4:00.0,,N. Little enters the game for C. Anthony,13,23
71,1,4:00.0,,A. Simons enters the game for C. McCollum,13,23
72,1,3:49.0,D. Sabonis makes 2-pt layup from 1 ft (assist by J. Lamb),,15,23
73,1,3:32.0,,H. Whiteside misses 2-pt layup from 1 ft,15,23
74,1,3:32.0,,Offensive rebound by Team,15,23
75,1,3:32.0,Loose ball foul by D. Sabonis (drawn by H. Whiteside),,15,23
76,1,3:27.0,,Shooting foul by T. Warren (drawn by D. Lillard),15,23
77,1,3:27.0,,D. Lillard makes free throw 1 of 3,15,24
78,1,3:27.0,,D. Lillard makes free throw 2 of 3,15,25
79,1,3:27.0,D. McDermott enters the game for T. Warren,,15,25
80,1,3:27.0,,G. Trent enters the game for T. Ariza,15,25
81,1,3:27.0,,D. Lillard makes free throw 3 of 3,15,26
82,1,3:13.0,J. Lamb makes 2-pt jump shot from 11 ft,,17,26
83,1,3:01.0,,G. Trent misses 3-pt jump shot from 25 ft,17,26
84,1,2:58.0,Defensive rebound by J. Holiday,,17,26
85,1,2:50.0,Personal foul by N. Little (drawn by J. Lamb),,17,26
86,1,2:50.0,,Portland full timeout,17,26
87,1,2:38.0,D. Sabonis makes 2-pt hook shot from 1 ft,,19,26
88,1,2:16.0,,A. Simons misses 2-pt layup from 2 ft,19,26
89,1,2:15.0,Defensive rebound by D. Sabonis,,19,26
90,1,2:05.0,A. Holiday makes 2-pt layup from 1 ft (assist by D. Sabonis),,21,26
91,1,1:44.0,,Turnover by D. Lillard (bad pass; steal by J. Lamb),21,26
92,1,1:39.0,J. Lamb makes 2-pt layup from 1 ft,,23,26
93,1,1:27.0,,Shooting foul by J. Holiday (drawn by D. Lillard),23,26
94,1,1:27.0,,D. Lillard misses free throw 1 of 3,23,26
95,1,1:27.0,,Offensive rebound by Team,23,26
