,QUARTER,TIME_REMAINING,UTAH_ACTION,BROOKLYN_ACTION,UTAH_SCORE,BROOKLYN_SCORE
0,1,11:42.0,,T. Prince misses 3-pt jump shot from 25 ft,0,0
1,1,11:39.0,Defensive rebound by R. Gobert,,0,0
2,1,11:20.0,R. Gobert makes 2-pt dunk at rim (assist by R. O'Neale),,2,0
3,1,11:06.0,,Turnover by T. Prince (bad pass; steal by D. Mitchell),2,0
4,1,11:02.0,J. Ingles makes 3-pt jump shot from 24 ft (assist by D. Mitchell),,5,0
5,1,10:43.0,,J. Allen makes 2-pt layup from 1 ft (assist by K. Irving),5,2
6,1,10:33.0,R. O'Neale misses 3-pt jump shot from 25 ft,,5,2
7,1,10:31.0,,Defensive rebound by T. Prince,5,2
8,1,10:15.0,,S. Dinwiddie makes 2-pt jump shot from 13 ft,5,4
9,1,9:46.0,J. Ingles misses 3-pt jump shot from 25 ft,,5,4
10,1,9:41.0,,Defensive rebound by S. Dinwiddie,5,4
11,1,9:35.0,,S. Dinwiddie misses 2-pt jump shot from 15 ft,5,4
12,1,9:33.0,,Offensive rebound by S. Dinwiddie,5,4
13,1,9:28.0,,K. Irving makes 3-pt jump shot from 25 ft (assist by S. Dinwiddie),5,7
14,1,9:14.0,R. Gobert makes 2-pt dunk from 1 ft,,7,7
15,1,9:03.0,,Personal foul by R. O'Neale (drawn by J. Allen),7,7
16,1,8:55.0,,K. Irving makes 2-pt jump shot from 15 ft,7,9
17,1,8:33.0,Turnover by D. Mitchell (lost ball; steal by K. Irving),,7,9
18,1,8:28.0,,T. Prince makes 2-pt layup from 3 ft (assist by K. Irving),7,11
19,1,8:04.0,B. Bogdanović misses 3-pt jump shot from 25 ft,,7,11
20,1,8:02.0,Offensive rebound by Team,,7,11
21,1,8:02.0,,Technical foul by J. Ingles,7,11
22,1,8:02.0,,K. Irving makes technical free throw,7,12
23,1,7:52.0,D. Mitchell misses 3-pt jump shot from 25 ft,,7,12
24,1,7:48.0,Offensive rebound by R. Gobert,,7,12
25,1,7:43.0,B. Bogdanović makes 2-pt jump shot from 17 ft (assist by R. Gobert),,9,12
26,1,7:28.0,,Personal foul by D. Mitchell (drawn by J. Harris),9,12
27,1,7:19.0,,J. Allen makes 2-pt layup from 1 ft (assist by S. Dinwiddie),9,14
28,1,7:02.0,B. Bogdanović makes 2-pt layup from 1 ft,,11,14
29,1,6:48.0,,K. Irving misses 2-pt jump shot from 11 ft,11,14
30,1,6:46.0,Defensive rebound by R. Gobert,,11,14
31,1,6:33.0,B. Bogdanović makes 3-pt jump shot from 26 ft (assist by D. Mitchell),,14,14
32,1,6:31.0,,Brooklyn full timeout,14,14
33,1,6:31.0,J. Clarkson enters the game for D. Mitchell,,14,14
34,1,6:31.0,,C. LeVert enters the game for S. Dinwiddie,14,14
35,1,6:17.0,,J. Harris makes 2-pt jump shot from 12 ft (assist by K. Irving),14,16
36,1,5:56.0,R. Gobert makes 2-pt layup from 2 ft (assist by J. Ingles),,16,16
37,1,5:39.0,,J. Harris misses 3-pt jump shot from 25 ft,16,16
38,1,5:36.0,Defensive rebound by J. Ingles,,16,16
39,1,5:28.0,J. Ingles makes 2-pt layup from 4 ft,,18,16
40,1,5:28.0,Shooting foul by J. Allen (drawn by J. Ingles),,18,16
41,1,5:28.0,,D. Jordan enters the game for J. Allen,18,16
42,1,5:28.0,J. Ingles makes free throw 1 of 1,,19,16
43,1,5:17.0,,Turnover by C. LeVert (traveling),19,16
44,1,5:05.0,B. Bogdanović misses 3-pt jump shot from 26 ft,,19,16
45,1,5:02.0,,Defensive rebound by D. Jordan,19,16
46,1,4:55.0,,K. Irving misses 2-pt jump shot from 5 ft,19,16
47,1,4:51.0,,Offensive rebound by K. Irving,19,16
48,1,4:45.0,,K. Irving misses 2-pt jump shot from 10 ft,19,16
49,1,4:42.0,Defensive rebound by R. Gobert,,19,16
50,1,4:26.0,J. Ingles misses 2-pt jump shot from 3 ft,,19,16
51,1,4:24.0,,Defensive rebound by Team,19,16
52,1,4:24.0,E. Mudiay enters the game for J. Ingles,,19,16
53,1,4:24.0,,R. Kurucs enters the game for K. Irving,19,16
54,1,4:24.0,,T. Luwawu-Cabarrot enters the game for T. Prince,19,16
55,1,4:05.0,,C. LeVert misses 2-pt layup from 3 ft,19,16
56,1,4:00.0,,Offensive rebound by R. Kurucs,19,16
57,1,4:00.0,,R. Kurucs makes 2-pt layup at rim,19,18
58,1,3:46.0,Turnover by B. Bogdanović (lost ball; steal by T. Luwawu-Cabarrot),,19,18
59,1,3:40.0,,T. Luwawu-Cabarrot makes 2-pt layup from 2 ft,19,20
60,1,3:40.0,Utah full timeout,,19,20
61,1,3:40.0,D. Mitchell enters the game for B. Bogdanović,,19,20
62,1,3:40.0,G. Niang enters the game for R. O'Neale,,19,20
63,1,3:40.0,,S. Dinwiddie enters the game for J. Harris,19,20
64,1,3:18.0,E. Mudiay makes 2-pt jump shot from 12 ft,,21,20
65,1,3:08.0,,C. LeVert misses 2-pt jump shot from 19 ft,21,20
66,1,3:04.0,Defensive rebound by J. Clarkson,,21,20
67,1,2:59.0,J. Clarkson makes 2-pt jump shot from 15 ft,,23,20
68,1,2:45.0,,Turnover by R. Kurucs (out of bounds lost ball),23,20
69,1,2:45.0,T. Bradley enters the game for R. Gobert,,23,20
70,1,2:27.0,J. Clarkson misses 3-pt jump shot from 26 ft,,23,20
71,1,2:23.0,,Defensive rebound by D. Jordan,23,20
72,1,2:17.0,,S. Dinwiddie misses 2-pt jump shot from 13 ft,23,20
73,1,2:10.0,Defensive rebound by E. Mudiay,,23,20
74,1,2:07.0,G. Niang misses 3-pt jump shot from 24 ft,,23,20
75,1,2:07.0,Offensive rebound by J. Clarkson,,23,20
76,1,2:00.0,T. Bradley makes 2-pt layup from 1 ft (assist by J. Clarkson),,25,20
77,1,2:00.0,,Brooklyn full timeout,25,20
78,1,1:47.0,,Turnover by C. LeVert (bad pass; steal by T. Bradley),25,20
79,1,1:36.0,E. Mudiay misses 3-pt jump shot from 25 ft,,25,20
80,1,1:31.0,,Defensive rebound by R. Kurucs,25,20
81,1,1:27.0,,R. Kurucs misses 2-pt layup from 2 ft,25,20
82,1,1:23.0,Defensive rebound by T. Bradley,,25,20
83,1,1:17.0,G. Niang misses 2-pt jump shot from 7 ft,,25,20
84,1,1:17.0,,Defensive rebound by D. Jordan,25,20
85,1,0:59.0,,C. LeVert misses 2-pt layup from 1 ft,25,20
86,1,0:58.0,,Offensive rebound by D. Jordan,25,20
87,1,0:58.0,,D. Jordan makes 2-pt dunk at rim,25,22
88,1,0:46.0,T. Bradley misses 2-pt jump shot from 3 ft,,25,22
89,1,0:43.0,,Defensive rebound by T. Luwawu-Cabarrot,25,22
90,1,0:40.0,,Shooting foul by T. Bradley (drawn by S. Dinwiddie),25,22
91,1,0:40.0,,S. Dinwiddie misses free throw 1 of 2,25,22
92,1,0:40.0,,Offensive rebound by Team,25,22
93,1,0:40.0,,S. Dinwiddie misses free throw 2 of 2,25,22
94,1,0:39.0,,Offensive rebound by R. Kurucs,25,22
95,1,0:38.0,,R. Kurucs makes 2-pt layup at rim,25,24
96,1,0:31.0,D. Mitchell misses 3-pt jump shot from 25 ft,,25,24
97,1,0:27.0,,Defensive rebound by D. Jordan,25,24
98,1,0:11.0,,R. Kurucs makes 2-pt dunk from 1 ft (assist by S. Dinwiddie),25,26
99,1,0:01.0,Shooting foul by T. Luwawu-Cabarrot (drawn by D. Mitchell),,25,26
100,1,0:01.0,D. Mitchell makes free throw 1 of 2,,26,26
101,1,0:01.0,D. Mitchell makes free throw 2 of 2,,27,26
102,1,0:00.0,,Turnover by D. Jordan (bad pass; steal by E. Mudiay),27,26
103,1,0:00.0,E. Mudiay makes 3-pt jump shot from 26 ft,,30,26
104,1,0:00.0,Instant Replay (Request: Ruling Stands),,30,26
105,2,11:46.0,D. Mitchell makes 2-pt jump shot from 13 ft,,32,26
106,2,11:28.0,,C. LeVert makes 2-pt layup from 6 ft,32,28
107,2,11:08.0,G. Niang misses 3-pt jump shot from 23 ft,,32,28
108,2,11:05.0,,Defensive rebound by D. Jordan,32,28
109,2,10:54.0,,S. Dinwiddie misses 2-pt layup from 1 ft,32,28
110,2,10:52.0,Defensive rebound by G. Niang,,32,28
111,2,10:49.0,Turnover by J. Clarkson (out of bounds lost ball),,32,28
112,2,10:36.0,,Offensive foul by D. Jordan (drawn by R. Tucker),32,28
113,2,10:36.0,,Turnover by D. Jordan (offensive foul),32,28
114,2,10:20.0,G. Niang misses 3-pt jump shot from 25 ft,,32,28
115,2,10:17.0,Offensive rebound by T. Bradley,,32,28
116,2,10:17.0,Shooting foul by R. Kurucs (drawn by T. Bradley),,32,28
117,2,10:17.0,T. Bradley makes free throw 1 of 2,,33,28
118,2,10:17.0,T. Bradley makes free throw 2 of 2,,34,28
119,2,10:12.0,,Personal foul by J. Clarkson (drawn by K. Irving),34,28
120,2,10:07.0,,K. Irving makes 2-pt jump shot from 20 ft,34,30
121,2,9:48.0,J. Clarkson makes 2-pt jump shot from 7 ft,,36,30
122,2,9:30.0,,R. Kurucs misses 2-pt layup from 2 ft,36,30
123,2,9:28.0,Defensive rebound by T. Bradley,,36,30
124,2,9:15.0,J. Clarkson makes 2-pt layup from 2 ft,,38,30
125,2,8:54.0,,D. Jordan makes 2-pt dunk from 2 ft (assist by C. LeVert),38,32
126,2,8:44.0,D. Mitchell misses 2-pt jump shot from 11 ft,,38,32
127,2,8:43.0,,Defensive rebound by D. Jordan,38,32
128,2,8:35.0,,Turnover by K. Irving (lost ball; steal by T. Bradley),38,32
129,2,8:24.0,J. Clarkson misses 2-pt jump shot from 7 ft,,38,32
130,2,8:21.0,,Defensive rebound by D. Jordan,38,32
131,2,8:01.0,,S. Dinwiddie makes 2-pt layup from 3 ft,38,34
132,2,8:01.0,Utah full timeout,,38,34
133,2,8:01.0,B. Bogdanović enters the game for T. Bradley,,38,34
134,2,8:01.0,R. Gobert enters the game for D. Mitchell,,38,34
135,2,8:01.0,E. Mudiay enters the game for G. Niang,,38,34
136,2,8:01.0,R. O'Neale enters the game for R. Tucker,,38,34
137,2,8:01.0,,J. Harris enters the game for S. Dinwiddie,38,34
138,2,8:01.0,,T. Prince enters the game for R. Kurucs,38,34
139,2,7:47.0,B. Bogdanović misses 2-pt jump shot from 6 ft,,38,34
140,2,7:43.0,Offensive rebound by R. Gobert,,38,34
141,2,7:36.0,E. Mudiay misses 3-pt jump shot from 25 ft,,38,34
142,2,7:31.0,,Defensive rebound by C. LeVert,38,34
143,2,7:27.0,,C. LeVert makes 3-pt jump shot from 25 ft,38,37
144,2,7:04.0,R. O'Neale misses 3-pt jump shot from 23 ft,,38,37
145,2,7:01.0,,Defensive rebound by D. Jordan,38,37
146,2,6:55.0,,C. LeVert misses 3-pt jump shot from 25 ft,38,37
147,2,6:53.0,Defensive rebound by Team,,38,37
148,2,6:53.0,,J. Allen enters the game for D. Jordan,38,37
149,2,6:41.0,R. Gobert makes 2-pt dunk at rim (assist by E. Mudiay),,40,37
150,2,6:29.0,,K. Irving makes 2-pt jump shot from 16 ft,40,39
151,2,6:21.0,J. Clarkson makes 3-pt jump shot from 25 ft (assist by E. Mudiay),,43,39
152,2,6:02.0,,K. Irving misses 3-pt jump shot from 25 ft,43,39
153,2,5:58.0,Defensive rebound by R. Gobert,,43,39
154,2,5:48.0,J. Clarkson misses 3-pt jump shot from 26 ft,,43,39
155,2,5:46.0,,Defensive rebound by T. Prince,43,39
156,2,5:40.0,,K. Irving makes 2-pt jump shot from 16 ft,43,41
157,2,5:16.0,J. Clarkson makes 2-pt jump shot from 6 ft,,45,41
158,2,4:58.0,,T. Prince makes 2-pt layup from 1 ft (assist by J. Allen),45,43
159,2,4:45.0,E. Mudiay misses 2-pt layup from 1 ft (block by K. Irving),,45,43
160,2,4:45.0,Offensive rebound by Team,,45,43
161,2,4:45.0,J. Ingles enters the game for J. Clarkson,,45,43
162,2,4:45.0,D. Mitchell enters the game for E. Mudiay,,45,43
163,2,4:45.0,,S. Dinwiddie enters the game for K. Irving,45,43
164,2,4:45.0,,T. Luwawu-Cabarrot enters the game for C. LeVert,45,43
165,2,4:36.0,D. Mitchell misses 2-pt jump shot from 11 ft,,45,43
166,2,4:33.0,,Defensive rebound by T. Luwawu-Cabarrot,45,43
167,2,4:26.0,,Shooting foul by R. O'Neale (drawn by S. Dinwiddie),45,43
168,2,4:26.0,,S. Dinwiddie misses free throw 1 of 2,45,43
169,2,4:26.0,,Offensive rebound by Team,45,43
170,2,4:26.0,,S. Dinwiddie misses free throw 2 of 2,45,43
171,2,4:23.0,Defensive rebound by B. Bogdanović,,45,43
172,2,4:10.0,R. Gobert makes 2-pt layup from 2 ft (assist by D. Mitchell),,47,43
173,2,4:10.0,Shooting foul by J. Harris (drawn by R. Gobert),,47,43
174,2,4:10.0,R. Gobert makes free throw 1 of 1,,48,43
175,2,3:46.0,,J. Allen misses 2-pt jump shot from 20 ft,48,43
176,2,3:44.0,Defensive rebound by J. Ingles,,48,43
177,2,3:37.0,J. Ingles makes 3-pt jump shot from 25 ft (assist by D. Mitchell),,51,43
178,2,3:28.0,,Personal foul by B. Bogdanović (drawn by J. Allen),51,43
179,2,3:13.0,,S. Dinwiddie misses 3-pt jump shot from 26 ft,51,43
180,2,3:11.0,Defensive rebound by R. Gobert,,51,43
181,2,3:01.0,R. Gobert misses 2-pt layup from 1 ft (block by J. Allen),,51,43
182,2,2:58.0,,Defensive rebound by T. Prince,51,43
183,2,2:53.0,,J. Allen makes 2-pt dunk from 1 ft (assist by S. Dinwiddie),51,45
184,2,2:34.0,D. Mitchell misses 2-pt jump shot from 8 ft,,51,45
185,2,2:32.0,,Defensive rebound by T. Prince,51,45
186,2,2:27.0,,S. Dinwiddie misses 2-pt jump shot from 7 ft (block by R. Gobert),51,45
187,2,2:27.0,,Offensive rebound by Team,51,45
188,2,2:26.0,,Brooklyn full timeout,51,45
189,2,2:22.0,,J. Harris misses 3-pt jump shot from 25 ft,51,45
190,2,2:19.0,Defensive rebound by R. Gobert,,51,45
191,2,2:06.0,D. Mitchell misses 2-pt jump shot from 10 ft,,51,45
