,QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,UTAH_ACTION,SACRAMENTO_SCORE,UTAH_SCORE
0,1,11:42.0,,J. Ingles misses 3-pt jump shot from 25 ft,0,0
1,1,11:39.0,,Offensive rebound by R. Gobert,0,0
2,1,11:38.0,,R. Gobert makes 2-pt dunk from 2 ft,0,2
3,1,11:17.0,M. Bagley makes 2-pt jump shot from 8 ft,,2,2
4,1,11:01.0,,R. Gobert makes 2-pt dunk from 2 ft (assist by D. Mitchell),2,4
5,1,10:45.0,D. Fox misses 3-pt jump shot from 25 ft,,2,4
6,1,10:43.0,Offensive rebound by M. Bagley,,2,4
7,1,10:41.0,M. Bagley makes 2-pt jump shot from 13 ft,,4,4
8,1,10:17.0,,B. Bogdanović makes 2-pt layup from 2 ft,4,6
9,1,9:58.0,B. Hield makes 2-pt layup from 3 ft (assist by M. Bagley),,6,6
10,1,9:42.0,,D. Mitchell makes 3-pt jump shot from 25 ft (assist by J. Ingles),6,9
11,1,9:30.0,B. Hield misses 2-pt jump shot from 17 ft,,6,9
12,1,9:26.0,,Defensive rebound by R. Gobert,6,9
13,1,9:19.0,,B. Bogdanović makes 3-pt jump shot from 23 ft (assist by R. O'Neale),6,12
14,1,9:03.0,D. Fox misses 2-pt jump shot from 10 ft,,6,12
15,1,9:00.0,,Defensive rebound by J. Ingles,6,12
16,1,8:49.0,,R. Gobert makes 2-pt layup from 2 ft (assist by J. Ingles),6,14
17,1,8:49.0,Sacramento full timeout,,6,14
18,1,8:37.0,M. Bagley makes 2-pt layup from 2 ft (assist by D. Fox),,8,14
19,1,8:13.0,,Shooting foul by N. Bjelica (drawn by R. Gobert),8,14
20,1,8:13.0,,R. Gobert makes free throw 1 of 2,8,15
21,1,8:13.0,,R. Gobert makes free throw 2 of 2,8,16
22,1,8:05.0,D. Fox misses 2-pt jump shot from 13 ft,,8,16
23,1,8:02.0,,Defensive rebound by R. O'Neale,8,16
24,1,7:43.0,,D. Mitchell makes 3-pt jump shot from 25 ft,8,19
25,1,7:27.0,D. Fox makes 2-pt jump shot from 11 ft (assist by B. Hield),,10,19
26,1,7:14.0,,R. Gobert makes 2-pt dunk from 1 ft (assist by J. Ingles),10,21
27,1,6:56.0,M. Bagley misses 2-pt jump shot from 19 ft,,10,21
28,1,6:53.0,,Defensive rebound by J. Ingles,10,21
29,1,6:35.0,,B. Bogdanović makes 3-pt jump shot from 26 ft,10,24
30,1,6:14.0,H. Barnes misses 2-pt jump shot from 20 ft,,10,24
31,1,6:11.0,,Defensive rebound by R. O'Neale,10,24
32,1,6:04.0,,J. Ingles misses 2-pt jump shot from 9 ft (block by M. Bagley),10,24
33,1,6:01.0,Defensive rebound by N. Bjelica,,10,24
34,1,6:01.0,Personal take foul by D. Mitchell (drawn by M. Bagley),,10,24
