,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,TORONTO_ACTION,CHARLOTTE_SCORE,TORONTO_SCORE
0,1,11:37.0,Offensive foul by P. Washington (drawn by R. Hollis-Jefferson),,0,0
1,1,11:37.0,Turnover by P. Washington (offensive foul),,0,0
2,1,11:23.0,,N. Powell misses 3-pt jump shot from 26 ft,0,0
3,1,11:19.0,Defensive rebound by P. Washington,,0,0
4,1,11:16.0,Turnover by B. Biyombo (lost ball; steal by K. Lowry),,0,0
5,1,11:12.0,,N. Powell makes 3-pt jump shot from 27 ft (assist by R. Hollis-Jefferson),0,3
6,1,10:54.0,Personal foul by O. Anunoby (drawn by B. Biyombo),,0,3
7,1,10:48.0,P. Washington misses 3-pt jump shot from 23 ft,,0,3
8,1,10:45.0,,Defensive rebound by R. Hollis-Jefferson,0,3
9,1,10:40.0,,K. Lowry misses 3-pt jump shot from 26 ft,0,3
10,1,10:40.0,Defensive rebound by T. Rozier,,0,3
11,1,10:34.0,P. Washington makes 2-pt dunk at rim (assist by T. Rozier),,2,3
12,1,10:15.0,,R. Hollis-Jefferson misses 2-pt layup from 3 ft,2,3
13,1,10:13.0,Defensive rebound by T. Rozier,,2,3
14,1,10:08.0,D. Graham misses 3-pt jump shot from 27 ft,,2,3
15,1,10:07.0,,Defensive rebound by Team,2,3
16,1,9:53.0,,P. Siakam misses 2-pt hook shot from 5 ft (block by B. Biyombo),2,3
17,1,9:51.0,Defensive rebound by B. Biyombo,,2,3
18,1,9:37.0,T. Rozier misses 2-pt jump shot from 14 ft,,2,3
19,1,9:33.0,,Defensive rebound by R. Hollis-Jefferson,2,3
20,1,9:22.0,,P. Siakam misses 2-pt hook shot from 5 ft,2,3
21,1,9:20.0,Defensive rebound by B. Biyombo,,2,3
22,1,9:16.0,B. Biyombo misses 2-pt layup from 5 ft (block by K. Lowry),,2,3
23,1,9:13.0,,Defensive rebound by N. Powell,2,3
24,1,9:09.0,,O. Anunoby makes 2-pt layup at rim,2,5
25,1,8:57.0,,Violation by Team (kicked ball),2,5
26,1,8:50.0,D. Graham misses 2-pt layup from 2 ft,,2,5
27,1,8:48.0,,Defensive rebound by R. Hollis-Jefferson,2,5
28,1,8:45.0,,N. Powell misses 2-pt layup from 4 ft,2,5
29,1,8:43.0,Defensive rebound by P. Washington,,2,5
30,1,8:35.0,M. Bridges makes 2-pt hook shot from 4 ft (assist by T. Rozier),,4,5
31,1,8:20.0,,N. Powell makes 3-pt jump shot from 24 ft (assist by P. Siakam),4,8
32,1,7:59.0,M. Bridges misses 2-pt hook shot from 7 ft,,4,8
