,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,PHOENIX_ACTION,WASHINGTON_SCORE,PHOENIX_SCORE
0,1,11:40.0,B. Beal makes 2-pt layup at rim,,2,0
1,1,11:21.0,,D. Booker misses 2-pt jump shot from 12 ft,2,0
2,1,11:18.0,Defensive rebound by T. Bryant,,2,0
3,1,11:09.0,T. Bryant makes 2-pt jump shot from 15 ft (assist by B. Beal),,4,0
4,1,10:56.0,,Personal foul by T. Bryant (drawn by R. Rubio),4,0
5,1,10:46.0,,K. Oubre misses 3-pt jump shot from 27 ft,4,0
6,1,10:42.0,Defensive rebound by T. Bryant,,4,0
7,1,10:35.0,R. Hachimura misses 2-pt layup from 3 ft,,4,0
8,1,10:31.0,,Defensive rebound by K. Oubre,4,0
9,1,10:27.0,,D. Booker misses 3-pt jump shot from 26 ft,4,0
10,1,10:23.0,Defensive rebound by R. Hachimura,,4,0
11,1,10:17.0,T. Brown misses 2-pt jump shot from 18 ft,,4,0
12,1,10:15.0,,Defensive rebound by F. Kaminsky,4,0
13,1,10:09.0,,Shooting foul by I. Thomas (drawn by R. Rubio),4,0
14,1,10:09.0,,R. Rubio misses free throw 1 of 2,4,0
15,1,10:09.0,,Offensive rebound by Team,4,0
16,1,10:09.0,,R. Rubio makes free throw 2 of 2,4,1
17,1,9:48.0,B. Beal makes 2-pt jump shot from 18 ft (assist by T. Bryant),,6,1
18,1,9:37.0,,Shooting foul by B. Beal (drawn by D. Booker),6,1
19,1,9:37.0,,D. Booker makes free throw 1 of 2,6,2
20,1,9:37.0,,D. Booker makes free throw 2 of 2,6,3
21,1,9:31.0,Personal foul by K. Oubre (drawn by B. Beal),,6,3
22,1,9:17.0,I. Thomas makes 2-pt jump shot from 13 ft (assist by B. Beal),,8,3
23,1,9:04.0,,R. Rubio misses 2-pt layup from 1 ft (block by R. Hachimura),8,3
24,1,9:01.0,Defensive rebound by T. Bryant,,8,3
25,1,8:59.0,T. Brown misses 2-pt layup from 1 ft,,8,3
26,1,8:57.0,,Defensive rebound by D. Šarić,8,3
27,1,8:53.0,,D. Šarić makes 3-pt jump shot from 26 ft (assist by D. Booker),8,6
28,1,8:39.0,T. Bryant makes 2-pt hook shot from 5 ft (assist by I. Thomas),,10,6
29,1,8:39.0,Shooting foul by D. Šarić (drawn by T. Bryant),,10,6
30,1,8:39.0,T. Bryant makes free throw 1 of 1,,11,6
31,1,8:31.0,,K. Oubre makes 3-pt jump shot from 26 ft (assist by R. Rubio),11,9
32,1,8:13.0,B. Beal makes 2-pt jump shot from 9 ft,,13,9
33,1,8:04.0,,K. Oubre makes 2-pt jump shot from 10 ft (assist by R. Rubio),13,11
34,1,7:55.0,Offensive foul by T. Bryant (drawn by K. Oubre),,13,11
35,1,7:55.0,Turnover by T. Bryant (offensive foul),,13,11
36,1,7:55.0,M. Wagner enters the game for T. Bryant,,13,11
37,1,7:47.0,,Offensive foul by K. Oubre (drawn by M. Wagner),13,11
38,1,7:47.0,,Turnover by K. Oubre (offensive foul),13,11
39,1,7:32.0,M. Wagner makes 2-pt layup at rim (assist by I. Thomas),,15,11
40,1,7:32.0,,Phoenix full timeout,15,11
41,1,7:32.0,,C. Johnson enters the game for K. Oubre,15,11
42,1,7:21.0,,R. Rubio makes 2-pt jump shot from 12 ft (assist by D. Booker),15,13
43,1,7:04.0,Personal foul by F. Kaminsky (drawn by B. Beal),,15,13
44,1,6:53.0,Turnover by T. Brown (out of bounds lost ball),,15,13
45,1,6:39.0,,D. Šarić makes 2-pt layup from 1 ft,15,15
46,1,6:29.0,Turnover by T. Brown (bad pass; steal by D. Šarić),,15,15
47,1,6:16.0,,D. Šarić misses 2-pt jump shot from 11 ft,15,15
48,1,6:13.0,Defensive rebound by I. Thomas,,15,15
49,1,6:13.0,J. McRae enters the game for T. Brown,,15,15
50,1,5:54.0,I. Thomas misses 2-pt jump shot from 15 ft,,15,15
51,1,5:53.0,,Defensive rebound by D. Šarić,15,15
52,1,5:44.0,,F. Kaminsky misses 3-pt jump shot from 26 ft,15,15
53,1,5:43.0,,Offensive rebound by Team,15,15
54,1,5:43.0,Loose ball foul by R. Hachimura (drawn by D. Šarić),,15,15
55,1,5:38.0,,D. Šarić misses 3-pt jump shot from 25 ft,15,15
56,1,5:35.0,Defensive rebound by M. Wagner,,15,15
57,1,5:23.0,J. McRae makes 3-pt jump shot from 25 ft (assist by M. Wagner),,18,15
58,1,5:12.0,,Shooting foul by M. Wagner (drawn by R. Rubio),18,15
59,1,5:12.0,,R. Rubio makes free throw 1 of 2,18,16
60,1,5:12.0,,C. Diallo enters the game for F. Kaminsky,18,16
61,1,5:12.0,,R. Rubio makes free throw 2 of 2,18,17
62,1,4:54.0,M. Wagner misses 2-pt layup from 1 ft,,18,17
63,1,4:53.0,,Defensive rebound by D. Šarić,18,17
64,1,4:48.0,,C. Johnson misses 3-pt jump shot from 26 ft,18,17
65,1,4:45.0,,Offensive rebound by D. Šarić,18,17
