,QUARTER,TIME_REMAINING,PORTLAND_ACTION,WASHINGTON_ACTION,PORTLAND_SCORE,WASHINGTON_SCORE
0,1,11:40.0,,J. Williams misses 2-pt hook shot from 7 ft (block by H. Whiteside),0,0
1,1,11:37.0,,Offensive rebound by J. Williams,0,0
2,1,11:37.0,,J. Williams makes 2-pt hook shot from 2 ft,0,2
3,1,11:16.0,C. McCollum makes 2-pt jump shot from 16 ft (assist by K. Bazemore),,2,2
4,1,10:58.0,,I. Thomas makes 2-pt jump shot from 20 ft (assist by T. Brown),2,4
5,1,10:43.0,H. Whiteside makes 2-pt layup from 4 ft (assist by C. McCollum),,4,4
6,1,10:32.0,Technical foul by I. Thomas,,4,4
7,1,10:32.0,,I. Thomas ejected from game,4,4
8,1,10:32.0,,Instant Replay (Request: Stands),4,4
9,1,10:32.0,D. Lillard makes technical free throw,,5,4
10,1,10:32.0,,I. Smith enters the game for I. Thomas,5,4
11,1,10:28.0,,Turnover by I. Thomas (lost ball; steal by C. Anthony),5,4
12,1,10:26.0,K. Bazemore makes 2-pt layup from 2 ft (assist by C. McCollum),,7,4
13,1,10:08.0,,T. Brown misses 2-pt jump shot from 13 ft,7,4
14,1,10:06.0,Defensive rebound by C. Anthony,,7,4
15,1,9:56.0,H. Whiteside makes 2-pt hook shot from 5 ft (assist by C. Anthony),,9,4
16,1,9:46.0,,I. Smith misses 2-pt layup from 3 ft,9,4
17,1,9:46.0,,Offensive rebound by Team,9,4
18,1,9:46.0,Loose ball foul by C. Anthony (drawn by J. Williams),,9,4
19,1,9:34.0,,J. Williams makes 2-pt layup at rim (assist by I. Smith),9,6
20,1,9:25.0,C. McCollum misses 3-pt jump shot from 26 ft,,9,6
21,1,9:23.0,Offensive rebound by H. Whiteside,,9,6
22,1,9:23.0,H. Whiteside misses 2-pt layup from 1 ft,,9,6
23,1,9:22.0,Offensive rebound by H. Whiteside,,9,6
24,1,9:20.0,H. Whiteside misses 2-pt layup from 1 ft,,9,6
25,1,9:18.0,,Defensive rebound by J. Williams,9,6
26,1,9:04.0,,I. Smith makes 3-pt jump shot from 25 ft,9,9
27,1,8:43.0,C. McCollum makes 2-pt layup from 2 ft (assist by D. Lillard),,11,9
28,1,8:36.0,,Personal foul by C. McCollum (drawn by I. Smith),11,9
29,1,8:22.0,,Shooting foul by K. Bazemore (drawn by T. Brown),11,9
30,1,8:22.0,,T. Brown makes free throw 1 of 2,11,10
31,1,8:22.0,,T. Brown makes free throw 2 of 2,11,11
32,1,8:06.0,Personal foul by I. Mahinmi (drawn by H. Whiteside),,11,11
33,1,7:58.0,D. Lillard misses 2-pt jump shot from 8 ft,,11,11
34,1,7:53.0,Offensive rebound by H. Whiteside,,11,11
35,1,7:53.0,H. Whiteside makes 2-pt layup from 1 ft,,13,11
36,1,7:45.0,,Turnover by T. Brown (out of bounds lost ball),13,11
37,1,7:27.0,C. Anthony misses 2-pt jump shot from 21 ft,,13,11
38,1,7:23.0,,Defensive rebound by J. Williams,13,11
39,1,7:13.0,,Turnover by I. Smith (lost ball; steal by C. McCollum),13,11
40,1,7:05.0,C. McCollum makes 2-pt jump shot from 10 ft,,15,11
41,1,7:05.0,,Washington full timeout,15,11
42,1,6:46.0,,I. Mahinmi misses 3-pt jump shot from 27 ft,15,11
43,1,6:44.0,Defensive rebound by D. Lillard,,15,11
44,1,6:44.0,Personal foul by I. Smith (drawn by D. Lillard),,15,11
45,1,6:20.0,C. Anthony makes 2-pt jump shot from 17 ft,,17,11
46,1,6:20.0,A. Simons enters the game for C. McCollum,,17,11
47,1,6:20.0,,J. McRae enters the game for J. Williams,17,11
48,1,6:03.0,,I. Smith misses 3-pt jump shot from 25 ft,17,11
49,1,5:58.0,Defensive rebound by C. Anthony,,17,11
50,1,5:48.0,C. Anthony makes 2-pt layup from 4 ft,,19,11
