,QUARTER,TIME_REMAINING,LA LAKERS_ACTION,UTAH_ACTION,LA LAKERS_SCORE,UTAH_SCORE
0,1,11:46.0,J. McGee misses 2-pt layup from 12 ft,,0,0
1,1,11:43.0,,Defensive rebound by J. Green,0,0
2,1,11:38.0,,B. Bogdanović makes 3-pt jump shot from 25 ft (assist by J. Green),0,3
3,1,11:29.0,Personal foul by J. Green (drawn by A. Davis),,0,3
4,1,11:25.0,D. Green misses 3-pt jump shot from 25 ft,,0,3
5,1,11:23.0,,Defensive rebound by D. Mitchell,0,3
6,1,11:12.0,,B. Bogdanović makes 3-pt jump shot from 23 ft (assist by J. Ingles),0,6
7,1,10:48.0,D. Green makes 3-pt jump shot from 24 ft (assist by L. James),,3,6
8,1,10:32.0,,R. Gobert makes 2-pt dunk from 1 ft (assist by D. Mitchell),3,8
9,1,10:16.0,A. Davis misses 2-pt jump shot from 8 ft,,3,8
10,1,10:12.0,Offensive rebound by K. Caldwell-Pope,,3,8
11,1,10:06.0,D. Green misses 3-pt jump shot from 23 ft,,3,8
12,1,10:01.0,Offensive rebound by D. Green,,3,8
13,1,9:56.0,J. McGee misses 2-pt layup from 5 ft,,3,8
14,1,9:53.0,Offensive rebound by J. McGee,,3,8
15,1,9:49.0,Instant Replay (Request: Ruling Stands),,3,8
16,1,9:49.0,Turnover by Team (shot clock),,3,8
17,1,9:29.0,,J. Ingles makes 3-pt jump shot from 25 ft (assist by J. Green),3,11
18,1,9:09.0,A. Davis makes 2-pt jump shot from 7 ft,,5,11
19,1,8:55.0,,J. Ingles misses 2-pt layup from 5 ft (block by J. McGee),5,11
20,1,8:50.0,Defensive rebound by D. Green,,5,11
21,1,8:50.0,Personal take foul by B. Bogdanović (drawn by L. James),,5,11
22,1,8:43.0,L. James misses 2-pt jump shot from 7 ft,,5,11
23,1,8:37.0,Offensive rebound by J. McGee,,5,11
24,1,8:35.0,J. McGee misses 2-pt layup from 3 ft,,5,11
25,1,8:29.0,Offensive rebound by J. McGee,,5,11
26,1,8:28.0,J. McGee makes 2-pt dunk from 1 ft,,7,11
27,1,8:17.0,,Turnover by J. Green (bad pass; steal by J. McGee),7,11
28,1,8:17.0,Personal take foul by J. Ingles (drawn by L. James),,7,11
29,1,8:09.0,A. Davis misses 2-pt jump shot from 14 ft,,7,11
30,1,8:07.0,,Defensive rebound by R. Gobert,7,11
31,1,7:55.0,,J. Ingles misses 3-pt jump shot from 26 ft,7,11
32,1,7:52.0,Defensive rebound by D. Green,,7,11
33,1,7:47.0,D. Green makes 3-pt jump shot from 26 ft (assist by L. James),,10,11
34,1,7:26.0,,D. Mitchell makes 2-pt jump shot from 19 ft,10,13
35,1,7:17.0,L. James makes 2-pt layup from 4 ft,,12,13
36,1,7:15.0,,Utah full timeout,12,13
37,1,7:06.0,,D. Mitchell misses 2-pt jump shot from 11 ft,12,13
38,1,7:03.0,Defensive rebound by J. McGee,,12,13
39,1,6:47.0,A. Davis makes 2-pt dunk from 3 ft (assist by L. James),,14,13
40,1,6:28.0,,B. Bogdanović misses 3-pt jump shot from 25 ft,14,13
41,1,6:25.0,,Offensive rebound by J. Green,14,13
42,1,6:25.0,,E. Davis enters the game for R. Gobert,14,13
43,1,6:25.0,,G. Niang enters the game for J. Green,14,13
44,1,6:25.0,,R. O'Neale enters the game for J. Ingles,14,13
45,1,6:12.0,,E. Davis makes 2-pt jump shot from 19 ft (assist by R. O'Neale),14,15
46,1,5:50.0,J. McGee makes 2-pt dunk from 2 ft (assist by L. James),,16,15
47,1,5:39.0,,D. Mitchell misses 2-pt layup from 3 ft,16,15
48,1,5:37.0,Defensive rebound by A. Davis,,16,15
49,1,5:34.0,K. Caldwell-Pope makes 3-pt jump shot from 27 ft (assist by A. Davis),,19,15
50,1,5:19.0,,G. Niang makes 3-pt jump shot from 23 ft (assist by B. Bogdanović),19,18
51,1,5:07.0,J. McGee misses 2-pt jump shot from 9 ft,,19,18
52,1,5:06.0,,Defensive rebound by Team,19,18
53,1,5:06.0,Loose ball foul by J. McGee (drawn by E. Davis),,19,18
54,1,5:06.0,K. Kuzma enters the game for D. Green,,19,18
55,1,5:06.0,R. Rondo enters the game for J. McGee,,19,18
56,1,4:50.0,,G. Niang misses 3-pt jump shot from 26 ft,19,18
57,1,4:47.0,Defensive rebound by A. Davis,,19,18
58,1,4:42.0,L. James makes 2-pt layup from 5 ft,,21,18
59,1,4:29.0,,E. Davis makes 2-pt layup from 2 ft (assist by D. Mitchell),21,20
60,1,4:18.0,A. Davis makes 2-pt jump shot from 3 ft (assist by R. Rondo),,23,20
61,1,4:06.0,,D. Mitchell misses 2-pt layup from 2 ft,23,20
62,1,4:04.0,Defensive rebound by R. Rondo,,23,20
63,1,3:50.0,L. James makes 2-pt layup from 2 ft (assist by R. Rondo),,25,20
64,1,3:35.0,,B. Bogdanović misses 2-pt hook shot from 4 ft,25,20
65,1,3:32.0,Defensive rebound by L. James,,25,20
66,1,3:20.0,A. Davis makes 2-pt jump shot from 8 ft (assist by L. James),,27,20
67,1,3:20.0,Shooting foul by E. Davis (drawn by A. Davis),,27,20
68,1,3:20.0,T. Daniels enters the game for L. James,,27,20
69,1,3:20.0,,R. Gobert enters the game for E. Davis,27,20
70,1,3:20.0,,J. Ingles enters the game for D. Mitchell,27,20
71,1,3:20.0,A. Davis makes free throw 1 of 1,,28,20
72,1,3:05.0,,B. Bogdanović misses 2-pt layup from 4 ft (block by K. Caldwell-Pope),28,20
73,1,3:05.0,,Offensive rebound by Team,28,20
74,1,2:57.0,,Offensive foul by J. Ingles (drawn by A. Davis),28,20
75,1,2:57.0,,Turnover by J. Ingles (offensive foul),28,20
76,1,2:57.0,LA Lakers full timeout,,28,20
77,1,2:57.0,,D. Exum enters the game for B. Bogdanović,28,20
78,1,2:39.0,A. Davis makes 2-pt jump shot from 16 ft,,30,20
79,1,2:24.0,,G. Niang makes 3-pt jump shot from 23 ft (assist by J. Ingles),30,23
80,1,2:02.0,R. Rondo misses 2-pt layup from 2 ft,,30,23
81,1,2:01.0,,Defensive rebound by Team,30,23
82,1,2:01.0,A. Caruso enters the game for K. Caldwell-Pope,,30,23
83,1,1:54.0,,D. Exum misses 2-pt layup from 3 ft,30,23
84,1,1:48.0,,Offensive rebound by R. Gobert,30,23
85,1,1:48.0,,R. Gobert misses 2-pt layup from 1 ft,30,23
86,1,1:47.0,Defensive rebound by A. Davis,,30,23
87,1,1:35.0,T. Daniels misses 3-pt jump shot from 28 ft,,30,23
88,1,1:33.0,,Defensive rebound by J. Ingles,30,23
89,1,1:24.0,,Shooting foul by A. Davis (drawn by J. Ingles),30,23
90,1,1:24.0,,J. Ingles misses free throw 1 of 2,30,23
91,1,1:24.0,,Offensive rebound by Team,30,23
92,1,1:24.0,,J. Ingles makes free throw 2 of 2,30,24
93,1,1:09.0,K. Kuzma misses 2-pt jump shot from 8 ft,,30,24
94,1,1:07.0,,Defensive rebound by Team,30,24
95,1,0:54.0,,R. Gobert makes 2-pt layup from 2 ft (assist by J. Ingles),30,26
96,1,0:33.0,K. Kuzma misses 2-pt jump shot from 10 ft,,30,26
97,1,0:30.0,Offensive rebound by Team,,30,26
98,1,0:30.0,,E. Mudiay enters the game for D. Exum,30,26
99,1,0:17.0,Shooting foul by R. Gobert (drawn by K. Kuzma),,30,26
100,1,0:17.0,Instant Replay (Request: Ruling Stands),,30,26
101,1,0:17.0,K. Kuzma misses free throw 1 of 3,,30,26
102,1,0:17.0,Offensive rebound by Team,,30,26
103,1,0:17.0,K. Kuzma makes free throw 2 of 3,,31,26
104,1,0:17.0,K. Caldwell-Pope enters the game for T. Daniels,,31,26
105,1,0:17.0,D. Howard enters the game for A. Davis,,31,26
106,1,0:17.0,K. Kuzma misses free throw 3 of 3,,31,26
107,1,0:17.0,,Defensive rebound by R. Gobert,31,26
108,1,0:06.0,,J. Ingles misses 2-pt jump shot from 13 ft,31,26
109,1,0:03.0,Defensive rebound by D. Howard,,31,26
110,1,0:00.0,K. Kuzma makes 3-pt jump shot from 29 ft (assist by R. Rondo),,34,26
111,1,0:00.0,Instant Replay (Request: Ruling Stands),,34,26
112,2,11:52.0,,Offensive foul by R. Gobert (drawn by A. Caruso),34,26
113,2,11:52.0,,Turnover by R. Gobert (offensive foul),34,26
114,2,11:41.0,L. James misses 3-pt jump shot from 26 ft,,34,26
115,2,11:38.0,,Defensive rebound by R. Gobert,34,26
116,2,11:21.0,,J. Green misses 3-pt jump shot from 25 ft,34,26
117,2,11:19.0,Defensive rebound by R. Rondo,,34,26
118,2,10:59.0,R. Rondo makes 3-pt jump shot from 26 ft (assist by L. James),,37,26
119,2,10:44.0,,G. Niang misses 2-pt jump shot from 7 ft,37,26
120,2,10:41.0,Defensive rebound by D. Howard,,37,26
121,2,10:34.0,K. Kuzma misses 3-pt jump shot from 26 ft,,37,26
122,2,10:30.0,,Defensive rebound by J. Ingles,37,26
123,2,10:25.0,,Offensive foul by J. Ingles (drawn by A. Caruso),37,26
124,2,10:25.0,,Turnover by J. Ingles (offensive foul),37,26
125,2,10:25.0,,D. Exum enters the game for J. Ingles,37,26
