,QUARTER,TIME_REMAINING,DETROIT_ACTION,DENVER_ACTION,DETROIT_SCORE,DENVER_SCORE
0,1,11:46.0,,P. Millsap misses 3-pt jump shot from 25 ft,0,0
1,1,11:45.0,,Offensive rebound by Team,0,0
2,1,11:45.0,Loose ball foul by J. Henson (drawn by N. Jokić),,0,0
3,1,11:38.0,,J. Murray makes 2-pt layup from 1 ft (assist by N. Jokić),0,2
4,1,11:18.0,Turnover by J. Henson (lost ball; steal by P. Millsap),,0,2
5,1,11:14.0,,P. Millsap misses 2-pt layup from 1 ft,0,2
6,1,11:12.0,Defensive rebound by T. Snell,,0,2
7,1,11:00.0,C. Wood makes 2-pt layup from 2 ft,,2,2
8,1,10:53.0,,J. Murray makes 2-pt layup from 1 ft (assist by W. Barton),2,4
9,1,10:45.0,Shooting foul by J. Murray (drawn by D. Rose),,2,4
10,1,10:45.0,D. Rose makes free throw 1 of 2,,3,4
11,1,10:45.0,D. Rose makes free throw 2 of 2,,4,4
12,1,10:27.0,,G. Harris makes 2-pt jump shot from 11 ft (assist by W. Barton),4,6
13,1,10:12.0,T. Snell misses 3-pt jump shot from 25 ft,,4,6
14,1,10:09.0,,Defensive rebound by P. Millsap,4,6
15,1,10:04.0,,J. Murray makes 3-pt jump shot from 25 ft (assist by P. Millsap),4,9
16,1,9:51.0,D. Rose misses 2-pt layup from 1 ft,,4,9
17,1,9:47.0,Offensive rebound by J. Henson,,4,9
18,1,9:47.0,J. Henson makes 2-pt dunk at rim,,6,9
19,1,9:41.0,,W. Barton misses 2-pt jump shot from 11 ft,6,9
20,1,9:36.0,Defensive rebound by D. Rose,,6,9
21,1,9:34.0,D. Rose misses 2-pt layup from 1 ft (block by J. Murray),,6,9
22,1,9:34.0,Offensive rebound by Team,,6,9
23,1,9:20.0,C. Wood misses 3-pt jump shot from 23 ft,,6,9
24,1,9:16.0,,Defensive rebound by N. Jokić,6,9
25,1,9:10.0,,Turnover by P. Millsap (traveling),6,9
26,1,8:59.0,Turnover by D. Rose (lost ball; steal by N. Jokić),,6,9
27,1,8:51.0,,G. Harris misses 3-pt jump shot from 25 ft,6,9
28,1,8:49.0,Defensive rebound by J. Henson,,6,9
29,1,8:39.0,D. Rose makes 2-pt layup from 1 ft,,8,9
30,1,8:16.0,,J. Murray misses 3-pt jump shot from 25 ft,8,9
31,1,8:15.0,,Offensive rebound by Team,8,9
32,1,8:09.0,,J. Murray misses 2-pt hook shot from 2 ft,8,9
33,1,8:07.0,Defensive rebound by C. Wood,,8,9
34,1,7:55.0,C. Wood makes 2-pt jump shot from 13 ft (assist by T. Snell),,10,9
35,1,7:34.0,,N. Jokić makes 2-pt hook shot from 4 ft (assist by J. Murray),10,11
36,1,7:11.0,Personal foul by P. Millsap (drawn by C. Wood),,10,11
37,1,7:11.0,L. Galloway enters the game for S. Mykhailiuk,,10,11
38,1,6:58.0,J. Henson misses 2-pt layup from 3 ft,,10,11
39,1,6:56.0,,Defensive rebound by N. Jokić,10,11
40,1,6:48.0,,G. Harris makes 2-pt layup from 1 ft (assist by J. Murray),10,13
41,1,6:43.0,Detroit full timeout,,10,13
42,1,6:43.0,B. Knight enters the game for D. Rose,,10,13
43,1,6:35.0,J. Henson makes 2-pt dunk from 1 ft (assist by T. Snell),,12,13
44,1,6:22.0,,Personal foul by B. Knight (drawn by N. Jokić),12,13
45,1,6:22.0,,Denver full timeout,12,13
46,1,6:22.0,,Instant Replay (Challenge: Ruling Stands),12,13
47,1,6:13.0,,N. Jokić makes 2-pt layup from 2 ft,12,15
48,1,5:55.0,Turnover by B. Knight (bad pass; steal by N. Jokić),,12,15
49,1,5:50.0,,W. Barton makes 2-pt layup from 2 ft (assist by P. Millsap),12,17
50,1,5:50.0,,Shooting foul by L. Galloway (drawn by W. Barton),12,17
51,1,5:50.0,,M. Morris enters the game for J. Murray,12,17
52,1,5:50.0,,W. Barton makes free throw 1 of 1,12,18
53,1,5:30.0,C. Wood misses 2-pt layup from 2 ft,,12,18
54,1,5:27.0,Offensive rebound by C. Wood,,12,18
55,1,5:27.0,C. Wood misses 2-pt layup at rim,,12,18
56,1,5:27.0,Offensive rebound by C. Wood,,12,18
57,1,5:25.0,C. Wood misses 2-pt layup at rim (block by M. Morris),,12,18
58,1,5:23.0,,Defensive rebound by M. Morris,12,18
59,1,5:20.0,,P. Millsap makes 3-pt jump shot from 25 ft (assist by M. Morris),12,21
60,1,4:58.0,T. Snell makes 3-pt jump shot from 22 ft (assist by B. Knight),,15,21
61,1,4:43.0,,Personal foul by C. Wood (drawn by P. Millsap),15,21
62,1,4:43.0,T. Maker enters the game for J. Henson,,15,21
63,1,4:43.0,,J. Grant enters the game for G. Harris,15,21
64,1,4:43.0,,M. Porter enters the game for P. Millsap,15,21
65,1,4:30.0,,Turnover by N. Jokić (lost ball; steal by B. Knight),15,21
66,1,4:30.0,D. Walton enters the game for T. Snell,,15,21
67,1,4:14.0,B. Knight makes 3-pt jump shot from 24 ft,,18,21
68,1,3:59.0,,J. Grant misses 3-pt jump shot from 25 ft,18,21
69,1,3:56.0,Defensive rebound by T. Maker,,18,21
70,1,3:42.0,T. Maker misses 2-pt hook shot from 7 ft,,18,21
71,1,3:42.0,Offensive rebound by Team,,18,21
72,1,3:42.0,,Loose ball foul by J. Grant (drawn by C. Wood),18,21
73,1,3:42.0,S. Doumbouya enters the game for C. Wood,,18,21
74,1,3:37.0,L. Galloway makes 3-pt jump shot from 24 ft (assist by D. Walton),,21,21
75,1,3:23.0,,Turnover by W. Barton (bad pass; steal by D. Walton),21,21
76,1,3:12.0,T. Maker makes 2-pt dunk at rim (assist by B. Knight),,23,21
77,1,3:12.0,,Denver full timeout,23,21
78,1,3:12.0,,J. Murray enters the game for W. Barton,23,21
79,1,3:12.0,,M. Plumlee enters the game for N. Jokić,23,21
80,1,2:48.0,,M. Plumlee misses 2-pt hook shot from 5 ft,23,21
81,1,2:47.0,Defensive rebound by T. Maker,,23,21
82,1,2:47.0,Personal foul by M. Plumlee (drawn by T. Maker),,23,21
83,1,2:32.0,S. Doumbouya misses 3-pt jump shot from 23 ft,,23,21
84,1,2:29.0,,Defensive rebound by M. Plumlee,23,21
85,1,2:15.0,,J. Grant makes 2-pt jump shot from 18 ft (assist by J. Murray),23,23
86,1,1:56.0,B. Knight misses 3-pt jump shot from 25 ft,,23,23
87,1,1:54.0,,Defensive rebound by J. Grant,23,23
88,1,1:50.0,,M. Morris makes 2-pt layup from 2 ft (assist by J. Grant),23,25
89,1,1:41.0,Personal foul by M. Morris (drawn by B. Knight),,23,25
90,1,1:41.0,B. Knight misses free throw 1 of 2,,23,25
91,1,1:41.0,Offensive rebound by Team,,23,25
92,1,1:41.0,B. Knight misses free throw 2 of 2,,23,25
93,1,1:39.0,,Defensive rebound by M. Porter,23,25
94,1,1:33.0,,M. Porter misses 3-pt jump shot from 25 ft,23,25
95,1,1:28.0,Defensive rebound by T. Maker,,23,25
