,QUARTER,TIME_REMAINING,BOSTON_ACTION,TORONTO_ACTION,BOSTON_SCORE,TORONTO_SCORE
0,1,11:36.0,,S. Ibaka makes 2-pt hook shot from 4 ft (assist by F. VanVleet),0,2
1,1,11:12.0,D. Theis misses 2-pt layup from 6 ft,,0,2
2,1,11:08.0,Offensive rebound by J. Tatum,,0,2
3,1,11:08.0,J. Tatum misses 2-pt layup from 1 ft,,0,2
4,1,11:07.0,Offensive rebound by J. Tatum,,0,2
5,1,11:07.0,J. Tatum misses 2-pt layup from 1 ft,,0,2
6,1,11:06.0,,Defensive rebound by S. Ibaka,0,2
7,1,11:03.0,,K. Lowry misses 2-pt layup from 3 ft (block by G. Hayward),0,2
8,1,10:58.0,,Offensive rebound by S. Ibaka,0,2
9,1,10:58.0,,S. Ibaka makes 2-pt layup at rim,0,4
10,1,10:48.0,K. Walker misses 3-pt jump shot from 25 ft,,0,4
11,1,10:47.0,,Defensive rebound by K. Lowry,0,4
12,1,10:37.0,,K. Lowry makes 3-pt jump shot from 26 ft,0,7
13,1,10:14.0,G. Hayward misses 3-pt jump shot from 23 ft,,0,7
14,1,10:12.0,,Defensive rebound by P. McCaw,0,7
15,1,10:04.0,,K. Lowry makes 3-pt jump shot from 27 ft (assist by S. Ibaka),0,10
16,1,10:03.0,Boston full timeout,,0,10
17,1,9:48.0,J. Brown makes 2-pt layup from 1 ft (assist by K. Walker),,2,10
18,1,9:42.0,,Personal foul by J. Brown (drawn by K. Lowry),2,10
19,1,9:31.0,,Turnover by K. Lowry (bad pass; steal by G. Hayward),2,10
20,1,9:26.0,K. Walker misses 2-pt layup from 1 ft,,2,10
21,1,9:24.0,Offensive rebound by J. Tatum,,2,10
22,1,9:18.0,Personal foul by O. Anunoby (drawn by G. Hayward),,2,10
23,1,9:09.0,D. Theis makes 2-pt jump shot from 10 ft (assist by J. Brown),,4,10
24,1,8:52.0,,Turnover by S. Ibaka (lost ball; steal by G. Hayward),4,10
25,1,8:47.0,K. Walker makes 3-pt jump shot from 26 ft (assist by G. Hayward),,7,10
26,1,8:31.0,,Turnover by O. Anunoby (bad pass; steal by J. Tatum),7,10
27,1,8:28.0,K. Walker makes 2-pt layup from 1 ft (assist by J. Tatum),,9,10
28,1,8:09.0,,O. Anunoby misses 2-pt layup from 2 ft,9,10
29,1,8:07.0,Defensive rebound by Team,,9,10
30,1,7:51.0,J. Brown misses 2-pt jump shot from 20 ft,,9,10
31,1,7:47.0,Offensive rebound by D. Theis,,9,10
32,1,7:41.0,Turnover by J. Brown (lost ball; steal by F. VanVleet),,9,10
33,1,7:35.0,,O. Anunoby makes 2-pt layup from 2 ft,9,12
34,1,7:25.0,J. Tatum misses 2-pt layup from 6 ft (block by K. Lowry),,9,12
35,1,7:25.0,Offensive rebound by Team,,9,12
36,1,7:20.0,Offensive foul by J. Tatum (drawn by K. Lowry),,9,12
37,1,7:20.0,Turnover by J. Tatum (offensive foul),,9,12
38,1,7:05.0,,F. VanVleet misses 2-pt jump shot from 19 ft,9,12
39,1,7:03.0,Defensive rebound by G. Hayward,,9,12
40,1,6:56.0,J. Tatum misses 2-pt jump shot from 16 ft,,9,12
41,1,6:52.0,,Defensive rebound by S. Ibaka,9,12
42,1,6:35.0,,S. Ibaka misses 2-pt hook shot from 10 ft,9,12
43,1,6:33.0,Defensive rebound by J. Brown,,9,12
44,1,6:26.0,Turnover by J. Brown (lost ball; steal by P. McCaw),,9,12
45,1,6:22.0,,K. Lowry misses 3-pt jump shot from 26 ft,9,12
46,1,6:19.0,Defensive rebound by D. Theis,,9,12
47,1,6:04.0,G. Hayward makes 2-pt jump shot from 13 ft,,11,12
48,1,5:47.0,,S. Ibaka makes 2-pt dunk from 2 ft (assist by K. Lowry),11,14
49,1,5:23.0,K. Walker misses 2-pt jump shot from 10 ft,,11,14
50,1,5:21.0,,Defensive rebound by S. Ibaka,11,14
51,1,5:08.0,,S. Ibaka misses 2-pt jump shot from 20 ft,11,14
52,1,5:05.0,Defensive rebound by G. Hayward,,11,14
53,1,4:58.0,G. Hayward makes 2-pt jump shot from 18 ft,,13,14
54,1,4:49.0,,Toronto full timeout,13,14
55,1,4:49.0,E. Freedom enters the game for J. Brown,,13,14
56,1,4:49.0,R. Langford enters the game for G. Hayward,,13,14
57,1,4:49.0,G. Williams enters the game for D. Theis,,13,14
58,1,4:40.0,,Offensive foul by O. Anunoby (drawn by K. Walker),13,14
59,1,4:40.0,,Turnover by O. Anunoby (offensive foul),13,14
60,1,4:25.0,J. Tatum misses 2-pt jump shot from 13 ft,,13,14
61,1,4:22.0,Offensive rebound by J. Tatum,,13,14
62,1,4:22.0,J. Tatum makes 2-pt layup from 1 ft,,15,14
63,1,4:00.0,,S. Ibaka misses 3-pt jump shot from 27 ft,15,14
64,1,3:58.0,Defensive rebound by E. Freedom,,15,14
65,1,3:47.0,J. Tatum misses 2-pt jump shot from 17 ft,,15,14
66,1,3:44.0,,Defensive rebound by S. Ibaka,15,14
67,1,3:38.0,,Turnover by F. VanVleet (out of bounds lost ball),15,14
68,1,3:38.0,,T. Davis enters the game for O. Anunoby,15,14
69,1,3:38.0,,R. Hollis-Jefferson enters the game for K. Lowry,15,14
70,1,3:24.0,G. Williams misses 3-pt jump shot from 26 ft,,15,14
71,1,3:20.0,,Defensive rebound by T. Davis,15,14
72,1,3:09.0,,F. VanVleet misses 3-pt jump shot from 26 ft,15,14
73,1,3:07.0,Defensive rebound by E. Freedom,,15,14
74,1,2:56.0,Shooting foul by P. McCaw (drawn by E. Freedom),,15,14
75,1,2:56.0,E. Freedom makes free throw 1 of 2,,16,14
76,1,2:56.0,E. Freedom makes free throw 2 of 2,,17,14
77,1,2:38.0,,P. McCaw misses 2-pt jump shot from 14 ft,17,14
78,1,2:35.0,Defensive rebound by E. Freedom,,17,14
79,1,2:28.0,K. Walker makes 3-pt jump shot from 25 ft (assist by J. Tatum),,20,14
80,1,2:12.0,,Turnover by S. Ibaka (3 sec),20,14
81,1,2:12.0,B. Wanamaker enters the game for J. Tatum,,20,14
82,1,2:12.0,,C. Boucher enters the game for S. Ibaka,20,14
83,1,1:53.0,G. Williams makes 2-pt layup from 1 ft (assist by E. Freedom),,22,14
