,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,MEMPHIS_ACTION,CHARLOTTE_SCORE,MEMPHIS_SCORE
0,1,11:55.0,T. Rozier makes 2-pt layup from 1 ft,,2,0
1,1,11:33.0,,J. Valančiūnas makes 2-pt hook shot from 8 ft (assist by K. Anderson),2,2
2,1,11:18.0,M. Bridges misses 2-pt jump shot from 4 ft,,2,2
3,1,11:13.0,,Defensive rebound by Team,2,2
4,1,11:00.0,,Personal foul by B. Biyombo (drawn by J. Valančiūnas),2,2
5,1,10:54.0,,J. Morant misses 2-pt jump shot from 14 ft,2,2
6,1,10:50.0,Defensive rebound by B. Biyombo,,2,2
7,1,10:45.0,D. Graham misses 3-pt jump shot from 25 ft,,2,2
8,1,10:40.0,,Defensive rebound by J. Jackson,2,2
9,1,10:37.0,,Personal foul by P. Washington (drawn by J. Morant),2,2
10,1,10:28.0,,J. Morant makes 2-pt jump shot from 7 ft,2,4
11,1,10:12.0,T. Rozier misses 2-pt jump shot from 15 ft,,2,4
12,1,10:10.0,,Defensive rebound by J. Valančiūnas,2,4
13,1,10:02.0,,D. Brooks makes 3-pt jump shot from 28 ft (assist by J. Valančiūnas),2,7
14,1,9:38.0,Shooting foul by J. Jackson (drawn by P. Washington),,2,7
15,1,9:38.0,P. Washington makes free throw 1 of 2,,3,7
16,1,9:38.0,P. Washington misses free throw 2 of 2,,3,7
17,1,9:36.0,,Defensive rebound by K. Anderson,3,7
18,1,9:23.0,,K. Anderson misses 2-pt jump shot from 11 ft,3,7
19,1,9:22.0,,Offensive rebound by K. Anderson,3,7
20,1,9:21.0,,K. Anderson makes 2-pt jump shot from 3 ft,3,9
21,1,9:09.0,M. Bridges misses 3-pt jump shot from 26 ft,,3,9
22,1,9:08.0,,Defensive rebound by J. Jackson,3,9
23,1,8:55.0,,J. Jackson misses 3-pt jump shot from 26 ft,3,9
24,1,8:52.0,Defensive rebound by T. Rozier,,3,9
25,1,8:41.0,Personal foul by D. Brooks (drawn by T. Rozier),,3,9
26,1,8:35.0,D. Graham makes 2-pt layup from 1 ft,,5,9
27,1,8:19.0,,J. Morant misses 3-pt jump shot from 26 ft,5,9
28,1,8:15.0,Defensive rebound by P. Washington,,5,9
29,1,8:15.0,Personal foul by J. Morant (drawn by D. Graham),,5,9
30,1,8:04.0,D. Graham misses 2-pt jump shot from 16 ft,,5,9
31,1,8:02.0,,Defensive rebound by J. Jackson,5,9
32,1,7:54.0,,J. Valančiūnas misses 2-pt layup from 1 ft,5,9
33,1,7:49.0,,Offensive rebound by J. Valančiūnas,5,9
34,1,7:49.0,,J. Valančiūnas makes 2-pt layup at rim,5,11
35,1,7:40.0,T. Rozier misses 2-pt jump shot from 17 ft,,5,11
36,1,7:37.0,,Defensive rebound by K. Anderson,5,11
37,1,7:30.0,,K. Anderson makes 2-pt jump shot from 9 ft,5,13
38,1,7:29.0,Charlotte full timeout,,5,13
39,1,7:08.0,T. Rozier misses 2-pt jump shot from 21 ft,,5,13
40,1,7:04.0,,Defensive rebound by J. Valančiūnas,5,13
41,1,6:56.0,,D. Brooks makes 2-pt jump shot from 15 ft (assist by J. Valančiūnas),5,15
42,1,6:45.0,D. Graham misses 3-pt jump shot from 27 ft,,5,15
43,1,6:39.0,,Defensive rebound by J. Valančiūnas,5,15
44,1,6:29.0,,K. Anderson makes 2-pt jump shot from 20 ft (assist by D. Brooks),5,17
45,1,6:09.0,D. Graham misses 2-pt jump shot from 7 ft,,5,17
46,1,6:07.0,Offensive rebound by Team,,5,17
47,1,6:07.0,M. Monk enters the game for B. Biyombo,,5,17
48,1,6:07.0,C. Zeller enters the game for D. Graham,,5,17
49,1,6:07.0,,B. Clarke enters the game for J. Valančiūnas,5,17
50,1,6:02.0,Shooting foul by D. Brooks (drawn by T. Rozier),,5,17
51,1,6:02.0,T. Rozier makes free throw 1 of 2,,6,17
52,1,6:02.0,,D. Melton enters the game for D. Brooks,6,17
53,1,6:02.0,T. Rozier makes free throw 2 of 2,,7,17
54,1,5:51.0,,B. Clarke misses 2-pt hook shot from 7 ft,7,17
55,1,5:48.0,,Offensive rebound by K. Anderson,7,17
56,1,5:48.0,,K. Anderson misses 2-pt layup at rim,7,17
