,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,LA LAKERS_ACTION,CLEVELAND_SCORE,LA LAKERS_SCORE
0,1,11:46.0,,A. Bradley misses 2-pt jump shot from 19 ft,0,0
1,1,11:42.0,Defensive rebound by K. Love,,0,0
2,1,11:23.0,K. Love makes 2-pt jump shot from 15 ft (assist by C. Sexton),,2,0
3,1,11:00.0,,K. Kuzma misses 3-pt jump shot from 25 ft,2,0
4,1,10:57.0,Defensive rebound by T. Thompson,,2,0
5,1,10:51.0,D. Garland makes 2-pt layup from 2 ft,,4,0
6,1,10:33.0,,K. Kuzma misses 2-pt jump shot from 5 ft,4,0
7,1,10:30.0,Defensive rebound by K. Love,,4,0
8,1,10:10.0,T. Thompson misses 2-pt hook shot from 7 ft,,4,0
9,1,10:07.0,,Defensive rebound by A. Bradley,4,0
10,1,10:02.0,,L. James misses 2-pt layup from 2 ft,4,0
11,1,10:00.0,Defensive rebound by K. Love,,4,0
12,1,9:55.0,T. Thompson makes 2-pt dunk from 2 ft (assist by D. Garland),,6,0
13,1,9:41.0,,A. Bradley makes 2-pt layup from 1 ft (assist by J. McGee),6,2
14,1,9:24.0,C. Sexton makes 2-pt layup from 2 ft (assist by K. Love),,8,2
15,1,9:15.0,,A. Bradley misses 2-pt jump shot from 12 ft,8,2
16,1,9:12.0,Defensive rebound by K. Love,,8,2
17,1,9:05.0,C. Osman misses 3-pt jump shot from 27 ft,,8,2
18,1,9:02.0,,Defensive rebound by J. McGee,8,2
19,1,8:43.0,,A. Bradley makes 3-pt jump shot from 28 ft,8,5
20,1,8:23.0,T. Thompson makes 2-pt layup from 3 ft (assist by C. Osman),,10,5
21,1,8:23.0,,Violation by Team (def goaltending),10,5
22,1,8:13.0,,L. James makes 2-pt layup from 3 ft,10,7
23,1,7:55.0,K. Love misses 2-pt dunk from 2 ft (block by J. McGee),,10,7
24,1,7:55.0,Offensive rebound by Team,,10,7
25,1,7:52.0,C. Osman misses 3-pt jump shot from 25 ft,,10,7
26,1,7:48.0,,Defensive rebound by K. Kuzma,10,7
27,1,7:33.0,,K. Kuzma misses 2-pt jump shot from 16 ft,10,7
28,1,7:30.0,Defensive rebound by K. Love,,10,7
29,1,7:28.0,Turnover by D. Garland (bad pass),,10,7
30,1,7:28.0,B. Knight enters the game for D. Garland,,10,7
31,1,7:22.0,Violation by Team (kicked ball),,10,7
32,1,7:16.0,,L. James makes 2-pt jump shot from 24 ft (assist by K. Kuzma),10,9
33,1,6:55.0,Turnover by T. Thompson (off goaltending),,10,9
34,1,6:55.0,,LA Lakers full timeout,10,9
35,1,6:42.0,,L. James misses 3-pt jump shot from 30 ft,10,9
36,1,6:41.0,Defensive rebound by Team,,10,9
37,1,6:22.0,K. Love makes 2-pt jump shot from 14 ft,,12,9
38,1,6:03.0,,A. Bradley misses 3-pt jump shot from 27 ft,12,9
39,1,6:00.0,Defensive rebound by C. Osman,,12,9
40,1,5:51.0,Personal foul by J. McGee (drawn by T. Thompson),,12,9
41,1,5:41.0,C. Sexton misses 2-pt jump shot from 8 ft,,12,9
42,1,5:39.0,,Defensive rebound by J. McGee,12,9
43,1,5:39.0,,K. Caldwell-Pope enters the game for D. Green,12,9
44,1,5:21.0,,Turnover by L. James (bad pass; steal by T. Thompson),12,9
45,1,5:18.0,Offensive foul by T. Thompson (drawn by K. Kuzma),,12,9
