,QUARTER,TIME_REMAINING,DENVER_ACTION,HOUSTON_ACTION,DENVER_SCORE,HOUSTON_SCORE
0,1,11:41.0,,J. Harden misses 2-pt layup from 1 ft,0,0
1,1,11:40.0,Defensive rebound by T. Craig,,0,0
2,1,11:24.0,W. Barton misses 2-pt jump shot from 6 ft,,0,0
3,1,11:22.0,Offensive rebound by W. Barton,,0,0
4,1,11:22.0,W. Barton makes 2-pt layup at rim,,2,0
5,1,11:08.0,,R. Westbrook misses 2-pt jump shot from 17 ft,2,0
6,1,11:06.0,Defensive rebound by T. Craig,,2,0
7,1,10:57.0,N. Jokić makes 2-pt jump shot from 15 ft,,4,0
8,1,10:37.0,,C. Capela makes 2-pt dunk from 1 ft (assist by P. Tucker),4,2
9,1,10:20.0,J. Murray misses 2-pt jump shot from 11 ft,,4,2
10,1,10:17.0,,Defensive rebound by C. Capela,4,2
11,1,9:55.0,,R. Westbrook misses 2-pt jump shot from 22 ft,4,2
12,1,9:52.0,Defensive rebound by W. Barton,,4,2
13,1,9:44.0,P. Millsap makes 3-pt jump shot from 23 ft (assist by J. Murray),,7,2
14,1,9:28.0,,Shooting foul by P. Millsap (drawn by J. Harden),7,2
15,1,9:28.0,,J. Harden makes free throw 1 of 2,7,3
16,1,9:28.0,,J. Harden misses free throw 2 of 2,7,3
17,1,9:28.0,Defensive rebound by N. Jokić,,7,3
18,1,9:06.0,N. Jokić misses 2-pt jump shot from 19 ft,,7,3
19,1,9:06.0,,Defensive rebound by D. House,7,3
20,1,9:00.0,,J. Harden makes 3-pt jump shot from 26 ft,7,6
21,1,8:30.0,W. Barton misses 3-pt jump shot from 25 ft,,7,6
22,1,8:30.0,Offensive rebound by P. Millsap,,7,6
23,1,8:26.0,T. Craig misses 3-pt jump shot from 24 ft,,7,6
24,1,8:25.0,,Defensive rebound by Team,7,6
25,1,8:15.0,,R. Westbrook makes 2-pt jump shot from 8 ft,7,8
26,1,7:56.0,J. Murray makes 3-pt jump shot from 25 ft (assist by P. Millsap),,10,8
27,1,7:36.0,,Shooting foul by T. Craig (drawn by J. Harden),10,8
28,1,7:36.0,,J. Harden misses free throw 1 of 2,10,8
29,1,7:36.0,,Offensive rebound by Team,10,8
30,1,7:36.0,,J. Harden makes free throw 2 of 2,10,9
31,1,7:20.0,N. Jokić misses 2-pt jump shot from 13 ft,,10,9
32,1,7:19.0,,Defensive rebound by J. Harden,10,9
33,1,7:13.0,,C. Capela makes 2-pt dunk from 1 ft (assist by J. Harden),10,11
34,1,7:03.0,J. Murray makes 2-pt jump shot from 17 ft,,12,11
35,1,6:50.0,,R. Westbrook makes 2-pt jump shot from 10 ft,12,13
36,1,6:36.0,W. Barton makes 2-pt layup from 2 ft (assist by J. Murray),,14,13
37,1,6:23.0,,Turnover by R. Westbrook (bad pass),14,13
38,1,6:23.0,,Houston full timeout,14,13
39,1,6:23.0,,E. Gordon enters the game for P. Tucker,14,13
40,1,6:13.0,J. Murray misses 3-pt jump shot from 23 ft,,14,13
41,1,6:11.0,,Defensive rebound by C. Capela,14,13
42,1,5:59.0,,R. Westbrook makes 2-pt jump shot from 11 ft,14,15
43,1,5:40.0,N. Jokić makes 2-pt jump shot from 8 ft (assist by J. Murray),,16,15
44,1,5:24.0,,J. Harden makes 3-pt jump shot from 26 ft,16,18
45,1,5:24.0,,Shooting foul by J. Murray (drawn by J. Harden),16,18
46,1,5:24.0,J. Grant enters the game for P. Millsap,,16,18
47,1,5:24.0,,B. McLemore enters the game for R. Westbrook,16,18
48,1,5:24.0,,J. Harden makes free throw 1 of 1,16,19
49,1,5:11.0,Turnover by T. Craig (bad pass),,16,19
50,1,5:00.0,,C. Capela makes 2-pt dunk at rim (assist by J. Harden),16,21
51,1,4:47.0,J. Grant makes 2-pt layup from 2 ft (assist by W. Barton),,18,21
52,1,4:37.0,,Turnover by E. Gordon (traveling),18,21
53,1,4:21.0,Turnover by N. Jokić (bad pass),,18,21
54,1,4:09.0,,D. House makes 3-pt jump shot from 23 ft,18,24
55,1,4:09.0,Denver full timeout,,18,24
56,1,3:47.0,W. Barton misses 2-pt jump shot from 11 ft,,18,24
57,1,3:47.0,,Defensive rebound by B. McLemore,18,24
58,1,3:36.0,,D. House misses 3-pt jump shot from 24 ft,18,24
59,1,3:33.0,,Offensive rebound by C. Capela,18,24
60,1,3:27.0,,Turnover by J. Harden (lost ball),18,24
61,1,3:27.0,,Loose ball foul by J. Harden (drawn by J. Murray),18,24
62,1,3:27.0,M. Morris enters the game for J. Murray,,18,24
63,1,3:13.0,M. Morris makes 2-pt jump shot from 6 ft,,20,24
64,1,2:54.0,,D. House misses 3-pt jump shot from 25 ft,20,24
65,1,2:49.0,,Offensive rebound by C. Capela,20,24
66,1,2:49.0,,C. Capela misses 2-pt layup from 1 ft,20,24
67,1,2:48.0,Defensive rebound by N. Jokić,,20,24
68,1,2:48.0,M. Beasley enters the game for W. Barton,,20,24
69,1,2:48.0,M. Plumlee enters the game for N. Jokić,,20,24
70,1,2:48.0,,I. Hartenstein enters the game for C. Capela,20,24
71,1,2:48.0,,R. Westbrook enters the game for J. Harden,20,24
72,1,2:39.0,Turnover by J. Grant (lost ball; steal by I. Hartenstein),,20,24
73,1,2:31.0,,I. Hartenstein makes 2-pt layup from 2 ft (assist by D. House),20,26
74,1,2:15.0,M. Morris makes 2-pt layup from 2 ft (assist by M. Plumlee),,22,26
75,1,2:11.0,,E. Gordon misses 3-pt jump shot from 29 ft,22,26
76,1,2:11.0,Defensive rebound by T. Craig,,22,26
77,1,1:50.0,M. Morris misses 3-pt jump shot from 26 ft,,22,26
78,1,1:48.0,,Defensive rebound by I. Hartenstein,22,26
79,1,1:40.0,,Def 3 sec tech foul by Team,22,26
80,1,1:40.0,,R. Westbrook makes technical free throw,22,27
81,1,1:40.0,,Technical foul by D. Adelman,22,27
82,1,1:40.0,,R. Westbrook makes technical free throw,22,28
83,1,1:40.0,M. Porter enters the game for T. Craig,,22,28
84,1,1:40.0,,P. Tucker enters the game for D. House,22,28
85,1,1:26.0,,E. Gordon makes 3-pt jump shot from 26 ft (assist by R. Westbrook),22,31
86,1,1:02.0,Turnover by M. Plumlee (bad pass),,22,31
87,1,0:57.0,,R. Westbrook makes 2-pt layup from 1 ft,22,33
88,1,0:39.0,M. Plumlee misses 2-pt layup from 6 ft,,22,33
89,1,0:37.0,Offensive rebound by M. Porter,,22,33
90,1,0:37.0,M. Porter makes 2-pt layup from 1 ft,,24,33
91,1,0:28.0,,I. Hartenstein makes 2-pt layup from 1 ft (assist by E. Gordon),24,35
92,1,0:07.0,M. Morris makes 2-pt jump shot from 17 ft,,26,35
93,1,0:01.0,,B. McLemore makes 3-pt jump shot from 24 ft (assist by R. Westbrook),26,38
94,2,11:46.0,Turnover by J. Murray (out of bounds lost ball),,26,38
95,2,11:36.0,,E. Gordon makes 3-pt jump shot from 26 ft (assist by R. Westbrook),26,41
96,2,11:33.0,Denver full timeout,,26,41
97,2,11:21.0,M. Porter makes 2-pt jump shot from 17 ft (assist by J. Murray),,28,41
98,2,11:04.0,,I. Hartenstein misses 2-pt layup from 5 ft,28,41
99,2,11:03.0,,Offensive rebound by R. Westbrook,28,41
100,2,11:03.0,,R. Westbrook makes 2-pt layup from 1 ft,28,43
101,2,10:51.0,Shooting foul by I. Hartenstein (drawn by M. Plumlee),,28,43
102,2,10:51.0,M. Plumlee makes free throw 1 of 2,,29,43
103,2,10:51.0,,A. Rivers enters the game for B. McLemore,29,43
104,2,10:51.0,M. Plumlee makes free throw 2 of 2,,30,43
105,2,10:35.0,,R. Westbrook misses 2-pt jump shot from 7 ft,30,43
106,2,10:35.0,Defensive rebound by Team,,30,43
107,2,10:22.0,M. Porter misses 3-pt jump shot from 26 ft,,30,43
