,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,MINNESOTA_ACTION,CHARLOTTE_SCORE,MINNESOTA_SCORE
0,1,11:38.0,M. Bridges misses 3-pt jump shot from 25 ft,,0,0
1,1,11:35.0,,Defensive rebound by J. Hernangómez,0,0
2,1,11:20.0,,D. Russell misses 3-pt jump shot from 25 ft,0,0
3,1,11:17.0,Defensive rebound by P. Washington,,0,0
4,1,11:05.0,D. Graham makes 2-pt jump shot from 15 ft,,2,0
5,1,10:52.0,Violation by Team (kicked ball),,2,0
6,1,10:42.0,,Shooting foul by M. Bridges (drawn by J. Hernangómez),2,0
7,1,10:42.0,,J. Hernangómez makes free throw 1 of 2,2,1
8,1,10:42.0,,J. Hernangómez makes free throw 2 of 2,2,2
9,1,10:27.0,M. Bridges misses 2-pt hook shot from 7 ft,,2,2
10,1,10:26.0,Offensive rebound by Team,,2,2
11,1,10:26.0,,Loose ball foul by J. Hernangómez (drawn by B. Biyombo),2,2
12,1,10:16.0,Turnover by P. Washington (bad pass; steal by D. Russell),,2,2
13,1,10:07.0,,J. Johnson misses 2-pt layup from 1 ft,2,2
14,1,10:06.0,,Offensive rebound by J. Hernangómez,2,2
15,1,10:06.0,,J. Hernangómez misses 2-pt layup at rim,2,2
16,1,10:05.0,Defensive rebound by P. Washington,,2,2
17,1,9:58.0,Turnover by P. Washington (bad pass; steal by J. Johnson),,2,2
18,1,9:55.0,,M. Beasley makes 2-pt dunk from 1 ft (assist by J. Okogie),2,4
19,1,9:55.0,,Shooting foul by C. Martin (drawn by M. Beasley),2,4
20,1,9:55.0,,M. Beasley makes free throw 1 of 1,2,5
21,1,9:44.0,D. Graham makes 3-pt jump shot from 26 ft (assist by P. Washington),,5,5
22,1,9:27.0,,Turnover by J. Johnson (lost ball; steal by C. Martin),5,5
23,1,9:23.0,C. Martin misses 2-pt layup from 2 ft (block by J. Johnson),,5,5
24,1,9:21.0,,Defensive rebound by M. Beasley,5,5
25,1,9:16.0,,J. Okogie makes 3-pt jump shot from 25 ft (assist by D. Russell),5,8
26,1,9:02.0,Turnover by D. Graham (lost ball; steal by J. Hernangómez),,5,8
27,1,8:56.0,,J. Hernangómez makes 2-pt dunk from 1 ft (assist by D. Russell),5,10
28,1,8:56.0,Charlotte full timeout,,5,10
29,1,8:38.0,P. Washington misses 3-pt jump shot from 25 ft,,5,10
30,1,8:34.0,Offensive rebound by B. Biyombo,,5,10
31,1,8:33.0,D. Graham misses 3-pt jump shot from 26 ft,,5,10
32,1,8:31.0,Offensive rebound by B. Biyombo,,5,10
33,1,8:31.0,B. Biyombo misses 2-pt layup from 1 ft,,5,10
34,1,8:30.0,Offensive rebound by B. Biyombo,,5,10
35,1,8:29.0,B. Biyombo makes 2-pt layup from 1 ft,,7,10
36,1,8:22.0,,D. Russell misses 2-pt jump shot from 11 ft,7,10
37,1,8:18.0,Defensive rebound by B. Biyombo,,7,10
38,1,8:17.0,Shooting foul by D. Russell (drawn by D. Graham),,7,10
39,1,8:17.0,D. Graham misses free throw 1 of 2,,7,10
40,1,8:17.0,Offensive rebound by Team,,7,10
41,1,8:17.0,D. Graham makes free throw 2 of 2,,8,10
42,1,8:05.0,,Turnover by J. Johnson (bad pass),8,10
43,1,7:45.0,B. Biyombo makes 2-pt layup from 1 ft (assist by M. Bridges),,10,10
44,1,7:37.0,,J. Johnson makes 3-pt jump shot from 24 ft,10,13
45,1,7:22.0,D. Graham misses 2-pt jump shot from 11 ft,,10,13
46,1,7:20.0,,Defensive rebound by J. Hernangómez,10,13
47,1,7:19.0,,Personal foul by C. Martin (drawn by J. Hernangómez),10,13
48,1,7:19.0,J. McDaniels enters the game for P. Washington,,10,13
49,1,7:11.0,,M. Beasley makes 3-pt jump shot from 25 ft (assist by D. Russell),10,16
50,1,6:55.0,C. Martin misses 2-pt layup from 1 ft,,10,16
51,1,6:54.0,,Defensive rebound by J. Okogie,10,16
52,1,6:48.0,,J. Okogie makes 2-pt layup from 1 ft,10,18
53,1,6:33.0,M. Bridges misses 2-pt layup from 5 ft,,10,18
54,1,6:31.0,Offensive rebound by B. Biyombo,,10,18
